N	3gram	Nazirov_Tv	Freidism
1	не может быть	2	14
2	по отношению к	3	11
3	в самом деле	2	10
4	в том что	8	9
5	во всяком случае	2	8
6	в то же	19	6
7	то же время	18	6
8	можно сказать что	2	5
9	с самого начала	3	5
10	в таком случае	2	4
11	тем не менее	2	4
12	не могут быть	2	4
13	в данном случае	2	4
14	на самом деле	2	4
15	в свою очередь	2	4
16	на этот вопрос	2	3
17	но в то	5	3
18	о том что	6	3
19	так и в	2	3
20	в конечном счете	4	3
21	и не может	2	3
22	это прежде всего	3	2
23	в отличие от	2	2
24	это как бы	3	2
