N	3gram	Losev_Prob	Istorich
1	с другой стороны	7	46
2	до сих пор	3	30
3	с одной стороны	5	28
4	в том что	13	25
5	не может быть	2	24
6	тем не менее	8	23
7	вместе с тем	5	23
8	но все же	2	23
9	точно так же	4	22
10	о том что	14	22
11	не только в	5	19
12	в связи с	11	17
13	после того как	3	15
14	в данном случае	5	15
15	по отношению к	2	14
16	на то что	2	14
17	в то время	4	13
18	то время как	4	13
19	мы не будем	3	12
20	но и в	2	12
21	что иное как	3	11
22	не что иное	3	11
23	можно было бы	2	10
24	и вместе с	3	9
25	то же самое	2	8
26	и то что	3	8
27	во всяком случае	6	7
28	то что в	2	7
29	потому что он	2	7
30	с самого начала	3	6
31	этой точки зрения	2	6
32	с этой точки	2	6
33	к тому же	5	6
34	все же не	3	6
35	это значит что	2	6
36	на самом деле	2	5
37	для того чтобы	3	5
38	в том числе	2	5
39	в нем и	2	5
40	в том чтобы	2	5
41	в это время	3	4
42	во всем мире	2	4
43	это и есть	2	4
44	можно сказать что	4	4
45	с точки зрения	13	4
46	так или иначе	3	4
47	бы то ни	4	3
48	только тогда когда	3	3
49	и знает что	2	3
50	никак не может	2	3
51	то ни было	2	3
52	дело в том	4	3
53	как будто бы	3	3
54	мы видели выше	2	3
55	за то что	2	3
56	что в данном	2	3
57	мы хотели бы	2	3
58	по этому поводу	4	3
59	для нас не	2	3
60	в том смысле	2	3
61	то и другое	5	2
62	сам по себе	3	2
63	все того же	2	2
64	ничего общего с	2	2
65	а именно в	3	2
66	сама по себе	2	2
67	по себе а	2	2
68	и потому что	2	2
69	далеко не всегда	3	2
70	здесь перед нами	6	2
71	хотя и не	3	2
72	не будем приводить	2	2
73	это уже не	2	2
74	не сам по	2	2
75	и прежде всего	2	2
76	том что он	3	2
77	только в том	2	2
78	то что и	2	2
79	в таком случае	2	2
80	может быть только	6	2
81	не только для	2	2
82	в свою очередь	2	2
83	а может быть	2	2
84	равно как и	2	2
85	хотя бы на	2	2
