N	3gram	Losev_Prob	Freidism
1	с точки зрения	9	15
2	не может быть	5	14
3	в том что	17	9
4	во всяком случае	8	8
5	как мы видели	2	8
6	и прежде всего	3	7
7	в то же	10	6
8	может быть и	3	6
9	можно сказать что	2	5
10	в таком случае	7	4
11	тем не менее	23	4
12	на первый план	3	4
13	ни в чем	2	4
14	в чем не	2	4
15	сам по себе	10	4
16	это вовсе не	5	4
17	в данном случае	12	4
18	в зависимости от	3	4
19	на самом деле	5	4
20	мы не можем	2	3
21	бы то ни	5	3
22	о том что	8	3
23	так и в	2	3
24	отнюдь не является	3	3
25	для того чтобы	4	3
26	только то что	4	3
27	а вовсе не	3	3
28	узком смысле слова	2	3
29	до сих пор	4	3
30	если бы он	2	3
31	что же касается	5	3
32	то ни было	4	2
33	ни об его	3	2
34	в таких случаях	2	2
35	то же самое	17	2
36	чем иным как	2	2
37	ни в каком	8	2
38	том что он	2	2
39	и тем не	6	2
40	вовсе не в	2	2
41	то что мы	3	2
42	то или иное	3	2
43	что же такое	3	2
44	хотя бы и	2	2
45	как раз и	5	2
46	заключается в том	5	2
47	в отличие от	2	2
48	ни о каком	2	2
49	в конце концов	4	2
50	у нас в	2	2
51	мы могли бы	3	2
52	с одной стороны	2	2
53	что и в	3	2
54	на самом же	7	2
55	в каком случае	5	2
56	по своему содержанию	6	2
57	самом же деле	7	2
58	не чем иным	2	2
59	в чем же	2	2
60	в этом смысле	5	2
61	здесь в том	2	2
62	и может быть	2	2
63	сказать и о	2	2
64	и ни в	4	2
65	говорить о том	2	2
66	равно как и	2	2
67	это и есть	3	2
