N	2gram	Tiupa_Narr	Otkroven
1	у него	4	22
2	и в	19	19
3	но и	23	13
4	и не	20	13
5	в этом	17	12
6	не только	32	11
7	человека в	2	11
8	не в	14	11
9	а не	12	11
10	может быть	25	11
11	и все	2	10
12	в нем	4	10
13	никогда не	3	9
14	не было	2	9
15	прежде всего	4	9
16	и он	3	8
17	в его	9	7
18	он не	3	7
19	как и	7	6
20	для него	2	5
21	а в	11	5
22	в том	18	5
23	то что	11	5
24	в этой	5	5
25	отношение к	2	5
26	и его	5	4
27	что в	3	4
28	он сам	2	4
29	все эти	2	4
30	в самую	2	4
31	не может	10	4
32	что не	4	4
33	с его	6	4
34	в себе	8	3
35	о том	6	3
36	это не	2	3
37	к нему	5	3
38	что он	6	3
39	было бы	4	3
40	различие между	2	3
41	еще не	7	3
42	и есть	2	3
43	когда он	3	3
44	и ее	2	3
45	как бы	4	3
46	хотя бы	4	3
47	могут быть	3	3
48	быть может	2	3
49	того что	2	3
50	как к	2	2
51	одно из	2	2
52	сказать что	4	2
53	и на	3	2
54	уже в	3	2
55	и для	2	2
56	не имеет	2	2
57	ничего не	2	2
58	и с	4	2
59	и потому	2	2
60	в ее	3	2
61	в своем	2	2
62	тем что	3	2
63	но в	6	2
64	том что	14	2
65	все же	7	2
66	жизни в	3	2
67	с чем	2	2
68	по себе	5	2
69	что у	2	2
70	что они	3	2
71	не все	5	2
72	не есть	3	2
73	так и	9	2
74	хотя и	3	2
75	его в	2	2
