N	2gram	Berdyaev_O	Myslijsy
1	потому что	9	182
2	и в	19	121
3	может быть	11	107
4	в том	5	103
5	то что	5	83
6	что в	4	73
7	и не	13	73
8	не только	11	67
9	а не	11	67
10	том что	2	59
11	так как	2	59
12	в этом	12	59
13	но и	13	59
14	не в	11	54
15	в себе	3	53
16	не может	4	52
17	по себе	2	52
18	того что	3	47
19	в душе	2	45
20	в нем	10	45
21	было бы	3	45
22	не есть	2	42
23	как и	6	42
24	так что	2	39
25	что и	2	38
26	так и	2	37
27	тем что	2	33
28	а в	5	30
29	что не	4	29
30	для него	5	28
31	могут быть	3	27
32	не было	9	26
33	с тем	2	23
34	как бы	3	23
35	но в	2	22
36	не имеет	2	22
37	и потому	2	21
38	это не	3	20
39	мысль о	2	20
40	мысли и	3	19
41	с ним	3	19
42	и то	2	19
43	сказать что	2	19
44	должно быть	2	19
45	о том	3	19
46	для того	3	18
47	еще не	3	18
48	не могут	3	18
49	в человеке	9	18
50	в самом	5	18
51	в его	7	17
52	уже в	2	17
53	в своем	2	16
54	в которой	2	16
55	и на	2	16
56	в этих	3	15
57	что он	3	15
58	прежде всего	9	15
59	быть может	3	15
60	в истории	2	14
61	все же	2	14
62	что все	2	13
63	и все	10	13
64	и его	4	13
65	никогда не	9	12
66	от него	7	12
67	человека и	10	12
68	одно из	2	12
69	что же	2	12
70	все это	6	12
71	человеческого духа	3	12
72	хотя и	2	12
73	для человека	2	11
74	того чтобы	4	11
75	что для	2	11
76	все что	3	11
77	его в	2	11
78	к нему	3	11
79	к ней	2	11
80	что человек	3	11
81	и для	2	10
82	хотя бы	3	10
83	в других	2	10
84	и от	3	10
85	он не	7	10
86	и с	2	10
87	и есть	3	10
88	вопрос о	10	9
89	никто не	3	9
90	не все	2	9
91	это было	3	9
92	и о	2	9
93	ко всем	2	9
94	что они	2	8
95	человеческой природы	20	8
96	в самой	9	8
97	что есть	2	8
98	все эти	4	7
99	что у	2	7
100	в своих	3	7
101	все в	4	7
102	даже и	2	7
103	к этому	2	7
104	в ее	2	6
105	в своей	2	6
106	в этой	5	6
107	и к	2	6
108	его не	2	6
109	человек не	7	6
110	у него	22	6
111	лишь в	7	6
112	но он	7	6
113	о человеке	29	5
114	природы в	2	5
115	нет ничего	7	5
116	отношение к	5	5
117	то к	2	5
118	души но	3	5
119	чем в	2	5
120	в единстве	2	5
121	человека в	11	5
122	природы и	2	5
123	с чем	2	4
124	в другом	2	4
125	человеке и	5	4
126	было для	2	4
127	ничего не	2	4
128	свободы и	2	4
129	он в	2	4
130	с его	4	4
131	природы но	3	4
132	только одно	3	4
133	жизни все	3	3
134	различие между	3	3
135	и ее	3	3
136	человека а	2	3
137	и из	2	3
138	их не	2	3
139	ни с	7	3
140	о которой	2	3
141	из всего	2	3
142	при чтении	2	3
143	частью в	2	3
144	он вечно	2	3
145	к этой	2	3
146	с которой	2	3
147	совсем не	2	3
148	человек и	4	3
149	и мысли	4	3
150	должен был	2	3
151	ничего кроме	2	3
152	ее в	2	3
153	для всякого	2	3
154	в человеческом	2	3
155	он сам	4	3
156	к человеку	9	2
157	никакого другого	2	2
158	не могли	2	2
159	есть лишь	4	2
160	когда он	3	2
161	о любви	2	2
162	ничего и	2	2
163	вопросом о	2	2
164	человеческой души	6	2
165	и там	2	2
166	человека есть	2	2
167	его мысли	4	2
168	о его	5	2
169	и нет	2	2
170	же это	2	2
171	от самого	2	2
172	человека к	2	2
173	до самого	5	2
