N	2gram	Ircho_Kome	Problemy
1	и в	37	106
2	и не	28	90
3	как бы	7	70
4	может быть	14	66
5	т е	18	59
6	в его	12	56
7	в этом	18	52
8	в нем	8	51
9	не может	9	49
10	что он	15	44
11	как и	10	44
12	но и	18	40
13	точки зрения	8	40
14	и его	10	39
15	а не	5	38
16	не только	13	36
17	то же	14	36
18	в пределах	3	35
19	то что	5	33
20	но в	7	33
21	прежде всего	7	32
22	в то	14	29
23	все это	7	29
24	он не	11	29
25	и все	6	28
26	не в	7	27
27	в одном	3	27
28	к другому	2	27
29	к себе	9	26
30	же время	12	26
31	к нему	8	25
32	в сущности	3	25
33	с точки	6	25
34	и т	5	25
35	в самом	17	25
36	и с	5	25
37	самом деле	13	24
38	не как	2	24
39	вовсе не	6	24
40	и на	6	23
41	таким образом	16	22
42	в каждом	3	22
43	что я	5	22
44	как мы	6	21
45	никогда не	5	20
46	все же	9	20
47	потому что	19	20
48	только в	3	20
49	что в	11	19
50	с его	6	19
51	отношению к	4	19
52	что же	2	19
53	в себе	4	18
54	по отношению	6	18
55	т п	5	18
56	еще не	10	18
57	но не	9	18
58	это не	3	17
59	в том	24	17
60	так и	4	17
61	а в	12	17
62	и к	4	17
63	с ним	10	17
64	так же	8	16
65	в другом	2	16
66	если бы	18	16
67	в своей	6	16
68	до конца	4	15
69	и для	7	15
70	у него	10	15
71	в отношении	4	14
72	так как	16	14
73	в своем	9	14
74	в конце	14	14
75	я не	4	14
76	и сам	11	14
77	он и	5	14
78	как раз	9	14
79	а как	2	14
80	его в	9	13
81	и это	4	13
82	в целом	4	13
83	себя и	2	13
84	с другими	2	13
85	в мире	2	13
86	на него	6	13
87	но все	5	13
88	том что	22	12
89	в одной	2	12
90	даже в	3	12
91	ничего не	6	12
92	так что	7	12
93	к тому	11	12
94	между тем	6	12
95	не знает	7	12
96	что и	12	12
97	при этом	11	12
98	было бы	7	12
99	во всяком	3	12
100	за пределы	3	12
101	и даже	6	12
102	и как	3	12
103	как в	4	12
104	в котором	6	12
105	и что	8	12
106	у меня	5	12
107	не могут	2	11
108	конце концов	3	11
109	она не	3	11
110	бы в	5	11
111	тем что	12	11
112	с другой	5	11
113	их в	3	11
114	как будто	3	11
115	отношение к	7	10
116	что не	5	10
117	самого начала	5	10
118	как не	2	10
119	до сих	12	10
120	сих пор	12	10
121	далеко не	3	10
122	приводит к	4	10
123	той же	2	10
124	и потому	2	9
125	с самого	5	9
126	могут быть	3	9
127	в них	6	9
128	хотя и	6	9
129	да и	3	9
130	другой стороны	2	9
131	хотя бы	5	9
132	друг с	3	9
133	человека в	4	9
134	я ведь	2	9
135	что у	2	9
136	ни в	14	9
137	всяком случае	3	9
138	в той	2	9
139	но он	3	9
140	уже в	3	8
141	никак не	2	8
142	как к	3	8
143	в произведениях	2	8
144	одним из	2	8
145	и о	3	8
146	здесь не	2	8
147	несмотря на	7	8
148	же не	3	8
149	и до	2	8
150	не на	3	8
151	должна быть	2	8
152	из его	3	8
153	и от	3	8
154	бы он	3	8
155	все время	3	8
156	и он	5	8
157	был бы	4	8
158	ни было	3	8
159	в результате	2	8
160	о том	21	8
161	и у	4	8
162	с другом	3	8
163	в диалоге	2	8
164	из них	11	8
165	же и	2	8
166	не о	3	7
167	вопрос о	2	7
168	от него	2	7
169	в этих	2	7
170	с которым	3	7
171	в их	5	7
172	к своему	4	7
173	от себя	2	7
174	и со	2	7
175	в виду	3	7
176	его и	3	7
177	тем как	2	7
178	он в	2	7
