N	3gram	Propp_Morf	Problemy
1	с точки зрения	6	25
2	по отношению к	7	18
3	на самом деле	4	15
4	не может быть	9	14
5	в большинстве случаев	3	12
6	во всяком случае	2	9
7	с другой стороны	5	9
8	в том что	4	8
9	бы то ни	3	7
10	то перед нами	5	7
11	и т д	60	7
12	не входит в	2	6
13	то ни было	2	6
14	подобно тому как	5	5
15	можно было бы	2	5
16	но все же	4	5
17	тем не менее	6	4
18	более или менее	2	4
19	друг к другу	2	4
20	может быть и	2	4
21	о том что	3	4
22	как и в	3	4
23	а вовсе не	2	4
24	в этом отношении	2	4
25	хотя и не	2	4
26	друг на друга	2	4
27	в то время	3	3
28	и в других	2	3
29	в данном случае	2	3
30	на то что	3	3
31	как мы увидим	5	3
32	в настоящее время	3	3
33	то время как	3	3
34	это не значит	2	3
35	в этом случае	10	3
36	мы увидим что	2	3
37	он может быть	2	2
38	то что в	2	2
39	друг за другом	2	2
40	к тому что	4	2
41	оно может быть	2	2
42	для того чтобы	3	2
43	в этих случаях	14	2
