N	2gram	Tiupa_Disk	Problemy
1	и в	27	106
2	и не	25	90
3	как бы	9	70
4	может быть	29	66
5	в его	9	56
6	в этом	29	52
7	в нем	16	51
8	не может	17	49
9	что он	6	44
10	как и	27	44
11	но и	22	40
12	точки зрения	6	40
13	для него	9	39
14	и его	4	39
15	а не	35	38
16	не только	36	36
17	то же	12	36
18	в пределах	4	35
19	то что	10	33
20	но в	15	33
21	прежде всего	17	32
22	в то	8	29
23	все это	2	29
24	он не	4	29
25	и все	5	28
26	не в	8	27
27	в одном	5	27
28	к другому	3	27
29	к себе	2	26
30	же время	9	26
31	в сущности	3	25
32	с точки	3	25
33	в самом	4	25
34	и с	2	25
35	самом деле	2	24
36	не как	5	24
37	героя и	2	24
38	слова и	2	23
39	и на	8	23
40	таким образом	4	22
41	в каждом	2	22
42	по себе	3	22
43	как мы	2	21
44	никогда не	3	20
45	все же	8	20
46	потому что	7	20
47	только в	9	20
48	что в	8	19
49	с его	9	19
50	отношению к	13	19
51	слова в	2	19
52	что же	4	19
53	в себе	22	18
54	по отношению	13	18
55	о нем	3	18
56	все эти	2	18
57	уже не	7	18
58	еще не	20	18
59	но не	17	18
60	это не	5	17
61	в том	29	17
62	так и	14	17
63	а в	5	17
64	и к	4	17
65	в другом	5	16
66	в своей	10	16
67	до конца	2	15
68	о мире	2	15
69	и наконец	2	15
70	в своем	11	14
71	лишь в	4	14
72	и сам	2	14
73	себя самого	2	14
74	перед нами	4	13
75	героя в	6	13
76	и это	3	13
77	большинстве случаев	2	13
78	в целом	5	13
79	себя и	2	13
80	в мире	9	13
81	на него	2	13
82	но все	2	13
83	в большинстве	3	13
84	точка зрения	3	13
85	том что	27	12
86	в одной	4	12
87	к тому	6	12
88	между тем	5	12
89	не знает	4	12
90	что и	5	12
91	при этом	22	12
92	во всяком	3	12
93	так сказать	3	12
94	но это	3	12
95	за пределы	2	12
96	и даже	4	12
97	и как	9	12
98	как в	16	12
99	в котором	7	12
100	и что	2	12
101	не могут	2	11
102	в форме	2	11
103	он сам	2	11
104	рассказа в	2	11
105	должно быть	2	11
106	тем что	4	11
107	с другой	14	11
108	их в	2	11
109	более того	2	11
110	входит в	2	11
111	как будто	3	11
112	к одному	2	10
113	в произведении	3	10
114	отношение к	6	10
115	для себя	6	10
116	что не	4	10
117	самого начала	2	10
118	слово не	2	10
119	как не	3	10
120	далеко не	10	10
121	в творчестве	4	10
122	приводит к	4	10
123	той же	2	10
124	и потому	3	9
125	с самого	2	9
126	или в	2	9
127	могут быть	5	9
128	в них	6	9
129	хотя и	3	9
130	да и	2	9
131	другой стороны	5	9
132	хотя бы	3	9
133	человека в	6	9
134	ни в	7	9
135	зрения на	3	9
136	всяком случае	2	9
137	в той	2	9
138	но как	2	8
139	уже в	2	8
140	как к	2	8
141	одним из	2	8
142	это и	2	8
143	и о	4	8
144	того что	4	8
145	и до	2	8
146	не на	3	8
147	должна быть	2	8
148	и от	2	8
149	и он	2	8
150	с их	3	8
151	в результате	3	8
152	о том	12	8
153	из них	6	8
154	не о	2	7
155	вопрос о	2	7
156	в этих	4	7
157	в их	5	7
158	к своему	2	7
159	в виду	2	7
160	и др	3	7
161	в процессе	6	7
162	только на	2	7
163	мира и	3	7
164	и другого	2	7
165	и ее	5	7
166	например в	4	7
167	сказать что	4	7
168	в жизни	2	7
169	его с	2	7
170	мысли и	2	7
171	отличается от	3	7
172	во всех	6	7
173	не было	9	7
174	как его	2	7
175	полифонического романа	2	7
176	в себя	7	7
177	идет о	2	6
178	в построении	2	6
179	другого в	2	6
180	отличие от	13	6
181	а с	8	6
182	не менее	6	6
183	рассказ в	2	6
184	стремится к	3	6
185	на его	4	6
186	себя в	8	6
187	и во	2	6
188	но зато	2	6
189	с этим	3	6
190	в начале	2	6
191	во всем	2	6
192	внутренней речи	5	6
193	но для	2	6
194	друг друга	2	6
195	в отличие	13	6
196	в этой	5	6
197	на почве	3	6
198	я в	2	6
199	в своих	6	6
200	в которых	5	6
201	на этом	3	6
202	жизни и	2	6
203	в основе	11	6
204	отношения к	2	6
205	и то	4	5
206	или иной	8	5
207	крайней мере	3	5
208	к которому	2	5
209	по своему	3	5
210	они не	2	5
211	того же	5	5
212	на себя	2	5
213	в чем	2	5
214	однако в	3	5
215	но здесь	2	5
216	один из	3	5
217	мы не	2	5
218	той или	6	5
219	того и	2	5
220	рассказчика и	3	5
221	в ее	4	5
222	но при	3	5
223	его как	3	5
224	то есть	29	5
225	мира в	6	5
226	по своим	4	5
227	он ни	2	5
228	по крайней	3	5
229	на протяжении	2	5
230	с человеком	3	5
231	подобно тому	4	5
232	тому же	5	5
233	именно в	5	5
234	когда он	3	5
235	тому как	5	5
236	я и	3	5
237	быть и	2	5
238	в ней	2	5
239	вместе с	3	5
240	в каждой	3	4
241	стороны и	3	4
242	слова не	3	4
243	при всей	9	4
244	как их	2	4
245	и прежде	2	4
246	в одно	2	4
247	в формах	2	4
248	или менее	2	4
249	каждый из	2	4
250	не то	2	4
251	для понимания	2	4
252	более или	2	4
253	в сторону	4	4
254	и без	2	4
255	по мере	2	4
256	здесь в	4	4
257	связи с	4	4
258	в первом	4	4
259	одно и	2	4
260	он ничего	2	4
261	совпадает с	4	4
262	что с	2	4
263	характер и	3	4
264	в особом	2	4
265	в литературе	2	4
266	это в	4	4
267	в которой	2	4
268	это было	2	4
269	с ее	3	4
270	автора в	2	4
271	с миром	2	4
272	об этом	3	4
273	этом отношении	4	4
274	с этой	2	4
275	времени и	5	4
276	вследствие этого	4	4
277	в рассказе	6	4
278	сами по	2	4
279	речи и	2	4
280	в едином	2	4
281	также и	6	4
282	поэтому в	2	4
283	речи как	2	4
284	оно не	2	4
285	не есть	3	4
286	еще в	6	4
287	личности в	3	4
288	данном случае	6	3
289	чтобы не	2	3
290	в записках	2	3
291	или даже	2	3
292	о чем	4	3
293	к другим	3	3
294	по своей	15	3
295	к чему	2	3
296	жизни а	2	3
297	что даже	2	3
298	своего рода	15	3
299	мысли о	2	3
300	может служить	2	3
301	и само	2	3
302	что на	3	3
303	между собой	2	3
304	всего в	2	3
305	или меньшей	2	3
306	сознания с	2	3
307	и герой	3	3
308	и по	2	3
309	можно сказать	7	3
310	этом случае	3	3
311	должны быть	3	3
312	приходит в	2	3
313	и вообще	2	3
314	одной из	4	3
315	того или	3	3
316	в данном	9	3
317	только то	2	3
318	из этих	3	3
319	а к	3	3
320	говорить о	3	3
321	дело в	3	3
322	по преимуществу	2	3
323	один голос	2	3
324	который не	2	3
325	и всякое	2	3
326	не является	5	3
327	чем у	2	3
328	чужой речи	2	3
329	и есть	2	3
330	себе не	4	3
331	но они	3	3
332	не с	4	3
333	есть в	3	3
334	но уже	3	3
335	точке зрения	2	3
336	о них	2	3
337	романа и	2	3
338	большей или	2	3
339	и одновременно	3	3
340	сводится к	7	3
341	высказывания и	3	3
342	нового времени	2	3
343	в различных	2	3
344	будто бы	3	3
345	в книге	2	2
346	ну как	2	2
347	точкой зрения	2	2
348	указывает на	2	2
349	одну из	2	2
350	об одном	4	2
351	но она	3	2
352	одного и	5	2
353	к этому	4	2
354	самого говорящего	2	2
355	никого не	2	2
356	не всегда	2	2
357	ни одно	2	2
358	свою очередь	3	2
359	одном из	2	2
360	из уст	2	2
361	или напротив	3	2
362	мире и	2	2
363	может и	4	2
364	же касается	4	2
365	своего времени	2	2
366	и вне	2	2
367	опирается на	2	2
368	к различным	2	2
369	одно из	4	2
370	чем не	3	2
371	они и	3	2
372	в особенности	5	2
373	для своего	3	2
374	в контексте	3	2
375	в г	2	2
376	на том	2	2
377	уже как	2	2
378	повесть о	2	2
379	заметить что	2	2
380	по природе	6	2
381	своей собственной	3	2
382	которая в	3	2
383	в значительной	3	2
384	не позволяет	2	2
385	отнюдь не	11	2
386	известной степени	3	2
387	принадлежащих к	2	2
388	как рассказ	2	2
389	на языке	3	2
390	в противоположность	6	2
391	к его	5	2
392	в рамках	11	2
393	или не	2	2
394	другим что	2	2
395	значительной степени	3	2
396	определяется не	2	2
397	бы быть	3	2
398	с ней	3	2
399	не нужно	2	2
400	установку на	2	2
401	речи в	2	2
402	было в	4	2
403	целый ряд	2	2
404	обращаясь к	2	2
405	образ человека	2	2
406	я с	2	2
407	в качестве	45	2
408	в истории	5	2
409	не столько	3	2
410	не могло	2	2
411	с одной	12	2
412	и романа	2	2
413	в какой	2	2
414	к той	4	2
415	всей своей	2	2
416	не случайно	2	2
417	всей его	2	2
418	не к	3	2
419	в нашем	2	2
420	столь же	6	2
421	пока еще	7	2
422	жизни не	2	2
423	в свою	3	2
424	роль в	10	2
425	настоящего времени	2	2
426	перед ним	2	2
427	и того	6	2
428	служит для	2	2
429	человек не	2	2
430	и должно	2	2
431	является не	2	2
432	не следует	4	2
433	же самое	2	2
434	произведения как	2	2
435	что касается	2	2
436	во втором	5	2
437	чем он	2	2
