N	2gram	Vygotskiy_	Otkroven
1	о человеке	2	29
2	у него	6	22
3	и в	65	19
4	но и	6	13
5	и не	20	13
6	в этом	37	12
7	не только	16	11
8	не в	12	11
9	а не	11	11
10	может быть	33	11
11	и все	14	10
12	в нем	8	10
13	никогда не	9	9
14	в самой	9	9
15	потому что	26	9
16	не было	4	9
17	прежде всего	2	9
18	и он	5	8
19	он был	3	8
20	в его	11	7
21	до конца	5	7
22	от него	2	7
23	он не	11	7
24	но он	5	7
25	как и	12	6
26	все это	12	6
27	для него	4	5
28	а в	9	5
29	в том	46	5
30	о его	2	5
31	в самом	41	5
32	то что	61	5
33	в этой	20	5
34	человеке и	2	5
35	до самого	2	5
36	отношение к	2	5
37	и его	8	4
38	что в	36	4
39	того чтобы	21	4
40	все эти	7	4
41	человек и	2	4
42	не может	17	4
43	что не	5	4
44	с его	2	4
45	в себе	9	3
46	о том	17	3
47	это не	7	3
48	к нему	2	3
49	не могут	2	3
50	что он	23	3
51	и вот	6	3
52	было бы	22	3
53	для того	18	3
54	еще не	3	3
55	и есть	3	3
56	все что	2	3
57	в этих	3	3
58	в своих	6	3
59	в русской	4	3
60	когда он	8	3
61	и ее	4	3
62	только одно	3	3
63	как бы	29	3
64	хотя бы	3	3
65	это было	4	3
66	с ним	6	3
67	мысли и	2	3
68	того что	9	3
69	как к	6	2
70	одно из	4	2
71	и то	10	2
72	сказать что	14	2
73	и на	7	2
74	с тем	14	2
75	что же	3	2
76	и для	4	2
77	совсем не	3	2
78	и там	2	2
79	что все	10	2
80	из всего	3	2
81	не имеет	8	2
82	не могли	5	2
83	ничего не	4	2
84	он весь	2	2
85	и с	4	2
86	что и	7	2
87	и никогда	2	2
88	ее в	7	2
89	в дневнике	3	2
90	в ее	9	2
91	вместо того	3	2
92	в своем	8	2
93	тем что	7	2
94	но в	5	2
95	том что	28	2
96	к этой	3	2
97	что для	6	2
98	все же	10	2
99	самого конца	2	2
100	в своей	6	2
101	он в	3	2
102	так как	13	2
103	по себе	5	2
104	что у	7	2
105	должен был	4	2
106	что они	9	2
107	в истории	3	2
108	так что	10	2
109	своей жизни	2	2
110	и о	6	2
111	к этому	5	2
112	и к	5	2
113	так и	3	2
114	и очень	3	2
115	в которой	8	2
116	которую он	2	2
117	к ней	3	2
118	много раз	2	2
119	в другом	6	2
120	его в	5	2
