N	3gram	Vygotskiy_	slovoVRo
1	и т п	23	72
2	не может быть	14	19
3	в то же	2	18
4	то же время	2	18
5	с точки зрения	12	15
6	в отличие от	4	14
7	в отношении к	3	12
8	с одной стороны	6	11
9	и т д	10	10
10	более или менее	3	9
11	т п в	2	8
12	во всяком случае	7	8
13	в зависимости от	6	8
14	так и в	2	6
15	с другой стороны	7	6
16	в том что	21	5
17	в этом отношении	7	5
18	для того чтобы	11	4
19	оно не может	2	4
20	никогда не может	3	4
21	то есть как	2	4
22	таким образом в	2	4
23	и не может	2	4
24	до сих пор	8	4
25	можно сказать что	2	4
26	в свою очередь	3	4
27	не могут быть	2	4
28	в евгении онегине	2	3
29	к тому что	2	3
30	как и в	5	3
31	в собственном смысле	3	3
32	в связи с	2	3
33	выходит за пределы	2	3
34	т п все	2	3
35	тех или иных	2	3
36	сама по себе	2	3
37	иметь дело с	4	2
38	и в частности	2	2
39	не только не	4	2
40	как одна из	2	2
41	мы не можем	2	2
42	же как и	2	2
43	приходится иметь дело	3	2
44	о том что	9	2
45	на том же	2	2
46	хотя и не	2	2
47	можно было бы	2	2
48	в то время	6	2
49	и в том	2	2
50	в том и	4	2
51	и во всех	2	2
52	этой точки зрения	7	2
53	то время как	6	2
54	с этой точки	5	2
55	имеет дело с	2	2
56	то или иное	2	2
57	тем не менее	6	2
58	то есть к	2	2
59	п все это	2	2
