N	3gram	Losev_Dial	EvropaiE
1	с точки зрения	18	16
2	в то же	7	15
3	то же время	8	14
4	с одной стороны	3	8
5	и в то	3	8
6	одной стороны и	3	6
7	в том что	12	6
8	той или иной	4	4
9	не только в	2	4
10	и в этом	4	4
11	само по себе	7	4
12	во всяком случае	3	3
13	как бы ни	2	3
14	в этом отношении	2	3
15	можно сказать что	6	3
16	в этом смысле	4	3
17	можно было бы	4	3
18	друг с другом	2	3
19	в той или	3	3
20	с другой стороны	7	2
21	на то что	4	2
22	и в частности	4	2
23	по себе не	7	2
24	или хотя бы	2	2
25	мы можем сказать	3	2
26	по сравнению с	2	2
27	не может быть	4	2
