N	3gram	Trubetskoy	Dialekti
1	с точки зрения	9	46
2	сама по себе	2	26
3	в том что	7	25
4	не может быть	4	18
5	то же время	10	15
6	в то же	10	14
7	о том что	2	12
8	на то что	4	11
9	той или иной	3	7
10	точно так же	2	7
11	более или менее	4	6
12	для того чтобы	6	6
13	во всяком случае	6	6
14	на самом деле	6	5
15	в конце концов	3	5
16	до сих пор	5	5
17	к тому что	2	5
18	в данном случае	3	4
19	можно было бы	3	4
20	не может не	3	4
21	бы то ни	4	3
22	в себе и	2	3
23	и не может	3	3
24	того или иного	2	3
25	что он не	2	2
26	друг с другом	14	2
27	она не может	2	2
28	в лучшем случае	3	2
29	друг от друга	2	2
30	ни к чему	2	2
31	и в том	2	2
32	во что бы	3	2
33	что бы то	3	2
34	то ни стало	3	2
35	и вместе с	2	2
36	и то что	3	2
