N	2gram	Vygotskiy_	Komedia
1	и в	38	77
2	и не	16	47
3	в том	59	44
4	том что	44	42
5	о том	6	33
6	едва ли	6	32
7	но и	9	32
8	может быть	25	30
9	таким образом	36	29
10	из них	5	29
11	в то	5	28
12	и его	5	28
13	в этом	35	27
14	потому что	14	27
15	что он	13	26
16	к тому	8	26
17	не только	16	25
18	тому же	6	25
19	вместе с	18	25
20	так как	19	24
21	как и	20	23
22	ни в	12	23
23	что в	31	23
24	что и	14	22
25	если бы	12	22
26	в самом	8	22
27	так и	11	21
28	а в	7	21
29	то же	18	21
30	ясно что	4	21
31	в его	22	20
32	во время	3	19
33	к этому	5	19
34	в этой	7	18
35	тем что	12	17
36	еще не	6	17
37	и здесь	5	17
38	в нем	4	17
39	все же	11	16
40	у него	3	16
41	не менее	8	16
42	при этом	13	16
43	тот же	10	16
44	и сам	4	16
45	сих пор	3	16
46	он не	6	16
47	до сих	3	16
48	его в	8	15
49	в своем	9	15
50	не в	10	15
51	точки зрения	27	15
52	между тем	10	15
53	прежде всего	6	15
54	один из	8	15
55	на себя	2	15
56	было бы	15	15
57	в которой	4	15
58	и на	9	15
59	все это	8	14
60	об этом	2	14
61	в свою	4	14
62	и с	5	14
63	столь же	7	14
64	то что	27	13
65	так что	3	13
66	самом деле	4	13
67	но в	4	13
68	того же	12	13
69	в них	3	13
70	того чтобы	15	13
71	что она	7	13
72	мы можем	13	13
73	только что	5	13
74	в одном	4	13
75	так же	26	12
76	с другой	11	12
77	для того	14	12
78	как это	16	12
79	уже в	10	12
80	не по	2	12
81	в качестве	25	12
82	в истории	9	12
83	хотя и	2	12
84	в начале	5	12
85	не может	11	12
86	как в	14	12
87	но не	7	12
88	в котором	3	12
89	из которых	6	12
90	по отношению	4	11
91	наряду с	3	11
92	в их	12	11
93	в частности	4	11
94	с тем	18	11
95	одного из	3	11
96	речь идет	4	11
97	как мы	14	11
98	то время	5	11
99	к ней	2	11
100	и даже	4	11
101	на этот	5	11
102	и для	4	11
103	с ним	4	11
104	в отношении	14	10
105	в целом	22	10
106	на основании	11	10
107	и все	5	10
108	в чем	2	10
109	на его	5	10
110	мы не	14	10
111	же в	3	10
112	свою очередь	3	10
113	с его	3	10
114	с этим	6	10
115	тем более	2	10
116	на него	2	10
117	с одной	8	10
118	как бы	17	10
119	еще в	2	10
120	и что	15	10
121	в тех	2	9
122	отличие от	8	9
123	тому что	3	9
124	одной стороны	8	9
125	однако в	2	9
126	и особенно	4	9
127	и по	5	9
128	в своей	9	9
129	того как	5	9
130	а также	6	9
131	независимо от	5	9
132	больше чем	2	9
133	отношению к	3	9
134	время как	5	9
135	но все	4	9
136	все что	4	9
137	друг друга	7	9
138	вовсе не	5	9
139	только в	16	9
140	в ней	3	9
141	первую очередь	2	8
142	идет о	2	8
143	и других	4	8
144	как он	8	8
145	такого рода	7	8
146	по своему	14	8
147	с самого	6	8
148	место в	3	8
