N	2gram	Tiupa_Disk	StatiiOP
1	и в	27	103
2	в том	29	89
3	том что	27	77
4	в этом	29	76
5	что в	8	74
6	не только	36	60
7	о том	12	47
8	но и	22	46
9	то что	10	44
10	что он	6	42
11	в его	9	42
12	и не	25	41
13	может быть	29	38
14	в этой	5	31
15	все это	2	29
16	тем что	4	29
17	таким образом	4	28
18	в г	2	28
19	а в	5	27
20	а не	35	27
21	но в	15	26
22	так и	14	25
23	этом отношении	4	24
24	и его	4	24
25	все же	8	23
26	не в	8	23
27	точки зрения	6	23
28	потому что	7	23
29	того что	4	22
30	в области	3	22
31	прежде всего	17	22
32	в которой	2	22
33	как в	16	22
34	пушкиным в	2	21
35	это не	5	20
36	в то	8	19
37	в своей	10	19
38	только в	9	19
39	об этом	3	18
40	не может	17	18
41	но также	2	18
42	с другой	14	18
43	в котором	7	18
44	он не	4	18
45	в году	3	17
46	самом деле	2	17
47	в данном	9	17
48	в самом	4	17
49	как бы	9	17
50	в русской	4	17
51	с этим	3	16
52	сказать что	4	16
53	в ней	2	16
54	в этих	4	16
55	как и	27	15
56	для него	9	15
57	например в	4	15
58	другой стороны	5	15
59	из этих	3	15
60	также и	6	15
61	и на	8	15
62	так например	2	14
63	к тому	6	14
64	между тем	5	14
65	то же	12	14
66	но все	2	14
67	с точки	3	14
68	и что	2	14
69	в своем	11	13
70	со стороны	17	13
71	а с	8	13
72	что касается	2	13
73	но это	3	13
74	в качестве	45	13
75	в нем	16	13
76	во всяком	3	13
77	дело в	3	13
78	в языке	2	13
79	именно в	5	13
80	из них	6	13
81	всяком случае	2	13
82	в той	2	13
83	жизни и	2	13
84	вместе с	3	13
85	не менее	6	12
86	в тексте	5	12
87	хотя бы	3	12
88	ни в	7	12
89	в своих	6	12
90	никогда не	3	11
91	вопрос о	2	11
92	и с	2	11
93	в другом	5	11
94	своего рода	15	11
95	в них	6	11
96	все эти	2	11
97	и по	2	11
98	это было	2	11
99	не было	9	11
100	по словам	4	10
101	в виду	2	10
102	в частности	18	10
103	не столько	3	10
104	речь идет	2	10
105	в целом	5	10
106	что и	5	10
107	в истории	5	10
108	в начале	2	10
109	во всех	6	10
110	но не	17	10
111	же время	9	10
112	в каждом	2	9
113	в чем	2	9
114	такого рода	11	9
115	что же	4	9
116	место в	2	9
117	можно сказать	7	9
118	в одном	5	9
119	не является	5	9
120	с этой	2	9
121	времени и	5	9
122	и к	4	9
123	внимание на	5	9
124	и тем	2	9
125	и это	3	9
126	до конца	2	8
127	могут быть	5	8
128	отношение к	6	8
129	к которому	2	8
130	в их	5	8
131	и др	3	8
132	той же	2	8
133	в какой	2	8
134	связи с	4	8
135	к этому	4	8
136	а также	15	8
137	мы имеем	4	8
138	это в	4	8
139	дело не	3	8
140	в результате	3	8
141	и даже	4	8
142	одним из	2	8
143	и о	4	8
144	заключается в	3	8
145	в которых	5	8
146	данном случае	6	7
147	о чем	4	7
148	вплоть до	2	7
149	уже в	2	7
150	нельзя не	2	7
151	одной из	4	7
152	того же	5	7
153	точка зрения	3	7
154	во втором	5	7
155	уже о	2	7
156	как это	2	7
157	в ее	4	7
158	с самого	2	7
159	и то	4	7
160	отличается от	3	7
161	лишь в	4	7
162	еще не	20	7
163	отношению к	13	7
164	по себе	3	7
165	можно назвать	2	7
166	на почве	3	7
167	в повестях	3	6
168	идет о	2	6
169	в себе	22	6
170	в одной	4	6
171	по отношению	13	6
172	должно было	2	6
173	одном из	2	6
174	в новом	2	6
175	своего времени	2	6
176	и все	5	6
177	по крайней	3	6
178	что на	3	6
179	на его	4	6
180	языка и	3	6
181	и во	2	6
182	в значении	2	6
183	и вообще	2	6
184	с его	9	6
185	крайней мере	3	6
186	одно из	4	6
187	что с	2	6
188	его как	3	6
189	мы не	2	6
190	в особенности	5	6
191	и сам	2	6
192	в жизни	2	6
193	обратить внимание	2	6
194	говорить о	3	6
195	не о	2	5
196	свое время	3	5
197	на себя	2	5
198	для себя	6	5
199	в прозе	2	5
200	это и	2	5
201	в свое	3	5
202	и потому	3	5
203	не приходится	2	5
204	в сторону	4	5
205	одного из	5	5
206	одной стороны	12	5
207	что не	4	5
208	же касается	4	5
209	один из	3	5
210	при этом	22	5
211	в тех	2	5
212	в сущности	3	5
213	не на	3	5
214	должна быть	2	5
215	хотя и	3	5
216	самого начала	2	5
217	или иного	2	5
218	того или	3	5
219	не как	5	5
220	целый ряд	2	5
221	текста в	2	5
222	как будто	3	5
223	но они	3	5
224	не могло	2	5
225	с одной	12	5
226	на протяжении	2	5
227	том чтобы	2	5
228	поэтому в	2	5
229	столь же	6	5
230	в творчестве	4	5
231	уже не	7	5
232	оно не	2	5
233	является не	2	5
234	в каждой	3	4
235	не могут	2	4
236	в форме	2	4
237	в период	2	4
238	на этом	3	4
239	то есть	29	4
240	по своей	15	4
241	не всегда	2	4
242	еще в	6	4
243	что ни	3	4
244	не знает	4	4
245	всего в	2	4
246	но как	2	4
247	они не	2	4
248	состоит в	20	4
249	и без	2	4
250	в процессе	6	4
251	на сцене	2	4
252	мн др	3	4
253	и мн	3	4
254	в первом	4	4
255	этого термина	2	4
256	должны быть	3	4
257	как мы	2	4
258	да и	2	4
259	если в	2	4
260	разумеется не	2	4
261	за пределы	2	4
262	в эпоху	5	4
263	значительной степени	3	4
264	сами по	2	4
265	есть в	3	4
266	и он	2	4
267	в значительной	3	4
268	на него	2	4
269	из двух	5	4
270	тому же	5	4
271	но для	2	4
272	а по	2	4
273	совпадает с	4	4
274	более чем	3	4
275	чем он	2	4
276	на рубеже	2	4
277	или в	2	4
278	в основе	11	4
279	будто бы	3	4
280	в книге	2	3
281	перед нами	4	3
282	в первую	3	3
283	или иной	8	3
284	не подлежит	2	3
285	о них	2	3
286	я с	2	3
287	в полном	2	3
288	при всей	9	3
289	и наконец	2	3
290	котором он	2	3
291	или из	2	3
292	с той	3	3
293	как к	2	3
294	оказывается в	2	3
295	в одно	2	3
296	к своему	2	3
297	или менее	2	3
298	о котором	2	3
299	для своего	3	3
300	на том	2	3
301	может служить	2	3
302	заметить что	2	3
303	и как	9	3
304	разного рода	2	3
305	в голову	2	3
306	не говоря	2	3
307	не то	2	3
308	представляют собой	2	3
309	себя и	2	3
310	первую очередь	3	3
311	говоря уже	2	3
312	и ее	5	3
313	этом случае	3	3
314	том числе	3	3
315	присутствует в	2	3
316	к его	5	3
317	это еще	2	3
318	в наше	4	3
319	до нас	2	3
320	лирической поэзии	3	3
321	и до	2	3
322	х годов	2	3
323	а к	3	3
324	однако и	2	3
325	который не	2	3
326	в данной	3	3
327	наше время	4	3
328	чем у	2	3
329	в рассказе	6	3
330	за рамки	2	3
331	русской литературе	2	3
332	ни для	4	3
333	их в	2	3
334	я и	3	3
335	слова в	2	3
336	когда он	3	3
337	в свою	3	3
338	представляет собой	24	3
339	к числу	2	3
340	эпохи и	2	3
341	более или	2	3
342	как его	2	3
343	отношения к	2	3
344	не к	3	3
345	не должно	2	2
346	совпадают с	2	2
347	тем самым	6	2
348	ни о	2	2
349	для всех	2	2
350	различие между	3	2
351	не имеют	2	2
352	мой взгляд	3	2
353	в литературе	2	2
354	в рамках	11	2
355	едва ли	2	2
356	ли не	3	2
357	к такому	2	2
358	проявляется в	2	2
359	или о	2	2
360	свою очередь	3	2
361	из жизни	3	2
362	в момент	2	2
363	отличие от	13	2
364	всякий раз	2	2
365	по своему	3	2
366	для понимания	2	2
367	то она	2	2
368	о мире	2	2
369	времени в	3	2
370	которая в	3	2
371	говорит и	2	2
372	во мне	4	2
373	чего не	3	2
374	между собой	2	2
375	не требует	3	2
376	тогда как	28	2
377	числе и	3	2
378	как нечто	2	2
379	той или	6	2
380	было в	4	2
381	одновременно и	3	2
382	и может	3	2
383	писателя в	2	2
384	хотя в	3	2
385	и иные	2	2
386	бы быть	3	2
387	но уже	3	2
388	но зато	2	2
389	и от	2	2
390	в контексте	3	2
391	тут же	3	2
392	произведения как	2	2
393	можно усмотреть	2	2
394	рассказ о	3	2
395	его с	2	2
396	так сказать	3	2
397	в равной	3	2
398	с ней	3	2
399	по преимуществу	2	2
400	этот человек	2	2
401	с ее	3	2
402	на мой	3	2
403	дело с	2	2
404	как правило	5	2
405	мысль о	3	2
406	как произведение	2	2
407	жизни в	4	2
408	рода в	2	2
409	по мере	2	2
410	чем не	3	2
411	в пределах	4	2
412	в отличие	13	2
413	к той	4	2
414	принадлежат к	3	2
415	бы это	2	2
416	этом жанре	2	2
417	не случайно	2	2
418	далеко не	10	2
419	всей его	2	2
420	приходится удивляться	2	2
421	языка с	2	2
422	и другой	2	2
423	входит в	2	2
424	зрения на	3	2
425	соответствии с	5	2
426	литературы в	2	2
427	это прежде	3	2
428	роль в	10	2
429	свидетельствует о	2	2
430	в случае	2	2
431	как не	3	2
432	с их	3	2
433	только о	2	2
434	же самое	2	2
435	жизни но	2	2
436	по своим	4	2
437	быть и	2	2
438	имеем дело	3	2
