N	3gram	Tiupa_Teor	StatiiOP
1	в том что	10	47
2	для того чтобы	5	19
3	с точки зрения	3	14
4	с другой стороны	6	13
5	не может быть	5	11
6	в то же	8	9
7	в самом деле	2	9
8	то же время	8	9
9	тем не менее	3	8
10	к тому что	2	8
11	том что он	2	7
12	в данном случае	5	7
13	по отношению к	10	6
14	не только не	2	6
15	в этом смысле	3	6
16	и в самом	2	4
17	тем или иным	2	4
18	в связи с	3	4
19	с одной стороны	3	4
20	так или иначе	5	4
21	того или иного	6	4
22	бы то ни	2	3
23	в русской литературе	2	3
24	можно сказать что	3	3
25	в известном смысле	2	3
26	в том числе	3	3
27	а с другой	2	3
28	более или менее	6	3
29	состоит в том	6	3
30	в значительной степени	2	3
31	мы имеем в	3	2
32	но в то	2	2
33	может быть и	2	2
34	как и в	2	2
35	той или иной	3	2
36	и в то	2	2
37	в отличие от	7	2
38	по большей части	2	2
39	то ни было	2	2
40	но он не	2	2
41	в русской поэзии	2	2
42	в сочетании с	2	2
43	том числе и	2	2
44	в свою очередь	3	2
45	в первой строфе	4	2
