N	3gram	Vygotskiy_	Stilisti
1	для того чтобы	17	7
2	и то же	3	5
3	с точки зрения	11	5
4	одно и то	3	5
5	того или иного	2	5
6	с самого начала	10	4
7	то же самое	12	4
8	одной и той	3	4
9	и той же	3	4
10	то что мы	3	4
11	в свою очередь	3	4
12	на самом деле	3	3
13	в той же	2	3
14	как мы видели	2	3
15	вместе с тем	3	2
16	все то что	13	2
17	больше и больше	2	2
18	в точном смысле	2	2
19	мы увидим что	9	2
20	приходится иметь дело	2	2
21	и как бы	2	2
22	в самом деле	29	2
23	должны были бы	2	2
24	не было бы	2	2
25	к тому что	5	2
26	та же самая	3	2
27	как мы увидим	2	2
28	мы видели что	2	2
29	смысле этого слова	5	2
30	точном смысле этого	3	2
31	о том что	8	2
32	все больше и	2	2
33	мы видим что	7	2
34	не может быть	3	2
