N	2gram	Tiupa_Hudo	SlovoVZh
1	не может	9	16
2	точки зрения	11	14
3	может быть	19	14
4	и его	12	13
5	как бы	11	13
6	и в	23	12
7	таким образом	3	12
8	в нашем	2	11
9	отношению к	10	11
10	по отношению	10	11
11	и не	16	10
12	если бы	3	9
13	прежде всего	5	8
14	сказать что	4	7
15	художественного произведения	4	7
16	слова и	2	6
17	при этом	19	6
18	в том	20	6
19	в нем	6	6
20	только в	7	6
21	к содержанию	3	6
22	никогда не	2	5
23	как в	2	5
24	в жизни	3	5
25	в виду	5	5
26	можно сказать	6	5
27	но в	10	5
28	том что	9	5
29	то же	12	5
30	как и	3	5
31	героя и	5	5
32	а не	13	5
33	то что	5	5
34	и др	2	5
35	отнюдь не	2	5
36	в самом	7	4
37	в этом	12	4
38	не только	20	4
39	в литературе	2	4
40	его в	4	4
41	не в	9	4
42	ни было	2	4
43	с другой	9	4
44	к нему	3	4
45	за пределы	2	4
46	и к	3	4
47	так и	12	4
48	и на	3	4
49	уже не	6	4
50	отношение к	7	4
51	как к	5	3
52	в них	2	3
53	по себе	2	3
54	в каком	2	3
55	о том	2	3
56	и для	3	3
57	внутренней речи	14	3
58	он должен	3	3
59	из этого	2	3
60	ни в	5	3
61	все эти	2	3
62	к герою	2	3
63	бы то	2	3
64	то ни	2	3
65	так же	2	3
66	в своей	7	3
67	в себе	13	3
68	художественное произведение	3	3
69	еще не	4	3
70	здесь не	2	3
71	все это	2	3
72	и ее	3	3
73	между тем	4	3
74	этой точки	2	3
75	не менее	5	3
76	с ним	2	3
77	отношении к	3	3
78	быть и	2	3
79	в пределах	3	3
80	и по	2	3
81	в художественном	5	3
82	самом деле	2	3
83	того что	5	3
84	тем не	3	3
85	художественного творчества	6	3
86	и более	2	3
87	но и	14	3
88	для него	5	3
89	одно и	3	2
90	и то	4	2
91	в его	11	2
92	к его	3	2
93	имеет место	3	2
94	что в	7	2
95	в отношении	4	2
96	в душе	9	2
97	искусства и	3	2
98	и притом	3	2
99	как уже	3	2
100	место в	5	2
101	с его	6	2
102	что и	2	2
103	это не	4	2
104	истории литературы	2	2
105	с точки	3	2
106	от всех	2	2
107	в своем	4	2
108	бы не	2	2
109	в данном	4	2
110	с другими	5	2
111	высказывания и	2	2
112	мы имеем	6	2
113	и что	4	2
114	в то	8	2
115	себя и	3	2
116	с этой	3	2
117	в этих	4	2
118	одной стороны	3	2
119	и другие	2	2
120	он не	4	2
121	в какой	2	2
122	в формах	2	2
123	делает его	2	2
124	в момент	3	2
125	и потому	2	2
126	оно не	2	2
127	имеем в	3	2
128	но не	13	2
129	как это	7	2
130	автора и	3	2
131	в себя	4	2
132	до известной	2	2
133	была бы	3	2
134	могут быть	5	2
135	совпадает с	2	2
136	частной жизни	2	2
137	в чем	2	2
138	между собой	2	2
139	в форме	4	2
140	значения и	2	2
141	с одной	3	2
142	между ними	5	2
143	этих двух	2	2
144	известной степени	3	2
145	другой стороны	6	2
