N	2gram	Ircho_Kome	Formalny
1	и в	37	95
2	т е	18	94
3	и не	28	78
4	может быть	14	66
5	в этом	18	61
6	не может	9	57
7	вовсе не	6	53
8	таким образом	16	52
9	и его	10	51
10	так и	4	50
11	точки зрения	8	47
12	в нем	8	42
13	в его	12	42
14	прежде всего	7	41
15	с точки	6	40
16	как и	10	39
17	и т	5	37
18	не в	7	35
19	в самом	17	35
20	а не	5	34
21	но и	18	33
22	то же	14	32
23	самом деле	13	32
24	не только	13	30
25	в пределах	3	28
26	в том	24	26
27	отнюдь не	5	26
28	если бы	18	26
29	то что	5	25
30	при этом	11	24
31	в своей	6	24
32	в ней	7	23
33	связи с	5	23
34	было бы	7	23
35	с помощью	4	23
36	в то	14	22
37	и ее	3	22
38	в истории	2	21
39	как бы	7	21
40	что в	11	21
41	и с	5	21
42	в их	5	20
43	не менее	9	20
44	между ними	4	20
45	и от	3	20
46	с тем	6	20
47	как мы	6	20
48	же время	12	20
49	не могут	2	19
50	все это	7	19
51	хотя бы	5	19
52	т п	5	18
53	все же	9	18
54	и все	6	18
55	в связи	4	18
56	должна быть	2	18
57	с его	6	18
58	только в	3	18
59	как в	4	17
60	как раз	9	17
61	так же	8	16
62	во всяком	3	16
63	совершенно не	2	16
64	с другой	5	16
65	потому что	19	16
66	всяком случае	3	16
67	его в	9	15
68	все время	3	15
69	но в	7	15
70	бы в	5	15
71	с другими	2	15
72	так как	16	15
73	во всех	4	15
74	и на	6	15
75	что он	15	14
76	в целом	4	14
77	в ее	3	14
78	в своем	9	14
79	еще не	10	14
80	в этой	7	14
81	если мы	2	14
82	и потому	2	14
83	вместе с	16	14
84	как ее	2	13
85	до конца	4	13
86	со стороны	16	13
87	а в	12	13
88	что же	2	13
89	могут быть	3	13
90	что и	12	13
91	независимо от	4	13
92	в результате	2	13
93	она не	3	13
94	тем что	12	13
95	ни в	14	13
96	как его	4	13
97	по отношению	6	12
98	как это	5	12
99	того чтобы	9	12
100	и здесь	11	12
101	к тому	11	12
102	отношению к	4	12
103	и для	7	12
104	никогда не	5	11
105	этом отношении	2	11
106	они не	2	11
107	в основе	3	11
108	но не	9	11
109	то ни	4	11
110	что они	3	11
111	между тем	6	11
112	не о	3	10
113	не как	2	10
114	друг друга	7	10
115	здесь и	3	10
116	мы не	6	10
117	не было	6	10
118	в дальнейшем	5	10
119	по существу	4	10
120	бы то	3	10
121	другой стороны	2	10
122	не является	5	10
123	как о	3	10
124	в первом	2	10
125	и как	3	10
126	в своих	4	10
127	главным образом	2	10
128	и теперь	2	10
129	конечно не	4	10
130	он не	11	10
131	на фоне	2	10
132	если же	2	10
133	тем же	3	10
134	ничего не	6	9
135	для понимания	3	9
136	здесь не	2	9
137	и до	2	9
138	и может	2	9
139	в каждом	3	9
140	и даже	6	9
141	еще более	4	9
142	в свою	12	9
143	ни было	3	9
144	говорить о	6	9
145	мы знаем	2	9
146	отношения к	2	9
147	это не	3	8
148	в других	4	8
149	была бы	2	8
150	между собой	5	8
151	до сих	12	8
152	одной стороны	4	8
153	в них	6	8
154	с одной	5	8
155	в области	3	8
156	для этого	3	8
157	с этим	5	8
158	сих пор	12	8
159	следует что	3	8
160	из этого	2	8
161	должен быть	2	8
162	и к	4	8
163	роль в	3	8
164	для того	9	8
165	не следует	2	8
166	и речи	4	8
167	ясно что	12	8
168	том что	22	7
169	в себе	4	7
170	в одной	2	7
171	свою очередь	10	7
172	как к	3	7
173	или менее	2	7
174	его от	5	7
175	стороны и	4	7
176	более или	2	7
177	во втором	2	7
178	в сущности	3	7
179	не на	3	7
180	войти в	2	7
181	известной степени	2	7
182	сказать что	4	7
183	к этому	11	7
184	в какой	4	7
185	но все	5	7
186	столь же	5	7
187	ничем не	4	7
188	из них	11	7
189	он и	5	7
190	в той	2	7
191	высшей степени	2	7
