N	2gram	Losev_Vesc	FransuaR
1	и в	44	367
2	то есть	2	209
3	в этом	17	112
4	и не	57	101
5	таким образом	16	100
6	и его	4	99
7	в его	5	98
8	прежде всего	17	92
9	не только	48	87
10	мы уже	3	85
11	но и	19	84
12	как бы	19	82
13	все эти	5	79
14	вовсе не	11	77
15	как и	15	76
16	в нем	6	75
17	но в	8	75
18	и на	2	72
19	в том	15	71
20	как мы	6	71
21	то же	12	66
22	и все	6	66
23	так и	4	65
24	в этой	4	65
25	в сущности	7	64
26	и с	11	64
27	в то	11	63
28	все это	7	62
29	во всех	5	62
30	же время	4	55
31	что в	11	52
32	в своем	9	51
33	только в	23	48
34	так как	17	46
35	и до	6	46
36	том что	13	45
37	то что	47	41
38	жизни и	6	40
39	у него	3	40
40	в самом	13	38
41	точки зрения	10	37
42	в ней	14	37
43	с его	2	36
44	может быть	37	35
45	мы видим	5	35
46	о том	11	35
47	сказать что	21	34
48	и даже	12	34
49	в себе	23	34
50	в конце	3	32
51	он не	4	32
52	мы видели	3	32
53	для него	8	32
54	в своей	6	31
55	так же	4	30
56	никогда не	5	30
57	и потому	8	30
58	той же	2	30
59	один из	5	30
60	потому что	25	30
61	но он	2	30
62	не может	44	29
63	еще не	12	29
64	его в	8	29
65	не в	14	29
66	в одном	6	29
67	в особенности	3	29
68	что он	7	29
69	из них	7	28
70	в основе	4	28
71	в той	6	28
72	также и	9	28
73	и другие	2	27
74	и их	11	27
75	все же	18	27
76	кроме того	5	26
77	но это	14	25
78	отношение к	4	24
79	того чтобы	4	24
80	в ее	8	24
81	и от	4	24
82	в частности	3	24
83	но не	9	24
84	как в	3	24
85	и у	4	24
86	он и	2	24
87	и для	13	23
88	это не	9	23
89	в их	4	23
90	с ним	8	23
91	еще и	11	23
92	и здесь	5	23
93	есть и	13	23
94	к нему	3	23
95	и о	4	22
96	и во	3	22
97	а в	6	22
98	что и	11	22
99	поэтому и	2	22
100	тем что	7	22
101	вместе с	4	22
102	не было	4	22
103	именно в	2	21
104	в своих	3	21
105	в себя	13	21
106	в качестве	4	21
107	что это	18	21
108	в отношении	7	21
109	ни в	11	21
110	есть в	4	21
111	и как	12	21
112	уже в	2	21
113	как раз	16	20
114	этом отношении	2	20
115	в виду	2	20
116	с точки	6	20
117	самом деле	7	20
118	и это	17	20
119	того же	5	19
120	их в	6	19
121	во всем	2	19
122	хотя и	5	19
123	к этому	2	19
124	было бы	24	19
125	далеко не	2	19
126	с другой	8	19
127	с ее	10	19
128	мы находим	5	18
129	на этом	4	18
130	здесь не	2	18
