N	2gram	Savitsky_E	VerxiiNi
1	и в	37	26
2	таким образом	2	22
3	с тем	3	18
4	в этом	12	15
5	вместе с	2	15
6	точки зрения	23	13
7	как бы	6	12
8	в том	11	11
9	не только	18	10
10	и с	2	10
11	может быть	6	10
12	что в	21	9
13	так как	7	9
14	в области	11	9
15	но и	14	9
16	но не	5	8
17	с другой	7	8
18	в общем	3	8
19	главным образом	2	8
20	и не	14	8
21	как на	3	8
22	к нему	2	7
23	потому что	3	7
24	одной стороны	8	7
25	из них	3	7
26	то что	6	7
27	с одной	8	7
28	но в	14	7
29	том что	6	7
30	представление о	2	6
31	в отношении	32	6
32	к тому	8	6
33	о том	3	6
34	мы должны	2	6
35	того же	3	6
36	в себе	9	6
37	несмотря на	4	6
38	всяком случае	3	6
39	что и	3	6
40	с точки	17	6
41	и потому	5	6
42	так и	10	6
43	во всяком	3	6
44	никогда не	3	5
45	в мире	2	5
46	одной из	5	5
47	и для	3	5
48	не имеет	4	5
49	так же	9	5
50	и к	3	5
51	в силу	2	5
52	друг с	3	5
53	того чтобы	6	5
54	в его	2	5
55	для того	6	5
56	с другом	3	5
57	а не	2	5
58	на этот	2	4
59	и от	3	4
60	что все	2	4
61	далеко не	2	4
62	а в	2	4
63	с другими	2	4
64	в котором	2	4
65	в самом	4	4
66	не может	9	4
67	в смысле	9	4
68	культурных ценностей	6	4
69	в которых	3	4
70	к востоку	4	4
71	то есть	6	4
72	целый ряд	2	4
73	в виде	5	4
74	то же	15	4
75	и что	2	4
76	и по	5	4
77	в этих	2	4
78	только в	9	4
79	и только	3	4
80	он не	2	4
81	в течение	5	4
82	в этой	2	4
83	в то	16	4
84	что это	2	3
85	в своем	14	3
86	из всех	3	3
87	европейской культуры	3	3
88	но с	2	3
89	если в	2	3
90	к ним	3	3
91	и если	2	3
92	течением времени	2	3
93	хотя бы	15	3
94	в результате	3	3
95	в значительной	2	3
96	представляет собой	3	3
97	и даже	6	3
98	и как	2	3
99	что эти	2	3
100	если бы	2	3
101	же как	5	3
102	в других	2	3
103	с течением	2	3
104	когда он	3	3
105	в качестве	14	3
106	с этой	6	3
107	в таком	3	3
108	но по	2	3
109	можно сказать	4	3
110	и таким	2	3
111	в одном	2	3
112	того что	7	3
113	культуры и	2	3
114	по своему	7	2
115	мы видели	3	2
116	сказать что	4	2
117	от них	3	2
118	этой точки	5	2
119	этот факт	3	2
120	начиная с	2	2
121	в эту	2	2
122	по сравнению	2	2
123	или иной	4	2
124	не могут	2	2
125	а также	7	2
126	в россии	5	2
127	на то	6	2
128	утверждать что	2	2
129	или по	2	2
130	ли это	3	2
131	и сейчас	2	2
132	ко всему	2	2
133	в процессе	4	2
134	мы можем	3	2
135	востока в	3	2
136	между тем	8	2
137	в свою	3	2
138	именно в	4	2
139	значительная часть	3	2
140	тогда когда	2	2
141	но если	5	2
142	в них	3	2
143	и на	6	2
144	по своей	2	2
145	на восток	2	2
146	для этих	2	2
147	востока и	2	2
148	жизни и	2	2
149	по своим	3	2
150	к которым	5	2
151	этом отношении	3	2
152	не в	5	2
153	и наконец	2	2
154	то ни	4	2
155	ни было	4	2
156	той или	4	2
157	и все	2	2
158	же время	14	2
159	заключает в	3	2
160	сравнению с	2	2
161	связано с	3	2
162	не к	2	2
163	прежде всего	9	2
164	бы то	4	2
165	во всех	6	2
166	вслед за	6	2
167	культурные ценности	2	2
