N	3gram	Bakhtin_Pr	Psycholo
1	в том что	6	78
2	на то что	2	55
3	о том что	3	34
4	с точки зрения	13	29
5	все то что	2	23
6	до сих пор	8	23
7	не может быть	8	23
8	с другой стороны	3	20
9	с самого начала	4	16
10	в зависимости от	3	15
11	можно было бы	2	13
12	по сравнению с	6	11
13	не то что	3	9
14	друг с другом	6	8
15	смысле этого слова	2	8
16	можно сказать что	6	7
17	как и в	4	7
18	в этом смысле	5	7
19	более или менее	3	6
20	тем не менее	2	6
21	сама по себе	2	6
22	никогда не может	2	6
23	как бы в	2	5
24	мы видели что	2	5
25	в собственном смысле	3	5
26	нам кажется что	3	5
27	и во всех	3	5
28	а между тем	2	4
29	то есть в	5	4
30	мы уже говорили	3	4
31	таким образом и	2	4
32	и не может	6	4
33	того и другого	2	4
34	и в сущности	2	4
35	и в конце	2	3
36	может быть и	2	3
37	в нем нет	3	3
38	в то же	8	3
39	в отношении к	2	3
40	по отношению к	5	3
41	то же время	8	3
42	друг от друга	2	3
43	дело в том	3	3
44	мы имеем в	3	2
45	той или иной	2	2
46	так и в	2	2
47	в этом романе	2	2
48	а следовательно и	2	2
49	но и в	2	2
50	и до наших	2	2
51	хотя и не	3	2
52	тех или иных	2	2
53	имеем в виду	3	2
54	по крайней мере	2	2
55	мы находим в	3	2
56	слова то есть	2	2
57	потому что это	2	2
58	к одному и	2	2
59	что могло бы	2	2
60	жизни и смерти	2	2
