N	2gram	Losev_Dial	Tragedij
1	и в	34	18
2	в этом	14	9
3	не только	35	8
4	и не	50	7
5	и на	6	7
6	как бы	19	7
7	и с	10	7
8	может быть	30	7
9	же время	5	6
10	что он	18	6
11	но в	3	6
12	и его	8	6
13	у него	2	6
14	несмотря на	2	5
15	что это	20	5
16	все же	4	5
17	это не	13	5
18	то же	9	5
19	как и	14	5
20	так и	11	5
21	не может	29	5
22	а я	3	5
23	в то	9	5
24	он всегда	3	4
25	что в	12	4
26	еще не	7	4
27	но и	14	4
28	прежде всего	20	4
29	об этом	8	4
30	том что	18	4
31	в этой	3	4
32	и что	21	4
33	так же	7	4
34	и все	17	4
35	все это	13	4
36	в нем	7	4
37	что я	3	4
38	то что	25	4
39	но это	10	4
40	я не	11	4
41	и даже	21	4
42	в себе	8	4
43	и как	13	3
44	в мире	2	3
45	тем самым	3	3
46	к нему	4	3
47	в своем	7	3
48	при этом	7	3
49	в его	6	3
50	что с	2	3
51	все эти	4	3
52	мог бы	2	3
53	и он	3	3
54	отнюдь не	16	3
55	о чем	2	3
56	с ее	10	3
57	как будто	3	3
58	никто не	4	3
59	должно быть	7	3
60	как в	2	3
61	как это	8	3
62	жизнь и	9	3
63	для него	4	3
64	в конце	2	3
65	с ним	3	3
66	никогда не	9	2
67	в самом	9	2
68	и то	7	2
69	данном случае	3	2
70	с тем	4	2
71	одна из	4	2
72	даже если	3	2
73	точно так	3	2
74	друг друга	3	2
75	тем что	5	2
76	перед нами	5	2
77	она должна	3	2
78	вопрос о	9	2
79	в одном	3	2
80	его в	2	2
81	не имеет	18	2
82	в виде	11	2
83	раз и	3	2
84	ничего не	29	2
85	то и	5	2
86	в силах	2	2
87	отца и	2	2
88	состоит из	2	2
89	в данном	6	2
90	не могут	6	2
91	как же	9	2
92	в ее	5	2
93	что все	16	2
94	к тому	4	2
95	а как	2	2
96	говорит о	5	2
97	от всего	6	2
98	о том	11	2
99	что и	8	2
100	ни в	20	2
101	тут же	3	2
102	не в	11	2
103	и здесь	3	2
104	это уже	2	2
105	а что	6	2
106	потому что	21	2
107	было в	2	2
108	что этот	3	2
109	не просто	20	2
110	и я	3	2
111	и личность	2	2
112	в частности	3	2
113	только о	4	2
114	в таком	15	2
115	так что	11	2
116	он не	8	2
117	и ее	8	2
118	ничем не	7	2
119	в первом	2	2
120	бы и	2	2
121	уже не	9	2
122	из самых	3	2
123	только к	3	2
124	что она	13	2
125	и это	12	2
126	знает что	2	2
127	личности и	15	2
128	но они	3	2
129	отличие от	2	2
130	в том	17	2
131	не мог	3	2
132	он и	3	2
133	с его	7	2
134	в это	4	2
