N	2gram	Ircho_Kome	KFilosof
1	может быть	16	45
2	в его	8	42
3	в нем	8	32
4	не может	3	29
5	и не	19	28
6	и в	40	28
7	по отношению	5	26
8	в котором	6	24
9	отношению к	5	22
10	в себе	3	21
11	и его	17	18
12	только в	6	18
13	в своем	6	17
14	в ее	2	17
15	в этом	9	15
16	не в	8	13
17	точки зрения	7	13
18	но не	3	12
19	и это	3	12
20	к нему	5	12
21	ни в	9	12
22	в своей	3	11
23	во всех	4	11
24	это не	2	10
25	в целом	6	10
26	и для	4	10
27	все это	7	10
28	в единственном	3	10
29	в их	6	9
30	но и	14	9
31	как бы	3	9
32	и все	4	9
33	себя в	2	8
34	если бы	4	8
35	со стороны	3	8
36	в мире	3	8
37	жизни и	4	8
38	было бы	8	8
39	в себя	3	8
40	для себя	2	7
41	и здесь	6	7
42	то что	8	7
43	отнюдь не	2	7
44	что и	10	7
45	вовсе не	3	7
46	отношение к	3	6
47	мира в	5	6
48	в том	19	6
49	но все	4	6
50	место в	7	6
51	и их	3	6
52	но это	2	6
53	и я	2	6
54	он не	5	6
55	его в	6	5
56	все же	7	5
57	не только	12	5
58	хотя бы	2	5
59	то же	7	5
60	еще не	7	5
61	а в	9	5
62	но в	6	5
63	как и	12	5
64	ко всему	2	5
65	именно в	5	5
66	время и	3	5
67	в одном	10	5
68	что это	5	4
69	том что	19	4
70	что в	12	4
71	могла бы	2	4
72	не по	5	4
73	ни было	4	4
74	времени и	2	4
75	за свое	2	4
76	прежде всего	8	4
77	в чем	3	4
78	здесь мы	3	4
79	в своих	2	4
80	с ними	2	4
81	при этом	5	4
82	между тем	9	4
83	до конца	3	3
84	ничего не	4	3
85	в то	14	3
86	в каждом	2	3
87	в другом	5	3
88	от того	3	3
89	тем что	5	3
90	и тем	2	3
91	для того	3	3
92	где он	2	3
93	тем как	2	3
94	в виду	2	3
95	по своему	5	3
96	нет и	2	3
97	для этой	3	3
98	не менее	6	3
99	независимо от	5	3
100	о том	12	3
101	в ней	2	3
102	в свою	2	3
103	могут быть	3	3
104	этом смысле	2	3
105	и на	9	3
106	мы не	4	3
107	из его	6	3
108	тот же	5	3
109	ясно что	9	3
110	все остальные	3	2
111	для этого	2	2
112	в соответствии	2	2
113	ли это	2	2
114	его с	2	2
115	включая сюда	3	2
116	говорить о	3	2
117	и ее	5	2
118	то ни	4	2
119	к этому	8	2
120	вопрос о	5	2
121	это было	5	2
122	в это	3	2
123	с ее	2	2
124	тем не	3	2
125	и как	3	2
126	в принципе	3	2
127	в виде	3	2
128	и других	7	2
129	в области	3	2
130	что он	11	2
131	из которых	5	2
132	и за	3	2
133	отказаться от	2	2
134	так и	17	2
135	жизнь и	2	2
136	едва ли	16	2
137	с тем	5	2
138	это уже	2	2
139	как в	8	2
140	от этого	2	2
141	в сознании	4	2
142	тому что	4	2
143	дело с	3	2
144	гораздо более	2	2
145	на нем	2	2
146	еще более	2	2
147	ни одна	2	2
148	ему в	2	2
149	соответствии с	2	2
150	один из	9	2
151	по себе	2	2
152	потому что	8	2
153	совсем не	2	2
154	которой он	2	2
155	того чтобы	4	2
156	содержания и	2	2
157	и мир	2	2
158	именно на	2	2
159	не следует	2	2
160	в качестве	8	2
161	же время	5	2
162	в этой	9	2
163	бы то	4	2
164	с его	4	2
