N	3gram	Tiupa_Vved	Literetu
1	в то же	5	21
2	то же время	4	21
3	в том что	10	21
4	по отношению к	11	12
5	с одной стороны	9	12
6	в данном случае	15	11
7	в отличие от	11	11
8	не может быть	6	11
9	состоит в том	2	11
10	в конечном счете	2	10
11	о том что	6	10
12	в этом отношении	7	10
13	присутствия в мире	2	8
14	с другой стороны	2	7
15	к тому же	6	6
16	подобно тому как	3	6
17	не только в	3	6
18	едва ли не	2	6
19	тем не менее	3	5
20	в соответствии с	8	5
21	в том чтобы	2	5
22	но при этом	3	4
23	по аналогии с	2	4
24	тогда как в	2	4
25	и тем самым	2	4
26	во всяком случае	3	3
27	то же самое	2	3
28	той или иной	4	3
29	на самом деле	4	3
30	а то и	2	3
31	в самом деле	2	3
32	на то что	2	3
33	одной стороны и	3	3
34	по большей части	4	3
35	не сводится к	6	3
36	речь идет о	3	3
37	человеческого присутствия в	2	3
38	по этой причине	2	3
39	не столько в	2	3
40	в свою очередь	5	3
41	что же касается	2	2
42	оказывается своего рода	2	2
43	мы имеем дело	5	2
44	так и не	4	2
45	с легкой руки	2	2
46	дамы с собачкой	8	2
47	при этом не	2	2
48	на первый взгляд	3	2
49	а с другой	3	2
50	при всей своей	3	2
51	но и в	3	2
52	несет в себе	4	2
53	можно было бы	2	2
54	в значительной степени	2	2
55	обратим внимание на	2	2
56	и представляет собой	4	2
