N	3gram	Berdyaev_M	Psycholo
1	в том что	3	78
2	для того чтобы	4	70
3	о том что	3	34
4	до сих пор	5	23
5	не может быть	22	23
6	и в самом	3	22
7	мы увидим что	4	19
8	в то время	2	14
9	заключает в себе	3	13
10	то время как	2	13
11	в конце концов	3	12
12	одной и той	2	12
13	и той же	2	12
14	подобно тому как	2	11
15	по сравнению с	2	11
16	вместе с тем	5	10
17	к тому чтобы	2	10
18	потому что в	4	9
19	что он не	3	9
20	потому что он	3	9
21	с тем что	3	8
22	что и в	3	7
23	как и в	2	7
24	потому что она	2	6
25	не что иное	4	6
26	что иное как	4	6
27	друг к другу	6	6
28	никогда не может	2	6
29	и та же	2	6
30	не только в	2	6
31	и вместе с	4	5
32	не было бы	5	5
33	в том смысле	2	5
34	от того что	4	4
35	и в этой	5	4
36	как будто бы	2	4
37	это и есть	7	4
38	он не может	2	4
39	и не может	2	4
40	одна и та	2	4
41	и никогда не	3	4
42	а не только	3	3
43	и в конце	2	3
44	после того как	2	3
45	может быть и	2	3
46	он не только	2	3
47	но он не	3	3
48	не могут быть	2	3
49	и те же	2	3
50	в отношении к	3	3
51	он никогда не	3	3
52	по отношению к	4	3
53	что это не	2	3
54	она не имеет	2	3
55	как бы его	2	3
56	один из самых	4	3
57	в высшей степени	4	3
58	и не было	2	2
59	оно не может	2	2
60	о человеке и	6	2
61	он хотел бы	3	2
62	есть не что	3	2
63	но и в	4	2
64	для этого необходимо	2	2
65	по своему значению	3	2
66	не до конца	2	2
67	а не к	2	2
68	это значит что	3	2
69	не может не	2	2
70	между тем как	2	2
71	не мог бы	2	2
72	и на этом	2	2
