N	2gram	Propp_Isto	Otkroven
1	у него	5	22
2	и в	40	19
3	но и	21	13
4	и не	19	13
5	в этом	13	12
6	не только	28	11
7	не в	11	11
8	а не	18	11
9	может быть	37	11
10	в нем	8	10
11	вопрос о	8	10
12	никогда не	25	9
13	потому что	12	9
14	не было	3	9
15	прежде всего	15	9
16	и он	4	8
17	он был	3	8
18	в его	10	7
19	нет ничего	2	7
20	он не	10	7
21	в глубине	2	7
22	но он	5	7
23	как и	5	6
24	все это	6	6
25	для него	2	5
26	а в	15	5
27	в том	12	5
28	то что	17	5
29	в этой	9	5
30	и его	5	4
31	что в	19	4
32	всегда есть	2	4
33	того чтобы	3	4
34	все эти	6	4
35	т е	30	4
36	не может	19	4
37	все в	2	4
38	что не	2	4
39	в себе	6	3
40	и от	2	3
41	о том	12	3
42	это не	8	3
43	к нему	3	3
44	не могут	3	3
45	что он	32	3
46	и вот	2	3
47	было бы	11	3
48	еще не	14	3
49	и есть	5	3
50	в этих	17	3
51	в русской	7	3
52	когда он	9	3
53	и ее	3	3
54	никто не	3	3
55	как бы	6	3
56	хотя бы	5	3
57	могут быть	5	3
58	это было	2	3
59	с ним	3	3
60	это за	5	3
61	того что	6	3
62	одно из	2	2
63	и то	3	2
64	сказать что	7	2
65	и на	6	2
66	этом он	2	2
67	с тем	13	2
68	уже в	2	2
69	что же	4	2
70	мысль о	2	2
71	и для	5	2
72	вопросом о	2	2
73	ничего не	6	2
74	и с	5	2
75	что и	9	2
76	ее в	7	2
77	и потому	3	2
78	в ее	2	2
79	вместо того	2	2
80	в других	3	2
81	в своем	5	2
82	и этим	3	2
83	тем что	7	2
84	но в	13	2
85	том что	11	2
86	к этой	5	2
87	же можно	3	2
88	все же	17	2
89	в своей	2	2
90	он в	5	2
91	так как	20	2
92	по себе	4	2
93	что у	3	2
94	должен был	6	2
95	что они	13	2
96	в истории	2	2
97	так что	9	2
98	не все	5	2
99	должно быть	2	2
100	не есть	2	2
101	с которой	2	2
102	к этому	2	2
103	с чего	2	2
104	все еще	3	2
105	так и	13	2
106	в которой	2	2
107	к ней	3	2
108	его не	3	2
109	и из	2	2
110	всего в	2	2
111	в другом	6	2
112	подойти к	2	2
113	их не	3	2
114	чем в	2	2
115	его в	15	2
