N	3gram	Ircho_Kome	Dialekti
1	и т д	4	75
2	в том что	13	25
3	тем не менее	2	16
4	то же время	5	15
5	в то же	5	14
6	о том что	6	12
7	с другой стороны	6	12
8	на то что	2	11
9	т е в	2	10
10	в то время	8	8
11	в этом смысле	2	8
12	то время как	6	8
13	говоря уже о	4	7
14	не говоря уже	4	7
15	в связи с	3	7
16	так или иначе	4	7
17	для того чтобы	3	6
18	во всяком случае	4	6
19	с одной стороны	5	6
20	только потому что	2	6
21	в конце концов	4	5
22	до сих пор	3	5
23	к тому что	3	5
24	несмотря на всю	3	5
25	то же самое	2	4
26	я думаю что	2	4
27	и т п	7	4
28	к тому же	12	4
29	в этом отношении	3	4
30	можно было бы	3	4
31	бы то ни	4	3
32	в силу этого	3	3
33	и с этой	2	3
34	с самого начала	2	3
35	как и в	2	3
36	речь идет о	5	3
37	что он не	2	2
38	при всем том	2	2
39	в обоих случаях	3	2
40	сомневаться в том	2	2
41	в это время	3	2
42	друг от друга	2	2
43	из всего этого	2	2
44	не в состоянии	3	2
45	что и в	2	2
