N	3gram	Vinokur_Vv	EvropaiE
1	с точки зрения	4	16
2	в то же	6	15
3	то же время	6	14
4	с одной стороны	4	8
5	одной стороны и	3	6
6	в том что	15	6
7	этой точки зрения	2	5
8	для того чтобы	22	5
9	с этой точки	2	5
10	той или иной	3	4
11	не только в	4	4
12	и в этом	4	4
13	само по себе	4	4
14	в известном смысле	3	3
15	во всяком случае	5	3
16	в применении к	6	3
17	в этом отношении	4	3
18	можно сказать что	3	3
19	в этом смысле	10	3
20	хотя бы и	2	3
21	можно было бы	4	3
22	между ними и	2	2
23	во второй половине	2	2
24	в данном случае	4	2
25	с другой стороны	5	2
26	только в том	2	2
27	с течением времени	7	2
28	и со стороны	2	2
29	не говоря уже	2	2
30	но в то	3	2
31	как мы видели	3	2
32	заключается в том	3	2
33	в свою очередь	2	2
34	по сравнению с	4	2
35	не может быть	10	2
