N	2gram	Berdyaev_M	StatiiOP
1	и в	61	103
2	в том	9	89
3	том что	7	77
4	в этом	34	76
5	что в	12	74
6	не только	42	60
7	о том	5	47
8	но и	34	46
9	то что	10	44
10	что он	16	42
11	в его	10	42
12	и не	26	41
13	может быть	42	38
14	т е	5	33
15	было бы	11	32
16	в этой	12	31
17	все это	6	29
18	тем что	7	29
19	а в	4	27
20	а не	36	27
21	но в	12	26
22	что это	5	25
23	так и	5	25
24	в трагедии	3	24
25	и его	13	24
26	все же	2	23
27	не в	16	23
28	так что	3	23
29	точки зрения	6	23
30	потому что	25	23
31	того что	13	22
32	прежде всего	18	22
33	для того	4	22
34	у нас	13	22
35	в которой	8	22
36	как в	9	22
37	того чтобы	4	21
38	это не	10	20
39	до сих	5	20
40	в то	2	19
41	сих пор	5	19
42	в своей	18	19
43	только в	7	19
44	об этом	2	18
45	не может	39	18
46	но также	2	18
47	в котором	9	18
48	он не	34	18
49	самом деле	2	17
50	в россии	2	17
51	в самом	15	17
52	как бы	10	17
53	в русской	4	17
54	с этим	4	16
55	сказать что	5	16
56	в ней	23	16
57	если бы	5	16
58	в этих	6	16
59	в отношении	6	15
60	с тем	10	15
61	как и	14	15
62	для него	28	15
63	я не	4	15
64	также и	6	15
65	и на	9	15
66	у него	38	15
67	к тому	6	14
68	между тем	2	14
69	то же	4	14
70	и что	4	14
71	в своем	17	13
72	в конце	11	13
73	тому что	2	13
74	но это	8	13
75	в нем	26	13
76	в той	3	13
77	жизни и	6	13
78	вместе с	7	13
79	что они	4	12
80	так как	10	12
81	хотя бы	8	12
82	что у	3	12
83	ни в	3	12
84	в своих	4	12
85	никогда не	30	11
86	вопрос о	7	11
87	и с	6	11
88	в них	5	11
89	все эти	3	11
90	и по	4	11
91	того как	3	11
92	не было	25	11
93	на самом	2	10
94	в каком	2	10
95	так же	5	10
96	в виду	2	10
97	а как	2	10
98	xix века	4	10
99	ничего не	4	10
100	что и	6	10
101	в истории	2	10
102	в начале	2	10
103	во всех	3	10
104	но не	8	10
105	что такое	2	10
106	но он	17	10
107	в каждом	4	9
108	в чем	3	9
109	что же	2	9
110	место в	4	9
111	он был	18	9
112	вряд ли	3	9
113	говорит что	3	9
114	с этой	4	9
115	и для	7	9
116	и к	9	9
117	для нас	3	9
118	и это	16	9
119	до конца	16	8
120	могут быть	2	8
121	отношение к	9	8
122	в их	4	8
123	связано с	5	8
124	той же	3	8
125	к этому	3	8
126	что она	5	8
127	должен был	4	8
128	одним из	2	8
129	и более	2	8
130	не имеет	7	8
131	еще более	3	8
132	в которых	5	8
133	о чем	3	7
134	это очень	3	7
135	уже в	6	7
136	конце концов	3	7
137	что все	5	7
138	в ее	3	7
139	не все	3	7
140	и то	2	7
141	то в	2	7
142	отличается от	2	7
143	лишь в	8	7
144	отношению к	4	7
145	на этот	2	7
146	по себе	2	7
147	то время	2	7
148	но с	2	7
149	на почве	3	7
150	не мог	6	7
151	в себе	12	6
152	по отношению	4	6
153	ни одного	2	6
154	должен быть	4	6
155	том смысле	2	6
156	его не	5	6
157	к нему	8	6
158	и все	13	6
159	этой трагедии	2	6
160	и во	5	6
161	и я	5	6
162	с его	6	6
163	одно из	3	6
164	его как	2	6
165	мы не	2	6
166	еще до	2	6
167	и здесь	6	6
168	же и	2	6
169	время как	2	6
170	в жизни	7	6
171	что за	2	6
172	и за	2	6
173	не о	2	5
174	не знали	2	5
175	его в	6	5
176	но если	4	5
177	не был	8	5
178	был для	2	5
179	это и	7	5
180	как он	4	5
181	нас не	2	5
182	и потому	17	5
183	не так	6	5
184	она была	2	5
185	что не	3	5
186	отношении к	4	5
187	один из	9	5
188	можно ли	2	5
189	не была	4	5
190	думать что	4	5
191	в сущности	2	5
192	никто не	3	5
193	должна быть	7	5
194	хотя и	2	5
195	не потому	2	5
196	во многих	2	5
197	в духе	6	5
198	которую он	2	5
199	не как	4	5
200	к ней	6	5
201	целый ряд	2	5
202	как будто	4	5
203	после того	2	5
204	на протяжении	2	5
205	нет и	6	5
206	ни с	4	5
207	вообще не	2	5
208	в творчестве	13	5
209	уже не	8	5
210	оно не	3	5
211	это был	2	5
212	конечно не	3	5
213	этого вопроса	3	4
214	не могут	6	4
215	от его	3	4
216	на этом	5	4
217	то есть	3	4
218	и у	3	4
219	по своей	4	4
220	же можно	2	4
221	и всегда	3	4
222	нет ни	3	4
223	как у	2	4
224	еще в	4	4
225	нужно искать	2	4
226	не знает	12	4
227	всего в	2	4
228	в такой	4	4
229	которые в	2	4
230	только с	3	4
231	они не	4	4
232	и без	2	4
233	и те	4	4
234	в образе	4	4
235	тему о	4	4
236	мы видим	4	4
237	и тогда	2	4
238	что было	2	4
239	это есть	4	4
240	должны быть	3	4
241	литературы и	2	4
242	относится к	2	4
243	если в	2	4
244	для этого	3	4
245	нет в	5	4
246	за пределы	5	4
247	в эпоху	2	4
248	значительной степени	2	4
249	есть в	3	4
250	и он	21	4
251	бы и	8	4
252	которые не	2	4
253	в значительной	2	4
254	в центре	4	4
255	и тот	2	4
256	в свете	3	4
257	и их	3	4
258	хотел бы	5	4
259	все что	5	4
260	но для	2	4
261	ни у	2	4
262	не существует	5	4
263	с которым	2	4
264	не для	2	4
265	более чем	3	4
266	значит что	4	4
267	в основе	4	4
268	быть не	2	4
269	и именно	2	4
270	связана с	9	4
271	будто бы	3	4
272	чем в	3	4
273	от него	4	3
274	отношений между	2	3
275	свои силы	3	3
276	от того	4	3
277	как к	2	3
278	не хочет	3	3
279	тогда когда	2	3
280	и других	2	3
281	он должен	4	3
282	к своему	2	3
283	что нет	2	3
284	нет никаких	2	3
285	движения в	2	3
286	себе в	3	3
287	к этим	3	3
288	она не	9	3
289	к этой	3	3
290	на том	3	3
291	и как	3	3
292	понимал что	2	3
293	разного рода	2	3
294	даже и	2	3
295	смысле слова	7	3
296	идей и	3	3
297	совсем не	3	3
298	не будет	3	3
299	но эта	2	3
300	и самый	2	3
301	себя и	6	3
302	в каком-то	2	3
303	и ее	2	3
304	эти слова	2	3
305	не были	2	3
306	я бы	2	3
307	в наше	2	3
308	бы в	3	3
309	все время	3	3
310	любовь к	10	3
311	а к	2	3
312	от этого	4	3
313	бы ни	2	3
314	особенно в	3	3
315	к концу	5	3
316	также в	2	3
317	бы не	4	3
318	которая не	2	3
319	и нужно	2	3
320	он хотел	3	3
321	чем у	8	3
322	не хотел	5	3
323	не значит	2	3
324	эта тема	2	3
