N	2gram	Bakhtin_Fr	KulturaY
1	и в	67	84
2	в том	16	74
3	потому что	8	68
4	не только	23	60
5	точки зрения	7	59
6	в этом	27	57
7	было бы	5	53
8	и не	23	52
9	может быть	4	47
10	том что	13	44
11	того чтобы	9	44
12	что в	14	44
13	для того	8	41
14	в самом	7	41
15	у нас	3	38
16	самом деле	6	37
17	хотя бы	2	37
18	так как	16	36
19	с точки	5	36
20	в области	2	34
21	таким образом	20	33
22	а не	6	33
23	можно было	5	32
24	если бы	2	32
25	не в	8	30
26	прежде всего	19	30
27	в его	17	30
28	все же	7	29
29	того что	4	28
30	не менее	4	28
31	все эти	12	28
32	не может	9	25
33	то что	9	25
34	вовсе не	19	25
35	еще не	5	24
36	с другой	3	24
37	так и	14	23
38	то же	18	23
39	только в	6	23
40	с помощью	6	23
41	но и	23	20
42	и что	3	20
43	что он	7	19
44	но в	20	19
45	тем что	3	19
46	о том	8	19
47	между тем	3	18
48	связи с	7	18
49	все это	15	18
50	в качестве	5	18
51	к тому	4	18
52	с тем	3	18
53	в сущности	13	18
54	как бы	18	18
55	и с	18	18
56	вместе с	5	18
57	это не	5	17
58	как раз	5	17
59	как это	5	17
60	можно говорить	2	17
61	что это	4	17
62	другой стороны	2	17
63	в той	2	17
64	слова и	2	17
65	в виду	2	16
66	ничего не	5	16
67	что не	4	16
68	что и	8	16
69	тот же	4	16
70	но не	6	16
71	один из	6	15
72	а в	4	15
73	при этом	5	15
74	в данном	4	15
75	целый ряд	2	15
76	лишь в	3	15
77	именно в	5	15
78	не было	3	15
79	как на	6	15
80	в нашем	3	15
81	в них	12	14
82	в связи	5	14
83	хотя и	6	14
84	как мы	16	14
85	сказать что	12	14
86	сих пор	3	14
87	также и	11	14
88	если мы	3	14
89	и на	12	14
90	в ней	10	14
91	до сих	3	14
92	не могут	3	13
93	это и	10	13
94	по существу	4	13
95	что она	4	13
96	в пределах	2	13
97	не случайно	3	13
98	в этой	13	13
99	в которых	3	13
100	там где	10	13
101	и его	19	13
102	той же	6	13
103	для этого	2	12
104	как в	4	12
105	того же	6	12
106	тогда когда	3	12
107	в результате	5	12
108	говорить о	5	12
109	еще и	6	11
110	должен быть	2	11
111	в их	4	11
112	в своем	13	11
113	из этих	4	11
114	в нем	20	11
115	этом отношении	7	11
116	и здесь	6	11
117	и то	2	11
118	и если	3	11
119	он не	9	11
120	так же	13	10
121	в то	17	10
122	к этому	4	10
123	они не	5	10
124	в общем	5	10
125	как и	19	10
126	ту же	3	10
127	бы и	2	10
128	с этим	6	10
129	тем более	3	10
130	бы в	5	10
131	несмотря на	3	10
132	в особенности	7	10
133	от того	3	10
134	в первом	3	10
135	на фоне	4	10
136	конечно не	5	10
137	этого рода	3	9
138	в целом	2	9
139	здесь не	7	9
140	что все	4	9
141	и для	4	9
142	в своей	6	9
143	можно сказать	4	9
144	рядом с	6	9
145	дает нам	2	9
146	а также	4	9
147	но это	10	9
148	и вот	4	9
149	не имеет	4	9
150	на то	2	9
151	ни в	5	9
152	и есть	5	9
153	подобного рода	2	9
154	на самом	8	8
155	в частности	4	8
156	мы видели	11	8
157	а потому	2	8
158	что на	3	8
159	в чем	6	8
160	с одной	2	8
161	и о	8	8
162	что они	3	8
163	с его	11	8
164	своего рода	7	8
165	да и	2	8
166	независимо от	3	8
167	по преимуществу	2	8
168	и как	7	8
169	об этом	5	8
170	но все	2	8
171	далеко не	6	8
172	в таком	2	8
173	тому же	5	8
174	до конца	2	7
175	в поэзии	3	7
176	казалось бы	2	7
177	как он	3	7
178	всякого рода	3	7
179	на том	2	7
180	одной стороны	2	7
181	нисколько не	4	7
182	языка но	2	7
183	например в	6	7
184	никак не	3	7
185	так сказать	2	7
186	не все	2	7
187	же и	2	7
188	в истории	2	7
189	а именно	2	7
190	в г	2	7
191	в самой	8	7
192	есть в	5	7
193	на этот	4	7
194	в котором	3	7
195	когда он	2	7
196	с ним	6	7
197	в одном	7	7
198	и вовсе	3	7
199	даже в	5	6
200	перед нами	6	6
201	данном случае	4	6
202	в себе	3	6
203	нуждается в	3	6
204	как к	2	6
205	роль в	5	6
206	на этом	7	6
207	это конечно	4	6
208	отличие от	3	6
209	от этого	2	6
210	на этой	3	6
211	в отличие	3	6
212	не столько	5	6
213	в ее	2	6
214	когда в	2	6
215	в корне	2	6
216	как будто	2	6
217	по поводу	5	6
218	за пределы	4	6
219	мы не	6	6
220	или в	3	6
221	только для	4	6
222	же время	14	6
223	романа в	2	6
224	соответствии с	2	6
225	чтобы не	2	6
226	никогда не	6	5
227	в отношении	2	5
228	и к	7	5
229	относится к	3	5
230	все те	2	5
231	не будем	3	5
232	в духе	4	5
233	в форме	2	5
234	в другом	4	5
235	в конце	12	5
236	и у	7	5
237	здесь как	4	5
238	и при	2	5
239	или менее	2	5
240	по своему	5	5
241	о нем	2	5
242	более или	2	5
243	в большей	2	5
244	учения о	2	5
245	так в	3	5
246	отметить что	3	5
247	нельзя было	2	5
248	и от	6	5
249	и он	4	5
250	всех этих	9	5
251	не как	3	5
252	и даже	6	5
253	кроме того	11	5
254	превращается в	5	5
255	у него	4	5
256	нас в	4	5
257	на протяжении	2	5
258	то он	2	5
259	конечно и	4	5
260	и их	6	5
261	только о	2	5
262	и только	2	5
263	мы находим	5	5
264	все они	7	4
265	его в	10	4
266	о чем	5	4
267	в каждом	3	4
268	первом случае	3	4
269	точку зрения	3	4
270	связано с	3	4
271	в гл	2	4
272	характер и	2	4
273	одно из	2	4
274	так например	3	4
275	нам в	2	4
276	и все	18	4
277	к нему	5	4
278	в различных	3	4
279	во втором	3	4
280	и без	3	4
281	между ними	4	4
282	же как	4	4
283	что даже	2	4
284	почти всегда	3	4
285	на все	4	4
286	пор еще	2	4
287	уже и	3	4
288	как известно	2	4
289	всего этого	3	4
290	в году	6	4
291	то в	3	4
292	это в	3	4
293	но дело	2	4
