N	2gram	Savitsky_E	VeschiIm
1	т е	9	81
2	не есть	2	79
3	и не	14	57
4	не только	18	48
5	то что	6	48
6	не может	9	46
7	и в	37	45
8	может быть	6	39
9	а не	2	37
10	это значит	2	30
11	потому что	3	25
12	было бы	8	24
13	в себе	9	23
14	по себе	4	23
15	только в	9	23
16	сказать что	4	22
17	и что	2	22
18	в смысле	9	22
19	как бы	6	20
20	что это	2	19
21	но и	14	19
22	что же	2	19
23	в этом	12	18
24	есть не	2	17
25	прежде всего	9	17
26	так как	7	17
27	того что	7	16
28	таким образом	2	16
29	в том	11	15
30	как и	7	15
31	в ней	4	15
32	не в	5	14
33	и то	2	14
34	том что	6	13
35	не будет	3	13
36	и для	3	13
37	в самом	4	13
38	то ни	4	13
39	но если	5	12
40	что в	21	12
41	точки зрения	23	12
42	что и	3	12
43	и как	2	12
44	то же	15	12
45	ни было	4	12
46	и даже	6	12
47	о том	3	12
48	и с	2	12
49	бы то	4	12
50	в то	16	11
51	вовсе не	6	11
52	также и	7	11
53	и только	3	11
54	есть ли	2	10
55	со стороны	5	9
56	в своем	14	9
57	она не	2	9
58	ли это	3	9
59	бы и	3	9
60	хотя бы	15	9
61	бы в	2	9
62	в результате	3	9
63	на то	6	9
64	но не	5	9
65	в отношении	32	8
66	и потому	5	8
67	но в	14	8
68	в ее	8	8
69	мы не	4	8
70	должна быть	2	8
71	можно сказать	4	8
72	по сравнению	2	8
73	с другими	2	8
74	если бы	2	8
75	с тем	3	8
76	с другой	7	8
77	отнюдь не	9	8
78	и тут	2	7
79	и тем	3	7
80	из них	3	7
81	а в	2	7
82	можно ли	3	7
83	то не	2	7
84	тем что	3	7
85	вообще не	3	7
86	с этой	6	7
87	ни на	3	7
88	мог бы	2	7
89	сравнению с	2	7
90	никогда не	3	6
91	в каком	4	6
92	вопрос о	4	6
93	как же	2	6
94	независимо от	4	6
95	ведь и	2	6
96	и все	2	6
97	между ними	2	6
98	в своей	8	6
99	как мы	5	6
100	в данном	3	6
101	можно было	3	6
102	дело в	3	6
103	в сфере	3	6
104	этот вопрос	2	6
105	несмотря на	4	6
106	в той	5	6
107	жизни и	2	6
108	с точки	17	6
109	в одном	2	6
110	и если	2	5
111	мы должны	2	5
112	и мы	3	5
113	свою очередь	2	5
114	вместе с	2	5
115	себе в	3	5
116	как это	4	5
117	того же	3	5
118	точка зрения	2	5
119	между прочим	7	5
120	тогда когда	2	5
121	на себя	3	5
122	мы видим	2	5
123	в его	2	5
124	хотя и	2	5
125	во всех	6	5
126	с а	2	5
127	в свою	3	5
128	так же	9	4
129	и притом	4	4
130	в силу	2	4
131	при помощи	2	4
132	в их	11	4
133	и чем	2	4
134	так и	10	4
135	что все	2	4
136	в этой	2	4
137	этой точки	5	4
138	его на	2	4
139	того чтобы	6	4
140	в качестве	14	4
141	во всяком	3	4
142	и от	3	4
143	само по	4	4
144	то в	4	4
145	с этим	2	4
146	есть в	2	4
147	как оно	2	4
148	и эта	2	4
149	и еще	2	4
150	к ней	4	4
151	мы можем	3	4
152	по своей	2	4
153	отношении к	15	4
154	и более	2	4
155	в котором	2	4
156	это так	3	4
157	главным образом	2	4
158	еще более	2	4
159	говорит о	3	4
160	же время	14	4
161	он не	2	4
162	из того	2	3
163	но как	2	3
164	не является	3	3
165	в потенции	2	3
166	но даже	4	3
167	себе не	3	3
168	но именно	2	3
169	в виде	5	3
170	в частности	5	3
171	мы видели	3	3
172	к нему	2	3
173	к тому	8	3
174	с в	2	3
175	одной стороны	8	3
176	другой стороны	2	3
177	же как	5	3
178	и во	2	3
179	заключается в	2	3
180	той или	4	3
181	в истории	2	3
182	ту или	3	3
183	тем более	4	3
184	от этого	5	3
185	не нужно	2	3
186	применении к	3	3
187	жизни в	3	3
188	для того	6	3
189	как в	3	3
190	с одной	8	3
191	всех прочих	2	3
192	не имеет	4	3
193	в своих	2	3
194	или иную	3	3
195	не можем	2	3
196	на язык	2	3
197	бы ни	3	3
198	но еще	2	3
199	или в	2	3
200	а тем	2	3
201	не к	2	3
202	прочим и	2	2
203	данном случае	2	2
204	тем самым	5	2
205	помнить что	2	2
206	в полной	4	2
207	то есть	6	2
208	наряду с	2	2
209	и таким	2	2
210	подходит к	2	2
211	и прежде	3	2
212	очевидно что	3	2
213	что если	2	2
214	и со	3	2
215	или по	2	2
216	с другом	3	2
217	не из	3	2
218	к природе	2	2
219	что на	2	2
220	в определенном	3	2
221	последние годы	3	2
222	всяком случае	3	2
223	и та	2	2
224	между собой	2	2
225	или вернее	2	2
226	и этот	2	2
227	не на	4	2
228	в применении	3	2
229	что эти	2	2
230	и можно	2	2
231	а также	7	2
232	в россии	5	2
233	утверждать что	2	2
234	но нужно	2	2
235	только к	2	2
236	по преимуществу	2	2
237	в данной	3	2
238	друг с	3	2
239	стороны и	6	2
240	как не	2	2
241	нечто абсолютно	2	2
242	этом отношении	3	2
243	данной области	2	2
244	в сферу	2	2
245	именно потому	2	2
246	далеко не	2	2
247	именно в	4	2
248	в последние	6	2
249	когда он	3	2
250	и к	3	2
251	но на	3	2
252	для нас	4	2
253	и на	6	2
254	которую мы	5	2
255	и того	2	2
256	он сам	2	2
257	как будто	2	2
258	только одно	2	2
259	только те	2	2
260	но с	2	2
261	этом смысле	3	2
262	во втором	2	2
263	на основе	2	2
