N	2gram	Losev_Prob	KFilosof
1	может быть	11	45
2	в его	19	42
3	в нем	8	32
4	не может	6	29
5	и не	29	28
6	и в	48	28
7	по отношению	2	26
8	в котором	5	24
9	отношению к	2	22
10	не есть	3	22
11	в себе	7	21
12	и его	11	18
13	только в	21	18
14	в своем	16	17
15	в ее	6	17
16	а не	7	17
17	в этом	31	15
18	не в	16	13
19	для него	2	13
20	точки зрения	17	13
21	но не	12	12
22	и это	3	12
23	к нему	3	12
24	ни в	17	12
25	в своей	29	11
26	во всех	2	11
27	все эти	12	11
28	это не	8	10
29	и для	11	10
30	все это	8	10
31	с точки	13	10
32	и есть	4	10
33	в их	4	9
34	но и	21	9
35	как бы	10	9
36	и все	12	9
37	если бы	2	8
38	не было	4	8
39	быть только	6	8
40	жизни и	7	8
41	было бы	12	8
42	для себя	6	7
43	должен быть	2	7
44	то что	26	7
45	уже не	12	7
46	отнюдь не	14	7
47	конечно не	2	7
48	и только	4	7
49	что и	8	7
50	во всем	5	7
51	вовсе не	18	7
52	отношение к	3	6
53	но эта	2	6
54	мира в	3	6
55	в том	25	6
56	но все	6	6
57	не имеет	3	6
58	в смысле	8	6
59	и их	7	6
60	я не	3	6
61	но это	7	6
62	он не	4	6
63	никогда не	7	5
64	его в	9	5
65	все же	12	5
66	не только	28	5
67	мы имеем	3	5
68	но как	3	5
69	его как	2	5
70	хотя бы	11	5
71	то же	6	5
72	жизни в	7	5
73	еще не	4	5
74	а в	8	5
75	но в	17	5
76	как и	10	5
77	именно в	11	5
78	в одном	6	5
79	с ним	4	5
80	что это	4	4
81	тем самым	2	4
82	том что	29	4
83	нисколько не	7	4
84	что в	12	4
85	и жизни	2	4
86	не как	3	4
87	и весь	2	4
88	ни было	2	4
89	чем не	2	4
90	прежде всего	15	4
91	в чем	3	4
92	здесь мы	2	4
93	к ним	3	4
94	в своих	3	4
95	мира и	5	4
96	для нас	14	4
97	при этом	6	4
98	между тем	2	4
99	до конца	4	3
100	или иного	2	3
101	ничего не	3	3
102	ясно и	2	3
103	того или	3	3
104	в то	6	3
105	на самом	2	3
106	здесь не	12	3
107	человека и	4	3
108	всех этих	3	3
109	в каждом	2	3
110	в другом	6	3
111	это и	4	3
112	тем что	2	3
113	и тем	4	3
114	бы не	4	3
115	для того	4	3
116	где он	2	3
117	самом деле	3	3
118	тем как	2	3
119	в виду	3	3
120	людей и	13	3
121	в корне	2	3
122	по своему	3	3
123	нет и	3	3
124	нем и	2	3
125	не менее	8	3
126	и ни	4	3
127	о том	17	3
128	мы здесь	2	3
129	что этот	6	3
130	в ней	4	3
131	в свою	4	3
132	могут быть	2	3
133	но для	2	3
134	этом смысле	4	3
135	тогда когда	4	3
136	здесь нет	4	3
137	и совершенно	2	3
138	и на	9	3
139	человека вообще	2	3
140	что не	3	3
141	того что	8	3
142	мы не	7	3
143	той или	5	3
144	и делает	2	3
145	был бы	2	3
146	меня в	4	3
147	тот же	6	3
148	ясно что	11	3
149	не о	2	2
150	именно она	2	2
151	и то	6	2
152	и чувство	2	2
153	в мир	3	2
154	для этого	2	2
155	только по	2	2
156	или иной	4	2
157	и потому	4	2
158	в данном	6	2
159	его к	2	2
160	его с	2	2
161	его на	3	2
162	себе а	3	2
163	и ее	2	2
164	дело в	4	2
165	то ни	4	2
166	к этому	2	2
167	вопрос о	2	2
168	это было	2	2
169	в это	3	2
170	тем не	8	2
171	но всегда	2	2
172	и как	10	2
173	в виде	25	2
174	а как	2	2
175	в области	3	2
176	а с	4	2
177	что он	12	2
178	из которых	2	2
179	и за	2	2
180	которого и	2	2
181	со всеми	5	2
182	этот мир	3	2
183	так и	15	2
184	ни к	2	2
185	жизнь и	6	2
186	что только	3	2
187	едва ли	13	2
188	в жизни	4	2
189	с тем	7	2
190	это уже	4	2
191	как в	3	2
192	на первом	3	2
193	от этого	4	2
194	всей своей	2	2
195	в сознании	3	2
196	тому что	2	2
197	можно ли	2	2
198	гораздо более	5	2
199	еще более	4	2
200	ему в	3	2
201	вся эта	3	2
202	если не	6	2
203	но я	2	2
204	он и	5	2
205	и ясно	2	2
206	один из	2	2
207	это можно	2	2
208	него и	2	2
209	по себе	5	2
210	и просто	3	2
211	потому что	21	2
212	совсем не	4	2
213	и всех	2	2
214	и под	2	2
215	не будет	4	2
216	раз и	2	2
217	того чтобы	3	2
218	что эта	3	2
219	именно на	2	2
220	и смерти	3	2
221	в качестве	9	2
222	ничего общего	6	2
223	человек и	2	2
224	первом плане	3	2
225	это есть	2	2
226	дело здесь	2	2
227	в этой	14	2
228	бы то	4	2
229	с его	3	2
