N	3gram	Vygotskiy_	EvropaiE
1	с точки зрения	5	16
2	с одной стороны	15	8
3	в том что	30	6
4	этой точки зрения	3	5
5	для того чтобы	41	5
6	с этой точки	3	5
7	так же как	3	5
8	той или иной	2	4
9	не только в	5	4
10	и в этом	2	4
11	само по себе	3	4
12	заключает в себе	6	3
13	в этом отношении	3	3
14	можно сказать что	3	3
15	в этом смысле	3	3
16	можно было бы	4	3
17	друг с другом	6	3
18	из того что	3	2
19	то что в	4	2
20	в данном случае	3	2
21	сказать что в	2	2
22	с другой стороны	8	2
23	нам кажется что	2	2
24	друг от друга	2	2
25	на то что	25	2
26	и в частности	2	2
27	по себе не	2	2
28	заключается в том	9	2
29	по сравнению с	4	2
30	не может быть	4	2
