N	2gram	Bakhtin_KF	Vladivir
1	и в	28	116
2	то что	7	71
3	и не	28	67
4	не только	5	65
5	в этом	15	53
6	в том	6	52
7	том что	4	51
8	что в	4	48
9	но и	9	47
10	в его	42	40
11	же с	2	34
12	потому что	2	33
13	что он	2	32
14	не может	29	31
15	о том	3	30
16	только в	18	30
17	никогда не	5	29
18	для него	13	29
19	вовсе не	7	27
20	а в	5	27
21	не было	8	26
22	в то	3	25
23	но в	5	25
24	в себе	21	25
25	и то	2	25
26	и его	18	25
27	точки зрения	13	23
28	может быть	45	23
29	он не	6	23
30	в виде	2	22
31	ни в	12	22
32	в своей	11	21
33	в своем	17	20
34	прежде всего	4	20
35	для нас	4	20
36	и потому	2	19
37	так и	2	19
38	не менее	3	19
39	тем не	2	19
40	не в	13	18
41	как и	5	18
42	с его	2	18
43	едва ли	2	17
44	что и	7	17
45	в этой	2	17
46	а не	17	17
47	уже не	7	16
48	все же	5	16
49	того что	3	16
50	совсем не	2	16
51	было бы	8	16
52	и все	9	16
53	для себя	7	16
54	в котором	24	16
55	не есть	22	16
56	до конца	3	15
57	но это	6	15
58	к этому	2	15
59	это было	2	15
60	то же	5	15
61	в своих	4	15
62	все эти	11	14
63	его жизни	3	14
64	и как	2	14
65	и на	3	14
66	раз и	2	14
67	с тем	2	13
68	что это	4	13
69	дело в	2	13
70	жизни и	8	13
71	во всем	7	13
72	ничего не	3	12
73	в нем	32	12
74	и это	12	12
75	если не	2	12
76	по себе	2	12
77	я не	6	11
78	при этом	4	11
79	все это	10	11
80	это есть	2	11
81	в данном	2	11
82	хотя бы	5	11
83	и здесь	7	11
84	о нем	4	10
85	к нему	12	10
86	в ней	3	10
87	в качестве	2	10
88	еще не	5	10
89	но не	12	10
90	отнюдь не	7	10
91	он и	2	10
92	с точки	10	10
93	здесь не	3	10
94	с ним	5	10
95	это не	10	9
96	для меня	22	9
97	но как	5	9
98	а с	2	9
99	в целом	10	9
100	не будет	2	9
101	именно в	5	9
102	этом смысле	3	9
103	же время	2	9
104	отношение к	6	8
105	в чем	4	8
106	себя в	8	8
107	как бы	9	8
108	тот же	3	8
109	должно быть	6	8
110	тем что	3	8
111	и я	6	8
112	как в	2	8
113	и для	10	8
114	свое бытие	2	8
115	со стороны	8	8
116	в это	2	8
117	которой он	2	8
118	конечно не	7	8
119	в смысле	6	8
120	в каком	4	7
121	философии но	2	7
122	и ни	3	7
123	не имеет	6	7
124	себе и	3	7
125	на первом	2	7
126	нисколько не	4	7
127	того чтобы	2	7
128	здесь мы	4	7
129	из его	3	7
130	бы и	3	7
131	и мы	2	7
132	если бы	8	7
133	ничего общего	2	7
134	или как	2	7
135	но все	6	7
136	в одном	5	7
137	что этот	3	7
138	и есть	10	7
139	его в	5	6
140	а это	2	6
141	от того	3	6
142	в виду	3	6
143	тому что	2	6
144	его на	2	6
145	жизнь и	2	6
146	по своему	3	6
147	для того	3	6
148	мы не	3	6
149	в жизни	2	6
150	но я	2	6
151	ко всему	5	6
152	вопрос о	2	5
153	философии в	2	5
154	и тем	3	5
155	вся эта	2	5
156	в их	9	5
157	быть в	4	5
158	она не	2	5
159	и за	2	5
160	один из	2	5
161	место в	6	5
162	то ни	2	5
163	бытия и	10	5
164	первом плане	2	5
165	в области	2	5
166	сводится к	2	5
167	бы то	2	5
168	мы имеем	5	5
169	во всех	11	5
170	жизни в	5	5
171	где он	3	5
172	что я	5	5
173	еще более	2	5
174	в свою	3	5
175	и только	7	5
176	не о	2	4
177	всех своих	4	4
178	на самом	3	4
179	всех этих	3	4
180	тем самым	4	4
181	для нее	9	4
182	человека и	3	4
183	но для	3	4
184	котором он	3	4
185	ясно что	3	4
186	как к	2	4
187	это и	3	4
188	и других	2	4
189	совершенно не	7	4
190	только с	3	4
191	есть его	2	4
192	и просто	2	4
193	себя и	5	4
194	него и	2	4
195	кажется что	2	4
196	и эта	2	4
197	независимо от	3	4
198	но этот	2	4
199	и весь	4	4
200	лишь в	8	4
201	ни к	2	4
202	за свое	4	4
203	нет и	3	4
204	всей своей	2	4
205	поскольку он	3	4
206	это можно	2	4
207	ему в	2	4
208	единой и	3	3
209	ясно и	3	3
210	время и	5	3
211	можно и	2	3
212	от него	3	3
213	и ее	2	3
214	я его	2	3
215	не как	4	3
216	в другом	3	3
217	я должен	7	3
218	он ни	2	3
219	но эта	6	3
220	мы здесь	3	3
221	самом деле	3	3
222	бытие и	3	3
223	здесь нет	3	3
224	этот факт	2	3
225	к которой	2	3
226	его к	2	3
227	гораздо более	2	3
228	не нужно	2	3
229	что не	3	3
230	и она	2	3
231	и этот	3	3
232	был бы	3	3
233	бы он	2	3
234	с ними	4	3
235	только как	4	3
236	дело не	2	3
237	я и	5	3
238	отношении к	2	3
239	что есть	2	3
240	в мире	8	3
241	думать что	2	3
242	всей его	2	3
243	оно не	2	3
244	ни у	2	3
245	а по	2	3
246	меня и	3	3
247	и навсегда	2	3
248	и действительно	6	3
249	человек не	2	3
250	философии жизни	2	3
251	один и	3	3
252	быть и	3	3
253	но можно	4	2
254	свою жизнь	2	2
255	бытия в	5	2
256	нас важно	2	2
257	бытия как	5	2
258	не потому	2	2
259	к себе	2	2
260	ни было	4	2
261	смысла и	2	2
262	не могу	3	2
263	в теоретической	2	2
264	не по	4	2
265	во мне	3	2
266	к чему	3	2
267	в действительном	6	2
268	я имею	3	2
269	все во	2	2
270	в момент	3	2
271	познания в	2	2
272	не имеем	3	2
273	со всеми	2	2
274	нее в	2	2
275	как предмет	2	2
276	и совершенно	3	2
277	которой я	2	2
278	могло бы	4	2
279	рядом с	3	2
280	всем его	3	2
281	в бытии	26	2
282	не из	2	2
283	и само	2	2
284	мира и	4	2
285	поскольку она	2	2
286	однако что	2	2
287	можно ли	2	2
288	меня не	4	2
289	содержания и	2	2
290	в ее	17	2
291	той или	3	2
292	и может	3	2
293	должна быть	4	2
294	этого слова	2	2
295	своем месте	2	2
296	в основе	5	2
297	этот момент	7	2
298	что только	2	2
299	его как	5	2
300	менее всего	6	2
301	с ее	2	2
302	от этого	2	2
303	и тот	3	2
304	дело с	2	2
305	но лишь	7	2
306	а значит	2	2
307	та же	3	2
308	все они	2	2
309	нигде не	3	2
310	и их	6	2
311	его и	2	2
312	чем не	4	2
313	во всей	4	2
314	и пр	3	2
315	при условии	2	2
316	из которых	2	2
