N	2gram	Vygotskiy_	Sotsiolo
1	все это	11	7
2	в том	55	5
3	в этом	21	5
4	для нас	5	3
5	не только	25	3
6	и только	5	3
7	в его	8	3
8	не в	19	3
9	и в	55	3
10	это и	3	2
11	должна быть	3	2
12	еще не	2	2
13	только в	18	2
14	что в	39	2
15	в частности	6	2
16	том что	30	2
17	было бы	14	2
18	таким образом	38	2
19	в смысле	3	2
20	то же	17	2
21	только как	3	2
22	как будто	10	2
23	и что	28	2
24	конце концов	6	2
25	как только	3	2
26	то что	47	2
27	и заключается	4	2
28	как бы	11	2
29	но и	12	2
30	главным образом	3	2
31	очевидно что	7	2
32	в конце	6	2
33	за пределы	2	2
34	и мы	6	2
35	далеко не	7	2
36	может быть	35	2
37	по существу	6	2
38	в результате	4	2
