N	2gram	Medvedev_U	Freidism
1	и не	8	34
2	таким образом	2	34
3	не может	7	30
4	может быть	6	28
5	и в	14	28
6	в этом	7	28
7	прежде всего	8	26
8	в его	2	25
9	то что	7	17
10	самом деле	2	14
11	в своей	3	14
12	но в	3	13
13	как и	3	13
14	том что	2	12
15	то же	5	12
16	что он	2	12
17	в самом	2	12
18	для него	3	12
19	все это	5	12
20	только в	2	11
21	и с	2	10
22	не только	10	10
23	но и	4	10
24	не в	2	10
25	в том	2	10
26	конечно не	4	10
27	могут быть	2	9
28	мы не	2	9
29	а не	10	9
30	с его	2	9
31	все же	3	8
32	было бы	3	8
33	не могут	2	7
34	в то	3	7
35	в себе	2	7
36	хотя бы	5	7
37	и для	2	7
38	и у	2	7
39	но не	2	7
40	что все	2	7
41	в этой	4	7
42	для этого	3	6
43	всех этих	2	6
44	и только	5	6
45	что такое	4	6
46	как раз	2	6
47	же время	3	6
48	ничего не	2	5
49	т.е в	2	5
50	что она	2	5
51	на первый	2	5
52	что и	2	5
53	это не	3	5
54	но это	2	4
55	в области	3	4
56	этом отношении	2	4
57	если бы	2	4
58	этой области	3	4
59	по себе	2	4
60	мы и	2	4
61	то ни	3	4
62	сводится к	2	4
63	и то	3	3
64	конечном счете	4	3
65	а как	2	3
66	одним из	2	3
67	у нас	3	3
68	сих пор	2	3
69	в искусстве	6	3
70	и является	2	3
71	это уже	2	3
72	в конечном	4	3
73	для всех	2	3
74	что мы	2	3
75	формы и	2	3
76	не приходится	2	3
77	до сих	2	3
78	между тем	2	3
79	представляется нам	2	3
80	бы то	3	3
81	в широком	2	2
82	бы и	2	2
83	превращается в	2	2
84	и через	2	2
85	это было	2	2
86	не как	3	2
87	его и	2	2
88	фактов и	2	2
89	в конце	2	2
90	пишет он	2	2
91	конце концов	2	2
92	все они	2	2
93	в некоторых	2	2
94	в их	4	2
95	ни было	3	2
96	нас в	2	2
97	должна быть	2	2
98	материал для	2	2
99	не есть	2	2
100	с другой	4	2
101	а его	2	2
102	этом смысле	2	2
103	художественной формы	2	2
104	могли бы	2	2
105	не следует	3	2
106	же самое	2	2
