N	3gram	Trubetskoy	Tvorches
1	в то же	2	25
2	то же время	2	24
3	в том что	16	11
4	о том что	4	8
5	не может быть	4	6
6	по отношению к	11	5
7	в том же	3	5
8	в самом деле	5	5
9	с точки зрения	8	4
10	до сих пор	15	4
11	как и в	2	3
12	с другой стороны	4	3
13	во всяком случае	2	3
14	на самом деле	7	2
15	тем не менее	4	2
16	для того чтобы	7	2
17	в этой области	4	2
18	в связи с	3	2
19	вместе с тем	3	2
20	заключается в том	3	2
21	в конце концов	4	2
22	так же как	3	2
23	заключает в себе	2	2
24	в данном случае	3	2
25	только то что	2	2
26	в высшей степени	2	2
27	все же не	3	2
28	к тому же	5	2
29	в свою очередь	2	2
