N	3gram	Bakhtin_Pr	KulturaY
1	с точки зрения	13	36
2	в том что	6	33
3	можно было бы	2	25
4	тем не менее	2	19
5	с другой стороны	3	17
6	в зависимости от	3	16
7	до сих пор	8	14
8	по крайней мере	2	13
9	по отношению к	5	13
10	не может быть	8	11
11	о том что	3	10
12	в этом смысле	5	10
13	в то же	8	6
14	той или иной	2	6
15	хотя бы и	2	6
16	то же время	8	6
17	в свое время	4	6
18	более или менее	3	5
19	в соответствии с	2	5
20	так и в	2	5
21	сих пор еще	2	4
22	на то что	2	4
23	смысле этого слова	2	4
24	в большей или	5	3
25	на этой почве	2	3
26	на себя внимание	2	3
27	или меньшей степени	5	3
28	не то что	3	3
29	тех или иных	2	3
30	большей или меньшей	6	3
31	сама по себе	2	3
32	и прежде всего	5	2
33	мы имеем в	3	2
34	в строгом смысле	2	2
35	друг от друга	2	2
36	ровно ничего не	2	2
37	а следовательно и	2	2
38	в широком смысле	2	2
39	в большинстве случаев	9	2
40	может быть и	2	2
41	хотя и не	3	2
42	в собственном смысле	3	2
43	в том числе	15	2
44	в известной мере	3	2
45	несколько слов о	3	2
46	можно сказать что	6	2
47	в каждом из	3	2
48	и в то	3	2
49	по сравнению с	6	2
