N	2gram	Ircho_Kome	Poddanst
1	не только	13	17
2	и в	37	14
3	и не	28	12
4	в области	3	11
5	в этом	18	10
6	в отношении	4	10
7	но в	7	9
8	то же	14	9
9	в том	24	9
10	в качестве	4	9
11	хотя бы	5	8
12	в пределах	3	8
13	в то	14	7
14	только в	3	7
15	же время	12	7
16	но и	18	6
17	было бы	7	6
18	в смысле	2	6
19	в ней	7	6
20	с другой	5	5
21	не в	7	5
22	и о	3	5
23	в которых	7	5
24	может быть	14	5
25	что в	11	4
26	если бы	18	4
27	на пути	2	4
28	и потому	2	4
29	в своем	9	4
30	том что	22	4
31	а также	3	4
32	в котором	6	4
33	и к	4	4
34	как бы	7	4
35	и если	3	4
36	то что	5	4
37	не может	9	4
38	в с	2	4
39	а в	12	4
40	же в	3	4
41	что мы	4	3
42	и как	3	3
43	с тем	6	3
44	но не	9	3
45	это не	3	3
46	т е	18	3
47	с точки	6	3
48	столь же	5	3
49	мы не	6	3
50	я и	2	3
51	для того	9	3
52	в себе	4	3
53	точки зрения	8	3
54	потому что	19	3
55	одной стороны	4	3
56	в нем	8	3
57	между тем	6	3
58	и без	2	3
59	могут быть	3	3
60	прежде всего	7	3
61	и т	5	3
62	е и	2	3
63	хотя и	6	3
64	тот же	11	3
65	с одной	5	3
66	наряду с	4	3
67	для нас	7	2
68	не о	3	2
69	да и	3	2
70	что из	2	2
71	г и	2	2
72	в них	6	2
73	в мире	2	2
74	было в	2	2
75	если в	4	2
76	отношения к	2	2
77	никак не	2	2
78	стороны и	4	2
79	к началу	3	2
80	и мы	5	2
81	iii в	7	2
82	и это	4	2
83	более чем	6	2
84	и тем	4	2
85	в его	12	2
86	с этим	5	2
87	по сравнению	3	2
88	и вот	3	2
89	не менее	9	2
90	говорить о	6	2
91	со стороны	16	2
92	в последние	2	2
93	в начале	5	2
94	еще более	4	2
95	тем более	9	2
96	все это	7	2
97	в частности	4	2
98	том числе	2	2
99	друг другу	3	2
100	а не	5	2
101	не было	6	2
102	и есть	3	2
103	например в	3	2
104	и с	5	2
105	во всех	4	2
106	в ее	3	2
107	ii в	3	2
108	как раз	9	2
109	в силу	2	2
110	главным образом	2	2
111	из них	11	2
112	не столько	3	2
113	отнюдь не	5	2
