N	3gram	Losev_Prob	Vladivir
1	в том что	7	29
2	о том что	16	22
3	тем не менее	25	18
4	что же касается	3	14
5	и то что	9	14
6	в то время	2	13
7	необходимо сказать что	6	13
8	дело в том	3	13
9	во всяком случае	11	12
10	в связи с	7	12
11	более или менее	7	11
12	содержит в себе	7	11
13	в конце концов	11	11
14	в то же	4	10
15	с точки зрения	3	10
16	не может быть	5	10
17	вместе с тем	2	10
18	как раз и	11	9
19	на этот раз	2	9
20	то что он	3	9
21	в этом смысле	8	9
22	а также и	2	8
23	на то что	12	8
24	это значит что	3	7
25	на первый план	3	7
26	точно так же	7	7
27	у нас выше	2	7
28	как это мы	2	6
29	в данном случае	10	6
30	том что в	2	6
31	также и то	4	6
32	в настоящее время	17	6
33	с другой стороны	7	6
34	и в этом	5	6
35	так или иначе	7	6
36	в истории философии	2	6
37	бы то ни	2	5
38	то время как	2	5
39	не говоря уже	6	5
40	не только в	3	5
41	и в его	2	5
42	то что в	4	5
43	по крайней мере	8	4
44	на эту тему	2	4
45	сам по себе	7	4
46	мы увидим ниже	2	4
47	можно сказать что	6	4
48	говоря уже о	5	4
49	вовсе не есть	12	4
50	как мы уже	2	4
51	и ни в	2	4
52	не что иное	5	4
53	в этом отношении	2	4
54	также и в	2	4
55	можно было бы	4	4
56	заключается в том	2	4
57	с одной стороны	4	4
58	для того чтобы	9	4
59	что иное как	5	4
60	и т д	12	4
61	то это значит	2	4
62	в том случае	2	3
63	с самого начала	2	3
64	ни в каком	7	3
65	иметь в виду	4	3
66	не имеет никакого	2	3
67	ничего общего с	9	3
68	даже и в	3	3
69	в том числе	2	3
70	только то что	6	3
71	в самом деле	4	3
72	только в том	4	3
73	во что бы	2	3
74	и в частности	3	3
75	не только не	4	3
76	по этому поводу	5	3
77	что бы то	2	3
78	хотя бы и	3	3
79	хотя и не	2	3
80	истории философии и	2	3
81	это вовсе не	2	3
82	мы должны сказать	2	3
83	то ни стало	2	3
84	а то что	2	3
85	свидетельствует о том	3	3
86	можно сколько угодно	2	3
87	а не только	2	2
88	и что в	2	2
89	да и то	2	2
90	что же именно	2	2
91	или по крайней	4	2
92	так и в	2	2
93	не имеет ничего	4	2
94	может быть и	5	2
95	с тем что	2	2
96	то что мы	11	2
97	так же как	2	2
98	есть прежде всего	3	2
99	имеет ничего общего	4	2
100	мы не будем	2	2
101	и не есть	3	2
102	нельзя сказать что	2	2
103	даже и не	4	2
104	до сих пор	6	2
105	как мы увидим	2	2
106	в себе не	3	2
107	и на его	2	2
108	в таком случае	14	2
109	одной стороны и	2	2
110	но как раз	2	2
111	и того что	3	2
112	и тем не	8	2
113	что в нем	4	2
114	есть не что	5	2
115	здесь перед нами	3	2
116	так как он	2	2
117	в этой области	5	2
118	в этом случае	6	2
119	так же и	4	2
120	будет сказать что	3	2
121	имел в виду	2	2
122	не то что	2	2
123	до тех пор	4	2
124	связи с этим	2	2
