N	2gram	Losev_Prob	Mirosoze
1	и в	48	97
2	у достоевского	4	94
3	может быть	11	64
4	не только	28	63
5	в этом	31	55
6	но и	21	54
7	он не	4	53
8	а не	7	53
9	в нем	8	49
10	не может	6	49
11	у него	13	47
12	и не	29	39
13	никогда не	7	38
14	человеческого духа	4	38
15	потому что	21	37
16	в ней	4	37
17	не было	4	36
18	не в	16	34
19	и есть	4	33
20	для него	2	31
21	человека в	3	30
22	не есть	3	30
23	но он	5	30
24	прежде всего	15	29
25	как и	10	29
26	но в	17	27
27	и он	5	27
28	человека и	4	26
29	и это	3	25
30	в своей	29	25
31	он был	5	25
32	и все	12	24
33	свободы и	4	24
34	у нас	17	24
35	в своем	16	23
36	что в	12	23
37	что он	12	22
38	в самом	7	21
39	в себе	7	20
40	отношение к	3	20
41	до конца	4	19
42	в россии	2	19
43	как бы	10	19
44	в его	19	18
45	и потому	4	17
46	того что	8	17
47	любви к	2	17
48	в том	25	16
49	том что	29	16
50	то что	26	16
51	было бы	12	16
52	на земле	11	16
53	и его	11	16
54	духа в	2	15
55	зла и	3	15
56	в этой	14	15
57	в котором	5	15
58	нет ничего	3	14
59	в конце	10	14
60	так как	10	14
61	о великом	2	13
62	и на	9	13
63	это не	8	12
64	добра и	2	12
65	и у	8	12
66	к нему	3	12
67	смысле слова	12	12
68	в них	5	12
69	все это	8	12
70	но не	12	12
71	он сам	3	12
72	с тем	7	11
73	но это	7	11
74	хотя бы	11	11
75	в которой	7	11
76	только в	21	11
77	был бы	2	11
78	как в	3	11
79	и для	11	11
80	в русской	4	11
81	уже не	12	11
82	и к	9	11
83	жизни и	7	11
84	духа и	2	11
85	не могут	3	10
86	для человека	2	10
87	так же	7	10
88	это и	4	10
89	один из	2	10
90	то же	6	10
91	не имеет	3	10
92	в самой	5	10
93	доходит до	2	9
94	а в	8	9
95	к тому	7	9
96	не будет	4	9
97	что и	8	9
98	и во	2	9
99	я не	3	9
100	то есть	38	9
101	все что	2	9
102	в свою	4	9
103	человек и	2	9
104	с ним	4	9
105	не мог	5	9
106	вместе с	15	9
107	вопрос о	2	8
108	ничего не	3	8
109	в человека	3	8
110	в этих	3	8
111	не так	4	8
112	они не	3	8
113	жизнь в	3	8
114	мира и	5	8
115	что не	3	8
116	того чтобы	3	8
117	в отношении	8	8
118	только и	9	8
119	с его	3	8
120	тем что	2	8
121	для того	4	8
122	нет и	3	8
123	о том	17	8
124	и с	10	8
125	еще в	6	8
126	уже в	4	8
127	как он	2	7
128	в духе	4	7
129	должен быть	2	7
130	он в	5	7
131	мог бы	2	7
132	точки зрения	17	7
133	все еще	4	7
134	что она	2	7
135	жизни в	7	7
136	в жизни	4	7
137	не хотел	2	7
138	также и	21	7
139	в нашем	5	7
140	если он	4	7
141	все в	3	7
142	от нее	2	7
143	во всем	5	7
