N	2gram	Tiupa_Lite	EvropaiC
1	таким образом	4	34
2	в том	22	31
3	и в	26	24
4	том что	19	20
5	все эти	2	19
6	не может	10	18
7	то что	14	18
8	может быть	24	17
9	все же	6	15
10	точки зрения	8	14
11	в этом	19	13
12	в своем	12	12
13	самом деле	2	12
14	между тем	2	12
15	по отношению	6	11
16	но и	25	11
17	отношению к	4	11
18	культуры и	2	11
19	не только	29	10
20	так и	7	10
21	во всех	4	10
22	как и	13	10
23	культуры в	5	10
24	все что	3	10
25	как бы	8	10
26	в результате	2	9
27	и не	19	9
28	не в	11	9
29	что в	7	9
30	на то	2	9
31	того же	5	9
32	потому что	5	9
33	при этом	23	9
34	и что	2	9
35	из этих	2	8
36	для того	2	8
37	к тому	3	8
38	в самом	4	8
39	с точки	4	8
40	для этого	5	7
41	в сознании	3	7
42	так как	2	7
43	в силу	4	7
44	по своей	3	7
45	что он	8	7
46	того что	7	7
47	не менее	11	7
48	о том	3	7
49	из этого	2	7
50	что и	3	7
51	в этой	7	7
52	по существу	4	7
53	вместе с	5	7
54	в мире	9	6
55	только в	8	6
56	все они	2	6
57	еще не	4	6
58	так что	4	6
59	в то	12	6
60	должна быть	3	6
61	с другой	11	6
62	и на	5	6
63	несмотря на	3	6
64	тогда как	20	6
65	как на	3	6
66	тому же	2	6
67	с ним	2	6
68	его в	4	5
69	в себе	8	5
70	к этому	2	5
71	как к	4	5
72	тех кто	3	5
73	лишь в	4	5
74	так называемого	2	5
75	из них	5	5
76	от культуры	2	5
77	так или	8	5
78	у него	5	5
79	далеко не	4	5
80	но в	5	5
81	столь же	5	5
82	или иначе	9	5
83	а потому	4	5
84	и с	4	5
85	другой стороны	5	5
86	в целом	10	5
87	в его	9	5
88	как будто	2	5
89	никогда не	5	4
90	и то	3	4
91	самого себя	3	4
92	как сказано	2	4
93	из того	3	4
94	хотя бы	3	4
95	тем не	4	4
96	в конце	6	4
97	и т.д	8	4
98	иначе говоря	2	4
99	та же	2	4
100	то же	13	4
101	в их	3	4
102	выше и	2	4
103	том же	3	4
104	в области	5	4
105	а с	2	4
106	одним из	8	4
107	что его	3	4
108	что для	2	4
109	с тем	2	4
110	этом случае	2	4
111	и культуры	3	4
112	есть культура	2	4
113	не есть	2	4
114	из которых	3	4
115	связи с	7	4
116	он не	4	4
117	культуре и	2	4
118	даже в	6	3
119	данном случае	6	3
120	тем самым	8	3
121	это не	4	3
122	от него	2	3
123	в начале	4	3
124	тем более	2	3
125	каждый из	4	3
126	но даже	2	3
127	ни было	2	3
128	очевидно что	2	3
129	с этой	6	3
130	в этих	2	3
131	и других	4	3
132	в связи	4	3
133	и наконец	2	3
134	во имя	3	3
135	не надо	2	3
136	у нас	5	3
137	но по	2	3
138	прежде всего	14	3
139	отличие от	6	3
140	с одной	9	3
141	одно из	3	3
142	в жизни	7	3
143	но не	8	3
144	целом ряде	2	3
145	в данном	7	3
146	а в	5	3
147	на почве	2	3
148	в нем	4	3
149	освободиться от	2	3
150	в ней	4	3
151	для нас	3	3
152	было бы	4	3
153	ничего общего	2	3
154	от тех	2	3
155	в нашем	2	3
156	же как	3	3
157	и того	2	3
158	как мы	2	3
159	одна из	8	2
160	все то	2	2
161	нет в	2	2
162	тех же	3	2
163	то в	3	2
164	то и	5	2
165	в индивидуальном	2	2
166	только то	3	2
167	но как	3	2
168	а к	2	2
169	одну из	2	2
170	то есть	11	2
171	в другом	3	2
172	свою очередь	2	2
173	до тех	2	2
174	для себя	6	2
175	друг друга	5	2
176	должен быть	2	2
177	в виду	4	2
178	не было	5	2
179	в частности	18	2
180	него в	2	2
181	от себя	2	2
182	такой же	3	2
183	а для	3	2
184	не знает	3	2
185	в глазах	4	2
186	и будет	2	2
187	для него	6	2
188	на нее	2	2
189	не имеет	2	2
190	общего с	3	2
191	для этой	2	2
192	также и	3	2
193	на том	3	2
194	тех пор	2	2
195	со временем	2	2
196	я в	12	2
197	ту же	4	2
198	во втором	3	2
199	в своих	5	2
200	в свою	2	2
201	одной стороны	8	2
202	на этом	3	2
203	отнюдь не	4	2
204	по этому	2	2
205	со своей	3	2
206	ко всему	4	2
207	всяком случае	2	2
208	жизни и	6	2
209	а затем	3	2
210	сводится к	4	2
211	по тем	2	2
212	во всяком	3	2
213	то с	2	2
214	себя и	3	2
215	не более	2	2
216	и его	7	2
217	в сущности	5	2
218	же время	12	2
219	и только	4	2
220	с ее	3	2
221	и сам	6	2
222	из таких	2	2
223	в себя	5	2
224	о которой	2	2
225	но с	3	2
226	той же	5	2
227	я не	8	2
228	вовсе не	3	2
229	в основе	5	2
230	тем же	5	2
231	существование в	2	2
232	и состоит	2	2
