N	3gram	Potebnia_M	VLabPisa
1	и т д	6	16
2	и т п	4	9
3	с другой стороны	7	8
4	не может быть	11	8
5	по отношению к	13	7
6	более или менее	6	6
7	в то же	3	5
8	в том что	18	5
9	то же время	3	5
10	в одном из	2	4
11	не было бы	3	4
12	к тому что	2	4
13	в связи с	2	4
14	не могут быть	5	4
15	мы видели что	2	3
16	подобно тому как	7	3
17	для того чтобы	4	3
18	по крайней мере	6	2
19	с одной стороны	6	2
20	в противном случае	3	2
21	не только не	2	2
22	во всяком случае	7	2
23	от того что	5	2
24	одной стороны и	2	2
25	не только для	2	2
26	не только в	3	2
27	до сих пор	5	2
28	не в том	6	2
29	и том же	3	2
30	только в том	7	2
31	таким образом в	3	2
32	после того как	3	2
33	одном и том	3	2
