N	2gram	Propp_Russ	Problema
1	и в	59	182
2	то есть	3	165
3	и не	6	152
4	то что	10	144
5	не только	28	104
6	потому что	15	89
7	в этом	18	88
8	может быть	14	82
9	том что	33	81
10	в том	33	81
11	не просто	3	80
12	только в	4	73
13	но и	20	70
14	в виде	10	69
15	у нас	11	68
16	не менее	3	58
17	о том	14	57
18	так и	8	56
19	тем не	3	56
20	а не	3	56
21	но в	5	55
22	так что	4	52
23	для нас	12	50
24	отнюдь не	3	48
25	было бы	3	46
26	прежде всего	2	45
27	что в	35	44
28	в его	3	44
29	все эти	5	43
30	не в	2	43
31	таким образом	10	42
32	то же	6	42
33	а именно	2	42
34	так как	25	40
35	и то	2	40
36	что он	2	40
37	и что	8	40
38	не может	6	39
39	в этой	4	39
40	как бы	18	39
41	в данном	7	38
42	того что	6	37
43	в нем	3	37
44	еще не	7	36
45	точки зрения	3	36
46	и все	4	36
47	и т	13	35
48	когда мы	2	35
49	в виду	3	34
50	и с	12	34
51	как и	19	34
52	уже не	9	34
53	не является	2	33
54	в таком	5	33
55	т д	12	33
56	как символ	2	33
57	в то	3	32
58	но не	7	32
59	в своем	3	31
60	связи с	6	31
61	все это	12	31
62	так же	7	31
63	но это	5	31
64	и для	3	30
65	в настоящее	3	30
66	настоящее время	3	30
67	как мы	11	29
68	перед нами	2	29
69	все же	7	29
70	об этом	11	29
71	в связи	4	29
72	данном случае	8	28
73	и о	4	28
74	мы не	11	28
75	а в	16	28
76	и как	2	27
77	ничего не	4	27
78	и это	2	27
79	хотя и	3	27
80	ничего общего	3	27
81	как будто	6	26
82	вместе с	16	26
83	это не	14	26
84	и его	2	26
85	с точки	3	25
86	и на	14	25
87	мы можем	2	25
88	на самом	3	24
89	не имеет	9	24
90	с тем	14	24
91	в нашем	2	24
92	тут же	2	23
93	на то	2	23
94	при этом	11	23
95	в качестве	5	23
96	по своему	2	23
97	то и	4	23
98	его в	9	22
99	только на	4	22
100	значит что	2	22
101	что и	8	22
102	и от	2	22
103	всех этих	2	22
104	есть в	2	22
105	и к	3	22
106	мы должны	3	21
107	и ее	3	21
108	а также	6	21
109	говорить о	2	21
110	и потому	3	20
111	для того	6	20
112	именно в	3	20
113	о чем	7	20
114	можно было	3	20
115	несмотря на	4	20
116	или в	7	20
117	тем что	7	20
118	но если	2	19
119	кроме того	3	19
120	с ним	2	19
121	уже в	2	19
122	в них	10	19
123	как в	10	19
124	того чтобы	6	18
125	в этих	3	18
126	не было	3	18
127	в ней	3	18
128	что здесь	4	17
129	мы уже	2	17
130	значение и	2	17
131	и здесь	3	17
132	что они	8	17
133	во всех	6	17
134	но даже	2	16
135	к тому	4	16
136	но все	3	16
137	же в	5	16
138	в одно	2	16
139	далеко не	5	16
140	для этого	6	16
141	как это	11	16
142	что она	4	16
143	будто бы	10	16
144	и более	3	15
145	всякого рода	3	15
146	в частности	2	15
147	у него	2	15
148	с этим	4	15
149	не что	3	14
150	что все	2	14
151	говорит о	3	14
152	в дальнейшем	2	14
153	иное как	3	14
154	что иное	3	14
155	нас в	2	14
156	этом случае	9	14
157	в котором	2	14
158	нас не	3	14
159	с другими	3	14
160	который в	2	13
161	в целях	4	13
162	в других	24	13
163	или даже	3	13
164	в их	5	13
165	тому что	4	13
166	мы имеем	7	13
167	в области	3	13
168	из них	12	13
169	что этот	4	12
170	не будем	5	12
171	в которой	3	12
172	на первый	3	12
173	значения и	2	12
174	в целом	2	12
175	для них	5	12
176	что это	4	12
177	на земле	3	12
178	то время	3	12
179	и следовательно	2	11
180	и во	2	11
181	тот же	2	11
182	в таких	3	11
183	и у	5	11
184	по этому	4	11
185	и их	4	11
186	к нему	3	11
187	в заключение	2	10
188	один из	10	10
189	быть и	3	10
190	очень много	2	10
191	что у	3	10
192	что для	4	10
193	в одном	4	10
194	представление о	5	10
195	в году	5	10
196	из которых	2	10
197	но он	3	10
198	вопрос о	4	9
199	тогда когда	4	9
200	здесь мы	3	9
201	только тогда	3	9
202	которые в	2	9
203	она не	4	9
204	между прочим	2	9
205	этому поводу	3	9
206	в тех	5	9
207	и до	3	9
208	только для	3	9
209	и наконец	2	9
210	в своих	3	9
211	с собой	4	9
212	их в	7	9
213	не был	3	9
214	но эта	2	9
215	в которых	8	9
216	того как	6	9
217	что если	2	9
218	с ней	7	9
219	на небо	3	9
220	и другие	24	9
221	жизнь и	2	9
222	в жизни	2	9
223	петра i	5	9
224	как он	2	8
225	мы здесь	2	8
226	между собой	4	8
227	от этого	2	8
228	в г	6	8
229	иметь в	2	8
230	и по	10	8
231	если в	3	8
232	не все	4	8
233	самом же	2	8
234	значение в	2	8
235	с этой	2	8
236	в силу	2	8
237	входит в	4	8
238	еще в	6	8
239	в период	2	8
240	вплоть до	4	8
241	только с	2	8
242	из этих	6	8
243	он был	2	8
244	во всей	2	8
245	которые не	3	8
246	как они	2	8
247	и при	2	8
248	говорится о	3	8
249	не значит	2	8
250	во всем	2	8
251	же деле	2	8
252	он есть	2	8
253	как только	2	8
254	что при	2	8
255	что на	5	7
256	и поэтому	3	7
257	друг друга	3	7
258	а с	6	7
259	на этой	3	7
260	а а	33	7
261	на землю	2	7
262	в советской	2	7
263	же не	2	7
264	его как	2	7
265	и так	2	7
266	в какой	3	7
