N	2gram	Bakhtin_Fr	Stilisti
1	и в	67	42
2	как бы	18	30
3	не только	23	28
4	и т.п	31	25
5	прежде всего	19	22
6	и т.д	2	21
7	хотя бы	2	18
8	то же	18	16
9	но и	23	16
10	и не	23	14
11	не может	9	13
12	может быть	4	13
13	как и	19	12
14	точки зрения	7	11
15	мы уже	13	11
16	в себе	3	10
17	и как	7	10
18	в этом	27	10
19	как мы	16	10
20	в то	17	9
21	для того	8	9
22	все же	7	9
23	то что	9	9
24	при этом	5	9
25	мы не	6	9
26	ничего не	5	8
27	так как	16	8
28	и это	5	8
29	с тем	3	8
30	в ней	10	8
31	таким образом	20	8
32	с его	11	8
33	никогда не	6	7
34	другими словами	3	7
35	и от	6	7
36	мы можем	5	7
37	же время	14	7
38	так и	14	7
39	потому что	8	7
40	только в	6	7
41	а не	6	7
42	и на	12	7
43	того чтобы	9	7
44	было бы	5	7
45	и его	19	7
46	той же	6	7
47	бы в	5	6
48	во всех	20	6
49	не в	8	6
50	в области	2	6
51	точку зрения	3	6
52	в конце	12	6
53	в нем	20	6
54	на его	2	6
55	в его	17	6
56	в форме	2	6
57	в этой	13	6
58	мы будем	2	6
59	с помощью	6	6
60	и то	2	5
61	все время	3	5
62	независимо от	3	5
63	в нашем	3	5
64	связанных с	6	5
65	то есть	49	5
66	слова и	2	5
67	и наконец	5	5
68	и их	6	5
69	своей жизни	2	5
70	самом деле	6	5
71	как это	5	5
72	мы видели	11	5
73	но все	2	5
74	а в	4	5
75	но в	20	5
76	в самом	7	5
77	и с	18	5
78	в той	2	5
79	с точки	5	5
80	же самое	3	5
81	вместе с	5	5
82	да и	2	4
83	что это	4	4
84	в одном	7	4
85	так же	13	4
86	так сказать	2	4
87	о своей	2	4
88	его в	10	4
89	на него	2	4
90	если бы	2	4
91	лишь в	3	4
92	у нас	3	4
93	к своему	2	4
94	того что	4	4
95	самого начала	3	4
96	можно было	5	4
97	один из	6	4
98	и все	18	4
99	в каждом	3	4
100	с самого	3	4
101	к тому	4	4
102	о том	8	4
103	если мы	3	4
104	и к	7	4
105	в целом	2	4
106	мы видим	6	4
107	было в	2	4
108	связаны с	8	4
109	все это	15	4
110	в качестве	5	4
111	можно сказать	4	4
112	и без	3	4
113	сказать что	12	3
114	на самом	8	3
115	это не	5	3
116	слова но	2	3
117	том что	13	3
118	нуждается в	3	3
119	в начале	2	3
120	и эта	2	3
121	и поэтому	2	3
122	перед нами	6	3
123	словом и	4	3
124	об этом	5	3
125	и слово	3	3
126	и даже	6	3
127	от того	3	3
128	и здесь	6	3
129	целый ряд	2	3
130	роль в	5	3
131	во второй	3	3
132	в виду	2	3
133	та же	2	3
134	в том	16	3
135	он должен	2	3
136	в частности	4	3
137	у них	2	3
138	еще не	5	3
139	его и	2	3
140	как в	4	3
141	и вот	4	3
142	этих слов	2	3
143	в разных	2	3
144	для него	4	3
145	по своему	5	3
146	то он	2	3
147	и для	4	3
148	нет и	4	3
149	нам в	2	3
150	видели что	2	3
151	что у	2	3
152	в котором	3	3
153	их в	2	3
154	заметить что	2	3
155	и само	2	3
156	зрения на	5	3
157	между ними	4	3
158	не будет	2	3
159	из них	5	3
160	хотя и	6	3
161	несмотря на	3	3
162	жизни и	11	3
163	что и	8	3
164	в ее	2	3
165	все эти	12	3
166	конечно не	5	3
167	связи с	7	3
168	между тем	3	3
169	в основе	6	3
170	не мог	8	3
171	еще и	6	2
172	до конца	2	2
173	в отношении	2	2
174	для этого	2	2
175	и вообще	3	2
176	все то	6	2
177	с этим	6	2
178	для всех	4	2
179	относится к	3	2
180	с другими	3	2
181	из этих	4	2
182	на эту	3	2
183	своего героя	2	2
184	в первой	5	2
185	бы и	2	2
186	времени и	4	2
187	к этому	4	2
188	и больше	2	2
189	от их	3	2
190	происходит как	2	2
191	должен быть	2	2
192	на первый	4	2
193	кроме того	11	2
194	но эта	3	2
195	тем что	3	2
196	бы не	2	2
197	этом отношении	7	2
198	в их	4	2
199	том же	3	2
200	в значительной	2	2
201	и при	2	2
202	что он	7	2
203	и сам	2	2
204	в какой-то	2	2
205	связанный с	2	2
206	связано с	3	2
207	и ни	3	2
208	сих пор	3	2
209	его не	5	2
210	в пределах	2	2
211	ведь и	3	2
212	одной из	6	2
213	в жизни	4	2
214	на этот	4	2
215	но не	6	2
216	и этот	2	2
217	также и	11	2
218	к нему	5	2
219	тому же	5	2
220	но мы	3	2
221	видим что	2	2
222	связанные с	7	2
223	связь с	3	2
224	ту же	3	2
225	в которых	3	2
226	выражения как	2	2
227	и он	4	2
228	разных местах	2	2
229	место в	3	2
230	о чем	5	2
231	для них	2	2
232	роль играет	4	2
233	ли он	2	2
234	человека с	5	2
235	не было	3	2
236	здесь не	7	2
237	но это	10	2
238	в своей	6	2
239	или в	3	2
240	в связи	5	2
241	он не	9	2
242	значение и	3	2
243	говорить в	3	2
244	в дальнейшем	2	2
245	с ним	6	2
246	мы говорили	2	2
247	тот же	4	2
248	вовсе не	19	2
249	этот процесс	3	2
