N	2gram	Tiupa_Vved	Otkroven
1	у него	8	22
2	и в	23	19
3	но и	31	13
4	и не	24	13
5	в этом	27	12
6	не только	32	11
7	человека в	2	11
8	не в	12	11
9	а не	31	11
10	может быть	25	11
11	и все	8	10
12	в нем	9	10
13	никогда не	6	9
14	потому что	7	9
15	не было	5	9
16	прежде всего	11	9
17	и он	4	8
18	ни с	2	7
19	лишь в	4	7
20	в его	9	7
21	до конца	5	7
22	нет ничего	2	7
23	он не	6	7
24	но он	2	7
25	как и	21	6
26	все это	3	6
27	для него	5	5
28	а в	15	5
29	в том	21	5
30	в самом	6	5
31	то что	9	5
32	в этой	2	5
33	отношение к	5	5
34	и его	9	4
35	что в	6	4
36	того чтобы	2	4
37	человеческих отношений	2	4
38	не может	14	4
39	что не	2	4
40	в себе	15	3
41	и от	3	3
42	о том	7	3
43	это не	7	3
44	к нему	2	3
45	что он	2	3
46	и вот	3	3
47	было бы	4	3
48	еще не	8	3
49	и есть	2	3
50	все что	3	3
51	в этих	5	3
52	в своих	5	3
53	и ее	2	3
54	как бы	8	3
55	хотя бы	2	3
56	могут быть	5	3
57	с ним	3	3
58	того что	7	3
59	и на	5	2
60	уже в	2	2
61	что же	6	2
62	мысль о	2	2
63	и для	8	2
64	о любви	4	2
65	не имеет	3	2
66	ничего не	3	2
67	и с	2	2
68	что и	6	2
69	и потому	2	2
70	вместо того	2	2
71	в своем	9	2
72	тем что	2	2
73	но в	14	2
74	том что	16	2
75	что для	2	2
76	все же	10	2
77	о которой	4	2
78	жизни в	5	2
79	в своей	10	2
80	по себе	2	2
81	что у	4	2
82	должен был	2	2
83	что они	2	2
84	своей жизни	3	2
85	не все	2	2
86	и о	4	2
87	не есть	2	2
88	к этому	3	2
89	и к	2	2
90	так и	14	2
91	хотя и	10	2
92	в другом	2	2
93	в этот	3	2
