N	3gram	Medvedev_F	Psycholo
1	в том что	3	78
2	для того чтобы	3	70
3	в самом деле	5	51
4	и т п	11	37
5	с точки зрения	17	29
6	с одной стороны	5	28
7	до сих пор	7	23
8	не может быть	11	23
9	и т д	11	22
10	к тому что	3	20
11	с другой стороны	4	20
12	в том чтобы	3	20
13	на самом деле	7	17
14	с самого начала	2	16
15	не только не	2	16
16	в зависимости от	4	15
17	во всяком случае	6	14
18	в этом отношении	7	14
19	и в этом	6	13
20	сам по себе	2	12
21	в конце концов	2	12
22	в художественном произведении	3	11
23	сами по себе	4	10
24	вместе с тем	5	10
25	к тому чтобы	2	10
26	не в том	3	10
27	в том случае	2	9
28	в данном случае	2	9
29	в отличие от	2	9
30	что в нем	2	8
31	смысле этого слова	4	8
32	с тем что	3	8
33	что и в	2	7
34	в свою очередь	6	7
35	в какой мере	2	7
36	на то чтобы	2	7
37	в этом смысле	3	7
38	более или менее	7	6
39	тем не менее	2	6
40	сама по себе	2	6
41	того или иного	6	6
42	мы не можем	3	6
43	при таком понимании	2	6
44	сводится к тому	2	6
45	в лучшем случае	3	5
46	как если бы	2	5
47	в том смысле	3	5
48	и в частности	2	5
49	в целом ряде	2	5
50	все более и	3	4
51	том что искусство	2	4
52	искусство как прием	2	4
53	и в этой	2	4
54	в настоящее время	11	4
55	более и более	3	4
56	именно в том	2	4
57	в применении к	4	4
58	и не может	5	4
59	бы то ни	4	3
60	может быть и	4	3
61	только на почве	2	3
62	ничего общего с	2	3
63	художественного произведения и	2	3
64	а вовсе не	2	3
65	не могут быть	4	3
66	с тем и	2	3
67	по себе а	2	3
68	в то же	13	3
69	по аналогии с	4	3
70	по отношению к	4	3
71	то же время	13	3
72	друг от друга	2	3
73	том смысле что	2	3
74	в высшей степени	4	3
75	дело идет о	3	3
76	как мы видели	5	2
77	художественное произведение как	2	2
78	в предисловии к	3	2
79	так и в	6	2
80	но в этом	2	2
81	т п в	2	2
82	в литературном произведении	2	2
83	как и все	2	2
84	но и в	4	2
85	в связи с	9	2
86	в ней и	2	2
87	начала и до	2	2
88	как мы увидим	3	2
89	так сказать в	2	2
90	при этом не	2	2
91	одной стороны и	4	2
92	и тем самым	2	2
93	если бы оно	2	2
94	в той же	2	2
95	как один из	2	2
