N	2gram	Losev_Dial	slovoVRo
1	и в	35	92
2	и т	31	82
3	т п	3	72
4	в нем	25	59
5	может быть	30	59
6	и его	6	59
7	и не	51	51
8	не только	26	44
9	не может	16	41
10	но и	17	39
11	в этом	18	36
12	а не	24	34
13	во всех	3	32
14	так и	18	30
15	точки зрения	25	30
16	могут быть	6	29
17	и др	2	29
18	в его	4	27
19	все это	14	25
20	как бы	19	24
21	то же	21	23
22	не в	12	21
23	в сущности	2	21
24	как в	3	21
25	вовсе не	19	21
26	в то	10	20
27	прежде всего	14	19
28	как мы	5	19
29	или иной	4	18
30	как и	10	18
31	себя в	2	18
32	же время	9	18
33	с ним	9	18
34	все же	9	17
35	оно не	2	17
36	все эти	4	17
37	в основе	4	17
38	и даже	23	17
39	таким образом	5	17
40	при этом	2	16
41	в них	4	16
42	но в	8	16
43	той или	11	15
44	и с	10	15
45	в той	4	15
46	с точки	18	15
47	человек и	2	15
48	в узком	2	14
49	только в	7	14
50	это не	18	13
51	и следовательно	7	13
52	точка зрения	3	13
53	в особенности	6	13
54	отношении к	3	13
55	и для	2	13
56	с другой	10	13
57	никогда не	18	12
58	в отношении	5	12
59	и потому	6	12
60	отношение к	5	12
61	а в	8	12
62	или в	2	12
63	во всяком	5	12
64	еще не	4	12
65	точек зрения	3	12
66	и к	8	12
67	один из	3	11
68	с ними	4	11
69	одной стороны	3	11
70	в этих	6	11
71	с одной	4	11
72	для него	2	11
73	все они	2	10
74	в своем	7	10
75	и их	5	10
76	в том	20	10
77	и все	11	10
78	она не	10	10
79	в себе	23	10
80	с другими	2	10
81	всех этих	4	10
82	в него	2	10
83	т д	28	10
84	далеко не	2	10
85	уже не	3	10
86	его в	3	9
87	и от	5	9
88	или менее	5	9
89	к нему	12	9
90	более или	5	9
91	здесь в	3	9
92	в их	5	9
93	в своей	9	9
94	сказать что	19	9
95	так как	24	9
96	поэтому и	3	9
97	но не	9	9
98	в смысле	5	9
99	на почве	2	9
100	конечно не	9	9
101	он не	5	9
102	быть и	7	9
103	не могут	4	8
104	в одной	4	8
105	человека и	2	8
106	в зависимости	2	8
107	в ней	4	8
108	все время	4	8
109	с этим	5	8
110	и часто	3	8
111	зависимости от	2	8
112	в самом	6	8
113	всяком случае	3	8
114	на мир	2	8
115	перед нами	3	7
116	том что	18	7
117	от него	4	7
118	его не	7	7
119	связи с	3	7
120	например в	2	7
121	у него	2	7
122	смысла и	3	7
123	за пределы	4	7
124	но все	5	7
125	также и	7	7
126	связанные с	3	7
127	еще более	3	7
128	с которым	2	7
129	жизни и	9	7
130	не было	7	7
131	в таком	4	7
132	кроме того	2	7
133	же и	11	7
134	во всем	3	7
135	мы уже	8	7
136	даже в	6	6
137	ничего не	19	6
138	и слова	3	6
139	на этом	4	6
140	точку зрения	3	6
141	бы и	4	6
142	что в	19	6
143	ни в	20	6
144	нем и	2	6
145	в качестве	2	6
146	можно сказать	10	6
147	другой стороны	7	6
