N	2gram	Bakhtin_Fr	VerxiiNi
1	и в	105	26
2	таким образом	5	22
3	в этом	22	15
4	точки зрения	10	13
5	как бы	33	12
6	в том	17	11
7	не только	24	10
8	из этих	7	10
9	и с	8	10
10	может быть	11	10
11	что в	4	9
12	так как	11	9
13	в области	10	9
14	связи с	5	9
15	но и	20	9
16	но не	7	8
17	с другой	3	8
18	в общем	4	8
19	главным образом	6	8
20	и у	7	8
21	и не	34	8
22	как на	4	8
23	но все	5	7
24	в эпоху	17	7
25	к нему	5	7
26	потому что	6	7
27	связанные с	2	7
28	одной стороны	2	7
29	из них	7	7
30	то что	7	7
31	с одной	2	7
32	но в	16	7
33	том что	9	7
34	представление о	2	6
35	в отношении	7	6
36	все же	10	6
37	к тому	3	6
38	о том	5	6
39	мы должны	2	6
40	в себе	7	6
41	в конце	3	6
42	несмотря на	5	6
43	всяком случае	2	6
44	что и	2	6
45	с точки	6	6
46	и т.д	2	6
47	все эти	15	6
48	все это	16	6
49	и потому	14	6
50	так и	16	6
51	во всяком	2	6
52	никогда не	11	5
53	одной из	3	5
54	и для	3	5
55	так же	2	5
56	том числе	10	5
57	и к	7	5
58	друг с	2	5
59	отношение к	9	5
60	к жизни	2	5
61	того чтобы	3	5
62	лишь в	4	5
63	в его	24	5
64	для того	2	5
65	с другом	2	5
66	образом в	3	5
67	сих пор	7	5
68	до сих	7	5
69	на этот	3	4
70	и от	3	4
71	далеко не	6	4
72	а в	4	4
73	в самом	7	4
74	в нем	16	4
75	не может	9	4
76	в смысле	2	4
77	то есть	71	4
78	из которых	2	4
79	целый ряд	2	4
80	то же	6	4
81	числе и	7	4
82	должен был	2	4
83	и по	3	4
84	в этих	6	4
85	только в	16	4
86	что он	5	4
87	он не	3	4
88	во время	14	4
89	в течение	3	4
90	в этой	11	4
91	в то	5	4
92	учение о	2	4
93	культура в	2	3
94	в своем	11	3
95	из всех	3	3
96	европейской культуры	3	3
97	но с	2	3
98	не вполне	3	3
99	уже не	3	3
100	хотя бы	2	3
101	к этому	2	3
102	с ней	2	3
103	в значительной	9	3
104	и даже	10	3
105	и как	2	3
106	в других	3	3
107	при этом	10	3
108	всегда и	2	3
109	не менее	2	3
110	в связи	2	3
111	и другие	10	3
112	подойти к	2	3
113	в таком	2	3
114	и о	4	3
115	можно сказать	4	3
116	отношению к	2	3
117	в народном	2	3
118	в одном	8	3
119	того что	3	3
120	так называемые	2	3
121	для него	12	3
122	культуры и	11	3
123	по своему	9	2
124	мы видели	3	2
125	одно из	7	2
126	сказать что	12	2
127	так например	3	2
128	связан с	5	2
129	начиная с	2	2
130	некоторые из	3	2
131	в эту	6	2
132	по сравнению	2	2
133	и это	3	2
134	или иной	5	2
135	не могут	4	2
136	но при	2	2
137	было конечно	2	2
138	на то	2	2
139	в самой	5	2
140	относится к	4	2
141	он в	2	2
142	можно только	5	2
143	одновременно и	3	2
144	ко всему	2	2
145	и люди	2	2
146	в процессе	2	2
147	мы можем	2	2
148	они в	2	2
149	в начале	4	2
150	связь с	8	2
151	вплоть до	2	2
152	между тем	5	2
153	одним из	4	2
154	еще только	2	2
155	особенно в	2	2
156	при таком	2	2
157	благодаря этому	4	2
158	связанных с	4	2
159	не могла	2	2
160	должно было	2	2
161	именно в	6	2
162	конечно не	2	2
163	приводит к	2	2
164	еще на	2	2
165	связанный с	3	2
166	народная культура	3	2
167	что мы	2	2
168	в них	13	2
169	и особенно	4	2
170	и на	25	2
171	и здесь	4	2
172	и действительно	2	2
173	уже в	5	2
174	еще не	8	2
175	к которому	2	2
176	по своей	3	2
177	культуры на	2	2
178	все что	2	2
179	наконец в	2	2
180	жизни и	14	2
181	не было	3	2
182	превращается в	6	2
183	различия между	2	2
184	этом отношении	5	2
185	не в	4	2
186	и наконец	2	2
187	характер носят	3	2
188	той или	5	2
189	перестает быть	3	2
190	на все	5	2
191	и все	7	2
192	значительной мере	3	2
193	же время	5	2
194	один из	5	2
195	в виду	5	2
196	со всеми	2	2
197	сравнению с	2	2
198	и перед	3	2
199	связано с	2	2
200	совершенно иной	2	2
201	не к	2	2
202	людей и	2	2
203	пор еще	4	2
204	прежде всего	26	2
205	исторического развития	2	2
206	тот же	4	2
207	связана с	8	2
208	его от	2	2
209	с его	9	2
210	во всех	13	2
211	всех других	2	2
212	в разных	2	2
213	по существу	2	2
