N	2gram	Voloshinov	KFilosof
1	может быть	17	45
2	в его	4	42
3	в нем	4	32
4	не может	8	29
5	и не	4	28
6	и в	16	28
7	для меня	2	22
8	не есть	2	22
9	и его	8	18
10	только в	4	18
11	в этом	9	15
12	для него	6	13
13	точки зрения	8	13
14	и это	6	12
15	ни в	5	12
16	в своей	2	11
17	во всех	3	11
18	все эти	5	11
19	его целом	2	10
20	и для	2	10
21	все это	4	10
22	с точки	6	10
23	и есть	3	10
24	но и	4	9
25	как бы	5	9
26	и все	4	9
27	жизни и	3	8
28	было бы	2	8
29	совершенно не	8	7
30	то что	3	7
31	отнюдь не	4	7
32	конечно не	6	7
33	и только	9	7
34	что и	2	7
35	момент в	2	7
36	на основе	2	7
37	отношение к	5	6
38	в том	3	6
39	и их	4	6
40	и действительно	2	6
41	но это	2	6
42	он не	2	6
43	никогда не	2	5
44	его в	4	5
45	не только	7	5
46	но как	2	5
47	хотя бы	4	5
48	и содержание	2	5
49	то же	2	5
50	но ведь	2	5
51	еще не	5	5
52	не знает	2	5
53	а в	3	5
54	но в	4	5
55	как и	2	5
56	в одном	3	5
57	себя и	2	5
58	я и	6	5
59	с ним	2	5
60	в основе	3	5
61	в каком	2	4
62	что это	2	4
63	том что	3	4
64	что в	3	4
65	ни было	2	4
66	чем не	3	4
67	прежде всего	9	4
68	в чем	5	4
69	к ним	2	4
70	моей жизни	2	4
71	мира и	3	4
72	для нас	2	4
73	с ними	4	4
74	при этом	6	4
75	только как	3	4
76	во всей	2	4
77	на самом	4	3
78	сознания и	2	3
79	самом деле	6	3
80	и пр	12	3
81	по своему	2	3
82	нет и	2	3
83	и этот	2	3
84	не менее	2	3
85	о том	2	3
86	могут быть	3	3
87	этом смысле	3	3
88	и этим	2	3
89	и на	4	3
90	что не	2	3
91	мы не	2	3
92	и может	4	3
93	войти в	2	3
94	на язык	3	3
95	все остальные	2	2
96	кажется что	2	2
97	в мир	2	2
98	для этого	2	2
99	и мы	2	2
100	и потому	3	2
101	говорить о	2	2
102	и ее	4	2
103	к этому	2	2
104	с ее	4	2
105	к себе	3	2
106	и как	3	2
107	и других	2	2
108	в области	3	2
109	что он	2	2
110	со всеми	2	2
111	всех его	2	2
112	так и	4	2
113	всех других	2	2
114	может иметь	2	2
115	едва ли	3	2
116	в жизни	2	2
117	в него	5	2
118	т.е не	2	2
119	и она	3	2
120	оно не	2	2
121	один из	2	2
122	совсем не	2	2
123	и всех	2	2
124	не будет	2	2
125	сводится к	2	2
126	в этой	4	2
127	с его	7	2
