N	3gram	Vygotskiy_	Problemy
1	в то же	2	26
2	с точки зрения	31	25
3	по отношению к	9	18
4	в этом смысле	2	16
5	на самом деле	2	15
6	не может быть	6	14
7	в большинстве случаев	2	12
8	до сих пор	6	10
9	с самого начала	13	9
10	в самом деле	4	9
11	с другой стороны	3	9
12	и не может	2	8
13	друг с другом	6	8
14	в том что	24	8
15	мы уже говорили	2	7
16	и в этом	2	7
17	том что он	2	6
18	в отличие от	4	6
19	той или иной	2	5
20	сам по себе	2	5
21	подобно тому как	2	5
22	в зависимости от	6	5
23	можно было бы	5	5
24	тем не менее	4	4
25	друг к другу	3	4
26	о том что	4	4
27	слова и его	4	4
28	как и в	4	4
29	в этом отношении	7	4
30	смысле этого слова	4	4
31	друг на друга	2	4
32	и то же	3	3
33	как мы видели	7	3
34	в то время	8	3
35	того и другого	2	3
36	в данном случае	5	3
37	как мы уже	2	3
38	на то что	5	3
39	одно и то	3	3
40	не только не	11	3
41	то время как	7	3
42	но и не	3	3
43	в этом случае	15	3
44	в той же	2	3
45	в том и	3	3
46	можно сказать что	7	3
47	на котором мы	2	2
48	в такой же	3	2
49	прежде всего в	2	2
50	то же самое	11	2
51	же как и	3	2
52	этой точки зрения	4	2
53	по своей структуре	2	2
54	в лучшем случае	3	2
55	друг от друга	3	2
56	не только в	2	2
57	к тому что	10	2
58	в том же	3	2
59	вместе с тем	6	2
60	для того чтобы	24	2
61	потому что у	4	2
62	в свою очередь	3	2
