N	3gram	Tiupa_Hudo	FransuaR
1	в то же	7	55
2	то же время	7	55
3	в том числе	3	27
4	в том что	8	27
5	с точки зрения	3	20
6	для того чтобы	5	17
7	том числе и	2	17
8	в связи с	3	16
9	и прежде всего	2	14
10	не может быть	4	13
11	с одной стороны	3	13
12	с другой стороны	6	12
13	и в то	2	12
14	можно сказать что	3	11
15	в отличие от	7	11
16	той или иной	5	10
17	в той или	2	10
18	в значительной степени	2	10
19	по отношению к	10	9
20	до известной степени	2	9
21	более или менее	6	8
22	включает в себя	2	7
23	в самом деле	2	7
24	подобно тому как	3	7
25	в свою очередь	2	6
26	имеем в виду	3	6
27	мы имеем в	3	5
28	в основе своей	2	5
29	может быть и	2	4
30	начало и конец	2	4
31	и в самом	3	4
32	но он не	2	4
33	в тарасе бульбе	2	4
34	бы то ни	2	3
35	это своего рода	2	3
36	в этом смысле	3	3
37	так и не	4	3
38	тех или иных	2	3
39	одного и того	3	3
40	и того же	3	3
41	а с другой	2	3
42	по своей природе	2	2
43	что в основе	2	2
44	в конечном счете	5	2
45	то ни было	2	2
46	в коем случае	2	2
47	том что он	2	2
48	ни в коем	2	2
49	во внешнем мире	2	2
50	в известном смысле	2	2
