N	2gram	Berdyaev_V	SlovoVZh
1	как бы	5	13
2	и в	16	12
3	и не	20	10
4	так как	9	9
5	прежде всего	2	8
6	для нас	2	7
7	в том	3	6
8	в нем	4	6
9	только в	2	6
10	в ней	4	6
11	никогда не	3	5
12	что мы	4	5
13	в жизни	3	5
14	но в	3	5
15	том что	2	5
16	как и	4	5
17	должна быть	3	5
18	хотя бы	3	5
19	а не	7	5
20	то что	9	5
21	в этом	4	4
22	не только	2	4
23	что не	4	4
24	жизни и	3	4
25	не в	3	4
26	так и	4	4
27	уже не	2	4
28	в них	3	3
29	и для	3	3
30	ее и	2	3
31	да и	2	3
32	не к	2	3
33	ни в	3	3
34	все эти	3	3
35	в котором	4	3
36	в своей	3	3
37	мы не	2	3
38	конечно не	2	3
39	еще не	8	3
40	все это	5	3
41	между тем	2	3
42	с ним	2	3
43	того что	5	3
44	но и	5	3
45	для него	2	3
46	и то	2	2
47	в его	4	2
48	что в	3	2
49	а к	2	2
50	не так	2	2
51	не есть	6	2
52	с его	3	2
53	как не	3	2
54	что и	3	2
55	это не	2	2
56	и все	4	2
57	его к	2	2
58	но мы	2	2
59	и что	3	2
60	в этих	3	2
61	но это	3	2
62	есть уже	2	2
63	и потому	7	2
64	оно не	3	2
65	но не	2	2
66	в себя	2	2
67	нас и	3	2
68	могут быть	2	2
69	в чем	3	2
70	нет ничего	3	2
71	в форме	2	2
72	значения и	2	2
