N	2gram	Tiupa_Lite	Marksizm
1	точки зрения	8	69
2	может быть	24	64
3	и в	26	63
4	и не	19	55
5	как бы	8	53
6	не может	10	47
7	с точки	4	46
8	и его	7	41
9	в этом	19	39
10	таким образом	4	38
11	как мы	2	32
12	в пределах	4	31
13	лишь в	4	30
14	не только	29	29
15	в нем	4	28
16	то же	13	28
17	но и	25	27
18	самом деле	2	25
19	связи с	7	25
20	прежде всего	14	24
21	как и	13	24
22	в самом	4	24
23	так и	7	23
24	и т.п	14	23
25	только в	8	23
26	в том	22	22
27	то что	14	22
28	а не	28	22
29	при этом	23	20
30	для него	6	20
31	том что	19	19
32	не в	11	19
33	в его	9	19
34	на почве	2	19
35	но в	5	18
36	в слове	3	18
37	вовсе не	3	18
38	все же	6	17
39	в сущности	5	17
40	в то	12	16
41	по отношению	6	16
42	и как	2	16
43	слова и	6	16
44	ни было	2	16
45	речь в	2	16
46	индивидуального сознания	2	15
47	что он	8	15
48	в связи	4	15
49	во всех	4	15
50	отношению к	4	15
51	отнюдь не	4	15
52	же время	12	15
53	в данном	7	14
54	хотя бы	3	14
55	ничего не	3	13
56	мы не	5	13
57	было бы	4	13
58	в своей	5	13
59	не является	3	13
60	слова в	2	13
61	что в	7	13
62	в результате	2	12
63	а в	5	12
64	того же	5	12
65	в основе	5	12
66	для того	2	12
67	он не	4	12
68	между тем	2	12
69	друг друга	5	11
70	как в	5	11
71	и на	5	11
72	в ней	4	11
73	не столько	8	11
74	все эти	2	11
75	так как	2	11
76	еще не	4	11
77	и того	2	11
78	и что	2	11
79	никогда не	5	10
80	его в	4	10
81	в каждом	2	10
82	отличие от	6	10
83	во всяком	3	10
84	с его	5	10
85	одна из	8	10
86	к этому	2	10
87	в своем	12	10
88	в отличие	6	10
89	с другой	11	10
90	в себе	8	9
91	а как	2	9
92	это не	4	9
93	только на	3	9
94	одной из	2	9
95	к тому	3	9
96	в нашем	2	9
97	не имеет	2	9
98	отношении к	2	9
99	в отношении	2	8
100	или иной	3	8
101	не как	4	8
102	и т.д	8	8
103	в их	3	8
104	что не	3	8
105	что и	3	8
106	другой стороны	5	8
107	за пределы	3	8
108	и даже	9	8
109	у нас	5	8
110	на то	2	8
111	в свою	2	8
112	и с	4	8
113	столь же	5	8
114	не было	5	8
115	сводится к	4	8
116	у него	5	8
117	до конца	3	7
118	от него	2	7
119	свою очередь	2	7
120	в формах	4	7
121	того что	7	7
122	могут быть	4	7
123	в качестве	21	7
124	в этой	7	7
125	в начале	4	7
126	в этих	2	7
127	далеко не	4	7
128	о том	3	7
129	той же	5	7
130	он сам	2	7
131	как раз	6	7
132	на основе	2	7
133	не есть	2	6
134	для понимания	2	6
135	то есть	11	6
136	в другом	3	6
137	от своего	3	6
138	он и	5	6
139	одной стороны	8	6
140	в какой	2	6
141	с ее	3	6
142	должна быть	3	6
143	из этих	2	6
144	же в	6	6
145	с одной	9	6
146	уже не	9	6
147	всяком случае	2	6
148	ничего общего	2	6
149	не к	3	6
150	тем же	5	6
151	этом отношении	5	5
152	различие между	3	5
153	но как	3	5
154	в конце	6	5
155	в виду	4	5
156	и тем	4	5
157	и вот	2	5
158	то в	3	5
159	xix века	6	5
160	в особенности	2	5
161	в душе	3	5
162	не менее	11	5
163	этом случае	2	5
164	да и	3	5
165	себя в	7	5
166	тем более	2	5
167	по преимуществу	6	5
168	знаковом материале	2	5
169	жизни в	5	5
170	но не	8	5
171	и является	2	5
172	для себя	6	5
173	что такое	2	5
174	в одном	2	5
175	как на	3	5
176	вместе с	5	5
177	нуждается в	3	4
178	как он	2	4
179	едва ли	5	4
180	и прежде	4	4
181	в области	5	4
182	к своему	2	4
183	так что	4	4
184	и иных	2	4
185	следующим образом	2	4
186	одного из	4	4
187	и он	3	4
188	и самого	2	4
189	относится к	3	4
190	и то	3	4
191	но при	2	4
192	нет ничего	2	4
193	исходит из	3	4
194	в становлении	2	4
195	одним из	8	4
196	же и	3	4
197	со всеми	2	4
198	не знает	3	4
199	из них	5	4
200	уже в	7	4
201	несмотря на	3	4
202	жизни и	6	4
203	перед ним	2	4
204	из этого	2	4
205	тем что	6	4
206	даже в	6	3
207	этом как	3	3
208	еще и	3	3
209	от автора	2	3
210	все более	3	3
211	в действительности	2	3
212	этого рода	2	3
213	к себе	3	3
214	по своей	3	3
215	как к	4	3
216	должен быть	2	3
217	другого в	4	3
218	роль в	2	3
219	в году	18	3
220	в целом	10	3
221	в руках	2	3
222	с тем	2	3
223	бы на	2	3
224	как это	9	3
225	общего с	3	3
226	потому что	5	3
227	том числе	2	3
228	даже и	2	3
229	во втором	3	3
230	так в	6	3
231	если б	2	3
232	и др	4	3
233	не на	2	3
234	в авторском	2	3
235	все то	2	3
236	в нашей	2	3
237	ту или	2	3
238	но это	2	3
239	можно было	3	3
240	однако и	2	3
241	с их	3	3
242	тем не	4	3
243	постановка проблемы	2	3
244	человека в	5	3
245	и чужого	2	3
246	одновременно с	2	3
247	не могло	3	3
248	над языком	2	3
249	не с	2	3
250	на нее	2	3
251	то он	3	3
252	также и	3	3
253	со стороны	6	3
254	в своих	5	3
255	в русской	13	3
256	или иначе	9	3
257	а по	2	3
258	приводит к	4	3
259	из которых	3	3
260	еще в	7	3
261	однако не	2	3
262	свидетельствует о	3	3
263	к жизни	2	3
264	и есть	3	3
265	и только	4	3
266	с ним	2	3
267	и других	4	3
268	в художественной	4	2
269	сознания к	3	2
270	тем самым	8	2
271	идет о	4	2
272	для нее	2	2
273	одну из	2	2
274	крайней мере	2	2
275	каждый из	4	2
276	ли не	7	2
277	он же	2	2
278	эта мысль	2	2
279	и всегда	2	2
280	от себя	2	2
281	не остается	2	2
282	здесь как	2	2
283	в частности	18	2
284	и за	2	2
285	но по	2	2
286	всего в	4	2
287	а с	2	2
288	к этой	2	2
289	так или	8	2
290	а только	2	2
291	тех пор	2	2
292	для всех	5	2
293	а потому	4	2
294	пока не	2	2
295	у достоевского	2	2
296	для них	2	2
297	же как	3	2
298	то как	2	2
299	впервые в	2	2
300	себя и	3	2
301	превращаясь в	2	2
302	эти слова	2	2
303	данном случае	6	2
304	например в	3	2
305	мышления и	3	2
306	нет в	2	2
307	в сознании	3	2
308	в литературе	2	2
309	по аналогии	3	2
310	в знаковом	2	2
311	перестает быть	5	2
312	до тех	2	2
313	сам же	2	2
314	но уже	2	2
315	автора в	2	2
316	не просто	2	2
317	во второй	2	2
318	превращается в	2	2
319	та же	2	2
320	бы не	3	2
