N	2gram	Savitsky_E	TeoriaLi
1	в качестве	14	33
2	в мире	2	26
3	не только	18	24
4	и в	37	24
5	в частности	5	23
6	то есть	6	22
7	может быть	6	22
8	в том	11	20
9	и не	14	17
10	а в	2	15
11	но и	14	14
12	так и	10	14
13	а не	2	14
14	в себе	9	14
15	но не	5	13
16	представляет собой	3	13
17	в этом	12	12
18	то же	15	12
19	но в	14	12
20	в его	2	12
21	том что	6	11
22	точки зрения	23	11
23	как это	4	10
24	что в	21	10
25	в данном	3	9
26	не в	5	9
27	с другой	7	9
28	в то	16	9
29	только в	9	9
30	всего лишь	3	8
31	не может	9	8
32	по своей	2	8
33	как бы	6	8
34	в своей	8	8
35	же время	14	8
36	или иной	4	7
37	в своем	14	7
38	а также	7	7
39	во второй	3	7
40	в области	11	7
41	в самом	4	7
42	место в	3	7
43	тем самым	5	6
44	или иного	4	6
45	того или	4	6
46	другой стороны	2	6
47	со стороны	5	6
48	то что	6	6
49	как и	7	6
50	с другими	2	6
51	между ними	2	6
52	в ее	8	6
53	данном случае	2	5
54	по преимуществу	2	5
55	как в	3	5
56	иначе говоря	2	5
57	и тем	3	5
58	не является	3	5
59	для того	6	5
60	в пределах	25	5
61	между тем	8	5
62	могут быть	2	5
63	того чтобы	6	5
64	того что	7	5
65	он не	2	5
66	можно сказать	4	5
67	никогда не	3	4
68	сказать что	4	4
69	в отношении	32	4
70	в силу	2	4
71	в их	11	4
72	в этих	2	4
73	по своему	7	4
74	далеко не	2	4
75	к тому	8	4
76	того же	3	4
77	мира и	3	4
78	в свою	3	4
79	отношении к	15	4
80	и того	2	4
81	и что	2	4
82	не на	4	4
83	хотя и	2	4
84	даже в	4	3
85	и то	2	3
86	и притом	4	3
87	и потому	5	3
88	во всех	6	3
89	одной стороны	8	3
90	и для	3	3
91	как совокупность	4	3
92	и как	2	3
93	в порядке	2	3
94	если бы	2	3
95	или в	2	3
96	мира в	4	3
97	свою очередь	2	3
98	в культуре	3	3
99	в таком	3	3
100	с этой	6	3
101	а именно	2	3
102	между собой	2	3
103	с одной	8	3
104	есть в	2	3
105	столь же	5	3
106	культуры в	4	3
107	именно в	4	3
108	потому что	3	3
109	в сторону	2	3
110	во втором	2	3
111	прежде всего	9	3
112	и к	3	3
113	этом смысле	3	3
114	отнюдь не	9	3
115	мог бы	2	3
116	не будет	3	3
117	с точки	17	3
118	той или	4	3
119	и по	5	3
120	таким образом	2	3
121	во всей	2	3
122	известной степени	3	3
123	в этой	2	3
124	имеет место	2	3
125	в одном	2	3
126	вовсе не	6	3
127	вслед за	6	3
128	в каком	4	2
129	имеет в	2	2
130	не могут	2	2
131	то в	4	2
132	идет о	3	2
133	существования в	3	2
134	так же	9	2
135	если в	2	2
136	но как	2	2
137	тем более	4	2
138	и существенно	2	2
139	дело в	3	2
140	но на	3	2
141	и даже	6	2
142	и прежде	3	2
143	жизни в	3	2
144	в значительной	2	2
145	ни было	4	2
146	известном смысле	3	2
147	вместе с	2	2
148	в какой	2	2
149	на уровне	2	2
150	одной из	5	2
151	для понимания	2	2
152	к нему	2	2
153	ни столь	2	2
154	ее в	3	2
155	о том	3	2
156	к такой	2	2
157	или иную	3	2
158	и на	6	2
159	на себя	3	2
160	этой точки	5	2
161	в европейской	2	2
162	в известном	3	2
163	в них	3	2
164	по себе	4	2
165	тем в	3	2
166	несмотря на	4	2
167	в той	5	2
168	что и	3	2
169	ту или	3	2
170	духовной жизни	2	2
171	в случае	2	2
172	то ни	4	2
173	заключается в	2	2
174	и некоторые	3	2
175	как будто	2	2
176	в большинстве	2	2
177	бы то	4	2
178	ними и	2	2
179	большей части	2	2
180	на основе	2	2
181	при условии	2	2
