N	2gram	Nazirov_Tv	Dialekti
1	не есть	2	181
2	и не	12	120
3	и т	14	82
4	по себе	2	79
5	а не	9	78
6	и в	40	77
7	т д	10	75
8	может быть	11	71
9	не только	16	66
10	значит что	3	61
11	то что	9	59
12	и есть	2	55
13	ничего не	3	54
14	не может	9	53
15	и даже	8	47
16	так как	6	46
17	потому что	10	45
18	как бы	26	43
19	ни в	2	42
20	и что	2	42
21	не имеет	2	41
22	вовсе не	5	41
23	в том	13	40
24	в этом	11	39
25	то же	19	39
26	в себе	3	38
27	что она	5	38
28	том что	14	37
29	что он	11	37
30	прежде всего	10	37
31	это не	9	36
32	так что	4	36
33	что в	17	34
34	в нем	4	34
35	и все	6	33
36	того что	3	33
37	но и	10	32
38	все это	14	31
39	и как	5	30
40	отнюдь не	9	30
41	сказать что	3	30
42	так и	5	29
43	было бы	2	29
44	как и	16	28
45	никогда не	13	27
46	крайней мере	4	26
47	по крайней	4	26
48	в виду	3	26
49	не в	3	26
50	есть не	2	25
51	если бы	4	24
52	но это	10	24
53	и вот	2	23
54	в то	23	23
55	это и	4	23
56	что оно	2	23
57	таким образом	14	23
58	я не	5	22
59	она не	2	21
60	что не	5	21
61	личности и	2	21
62	в чем	4	21
63	что все	4	20
64	только в	7	20
65	как раз	2	20
66	что и	3	20
67	о том	9	20
68	уже не	6	20
69	и с	9	20
70	в таком	4	20
71	и притом	2	19
72	в своем	4	19
73	как это	2	19
74	не менее	8	19
75	и это	2	19
76	в самом	6	19
77	не существует	3	19
78	и его	14	19
79	с другой	4	18
80	хотя бы	5	18
81	же время	18	18
82	ни на	3	18
83	жизни и	3	18
84	но если	4	17
85	в основе	3	17
86	можно сказать	2	17
87	в своей	8	16
88	мы не	3	16
89	то это	2	16
90	об этом	4	16
91	тем не	2	16
92	и о	2	15
93	то в	2	15
94	только что	2	15
95	но только	3	15
96	все же	9	15
97	так же	6	15
98	в виде	4	15
99	самом деле	4	15
100	хотя и	5	15
101	же и	2	15
102	личности в	3	15
103	мы уже	2	15
104	и потому	4	14
105	жизнь и	2	14
106	таком случае	2	14
107	с ним	4	14
108	на свете	3	14
109	пространства и	2	14
110	не было	3	14
111	и только	2	14
112	не то	2	13
113	но в	11	13
114	в ней	2	13
115	и та	2	13
116	говорит о	3	13
117	он не	10	13
118	мы находим	2	13
119	что они	3	13
120	другой стороны	2	13
121	с ее	3	13
122	не могу	2	13
123	могут быть	4	12
124	еще не	5	12
125	и тут	2	12
126	все эти	3	12
127	именно в	6	12
128	и если	3	12
129	перед нами	3	12
130	не могут	2	12
131	а в	10	12
132	с этим	2	12
133	и тогда	2	12
134	но не	7	12
135	та же	4	11
136	себе не	3	11
137	и тем	2	11
138	только на	2	11
139	в данном	2	11
140	не значит	2	11
141	что я	4	11
142	из них	4	11
143	или в	2	11
144	в вечности	2	11
145	идеи и	2	10
146	в душе	4	10
147	к тому	2	10
148	в ее	3	10
149	в его	19	10
150	нет ни	3	10
151	с этой	4	10
152	что для	3	10
153	в их	5	10
154	в частности	4	10
155	мы видим	3	10
156	во всяком	2	10
157	времени и	4	10
158	как будто	5	10
159	в жизни	3	10
160	только как	2	10
161	точка зрения	2	9
162	и по	5	9
163	в истории	2	9
164	превращается в	2	9
165	в этих	2	9
166	и более	2	9
167	в котором	8	9
168	той же	4	9
169	в одном	3	9
170	и от	8	9
171	была бы	2	9
172	тому что	2	9
173	быть может	3	9
174	же как	3	9
175	с ними	3	9
176	при этом	14	9
177	и когда	2	9
178	и он	4	9
179	и на	12	9
180	на самом	3	8
181	от него	2	8
182	и без	2	8
183	не будет	2	8
184	в дальнейшем	7	8
185	в этой	7	8
186	все время	3	8
187	у нас	2	8
188	с одной	2	8
189	даже в	4	8
190	в одной	5	8
191	при помощи	4	8
192	один из	5	8
193	вот почему	3	8
194	но она	2	8
195	в сфере	2	8
196	себя в	3	8
197	тем самым	10	7
198	в конце	5	7
199	что этот	2	7
200	связи с	2	7
201	его как	2	7
202	тем что	2	7
203	в связи	2	7
204	как она	2	7
205	и всякий	2	7
206	нуждается в	2	7
207	сами по	2	7
208	он всегда	2	7
209	не знает	2	7
210	это я	2	7
211	точно так	3	7
212	и я	2	7
213	с его	12	7
214	и их	2	7
215	как в	10	7
