N	2gram	Bakhtin_Fr	Analitik
1	не только	24	71
2	и в	105	66
3	но и	20	57
4	в том	17	52
5	может быть	11	52
6	в частности	6	51
7	в этом	22	51
8	как и	15	50
9	и не	34	48
10	том что	9	40
11	при этом	10	40
12	так и	16	35
13	то есть	71	35
14	своего рода	2	30
15	не может	9	29
16	как бы	33	29
17	а в	4	28
18	в его	24	27
19	и его	24	27
20	не в	4	26
21	но не	7	26
22	в себе	7	24
23	к тому	3	22
24	и даже	10	22
25	в этой	11	22
26	что в	4	22
27	лишь в	4	21
28	и т.п	26	20
29	о том	5	20
30	по отношению	2	19
31	но в	16	19
32	в своей	8	19
33	то же	6	19
34	в самом	7	19
35	с его	9	19
36	в то	5	18
37	отношению к	2	18
38	или иной	5	17
39	с другой	3	17
40	в целом	3	17
41	только в	16	17
42	могут быть	4	16
43	то что	7	16
44	в пределах	3	16
45	что и	2	16
46	в их	6	15
47	прежде всего	26	15
48	в сущности	20	15
49	уже не	3	15
50	и на	25	15
51	между тем	5	15
52	отличие от	5	14
53	не менее	2	14
54	той или	5	14
55	в отличие	4	14
56	далеко не	6	14
57	же время	5	14
58	в себя	9	14
59	ничего не	3	13
60	точки зрения	10	13
61	в начале	4	13
62	как раз	3	13
63	для него	12	13
64	он не	3	13
65	никогда не	11	12
66	и к	7	12
67	еще не	8	12
68	в эпизоде	2	12
69	как в	6	12
70	и сам	2	12
71	даже в	6	11
72	это не	4	11
73	во второй	2	11
74	по своей	3	11
75	и как	2	11
76	можно сказать	4	11
77	в той	5	11
78	в конце	3	10
79	все же	10	10
80	один из	5	10
81	было бы	4	10
82	особенно в	2	10
83	и одновременно	6	10
84	подобно тому	2	10
85	с одной	2	10
86	перед лицом	2	10
87	именно в	6	10
88	здесь не	3	10
89	отношения к	5	10
90	в своем	11	9
91	того что	3	9
92	одной стороны	2	9
93	имеет место	2	9
94	по поводу	2	9
95	за пределы	10	9
96	во всех	13	9
97	что касается	3	9
98	на фоне	4	9
99	автора и	2	9
100	тому как	2	9
101	говорит о	2	9
102	таким образом	5	9
103	о чем	3	8
104	роль в	6	8
105	что он	5	8
106	одной из	3	8
107	и все	7	8
108	этом отношении	5	8
109	хотя и	4	8
110	в основе	8	8
111	не является	4	8
112	времени и	9	8
113	как известно	2	8
114	он и	3	8
115	с точки	6	8
116	с ним	6	8
117	свое время	5	7
118	вплоть до	2	7
119	в литературе	9	7
120	в другом	2	7
121	восходящая к	2	7
122	в году	13	7
123	в свое	6	7
124	место в	4	7
125	на его	4	7
126	в ее	5	7
127	все это	16	7
128	во всяком	2	7
129	одна из	5	7
130	в противоположность	3	7
131	по преимуществу	3	7
132	себя и	2	7
133	несмотря на	5	7
134	и для	3	7
135	у него	2	7
136	и т.д	2	7
137	приводит к	2	7
138	в одном	8	7
139	всяком случае	2	7
140	как мы	12	7
141	в таком	2	7
142	жизни но	2	7
143	в нашем	3	7
144	его в	7	6
145	что не	3	6
146	от своего	2	6
147	не знает	6	6
148	в нем	16	6
149	или в	2	6
150	он был	3	6
151	при всей	2	6
152	хотя бы	2	6
153	могла бы	2	6
154	из этих	7	6
155	превращается в	6	6
156	же в	4	6
157	во всем	5	6
158	и более	4	6
159	есть в	6	6
160	на этом	2	6
161	из которых	2	6
162	из них	7	6
163	уже в	5	6
164	по его	3	6
165	вовсе не	25	6
166	не о	2	5
167	и потому	14	5
168	не могут	4	5
169	входит в	4	5
170	а и	2	5
171	но как	3	5
172	со смертью	3	5
173	одну из	2	5
174	жизни в	8	5
175	совершенно не	5	5
176	самом деле	3	5
177	в романе	8	5
178	в искусстве	3	5
179	в эту	6	5
180	в общем	4	5
181	он в	2	5
182	в них	13	5
183	а затем	4	5
184	и по	3	5
185	и до	6	5
186	все эти	15	5
187	к числу	2	5
188	тот же	4	5
189	и здесь	4	5
190	да и	5	5
191	с их	7	5
192	одно из	7	5
193	к этому	2	5
194	и он	3	5
195	бы быть	2	5
196	с ее	3	5
197	и смерти	6	5
198	мира в	3	5
199	в особенности	7	5
200	для того	2	5
201	и их	3	5
202	в этих	6	5
203	это всегда	2	5
204	тем что	5	5
205	еще и	6	5
206	ни с	3	5
207	все что	2	5
208	еще в	3	5
209	что мы	2	5
210	к жизни	2	5
211	и особенно	4	5
212	нового времени	17	5
213	в отношении	7	4
214	его к	2	4
215	в области	10	4
216	до известной	2	4
217	наконец в	2	4
218	отношение к	9	4
219	как к	3	4
220	одним из	4	4
221	только на	3	4
222	его от	2	4
223	игры и	2	4
224	о нем	4	4
225	и о	4	4
226	шекспира и	5	4
227	более того	3	4
228	к нему	5	4
229	или меньшей	7	4
230	потому что	6	4
231	связь с	8	4
232	разного рода	3	4
233	так в	4	4
234	в чем	2	4
235	здесь в	14	4
236	с ними	2	4
237	того чтобы	3	4
238	и во	6	4
239	по мысли	2	4
240	известной степени	2	4
241	жизнь и	3	4
242	сказать что	12	4
243	и от	3	4
244	по своему	9	4
245	значительной степени	4	4
246	но при	2	4
247	это по	2	4
248	но это	5	4
249	бы в	2	4
250	об этом	2	4
251	на него	2	4
252	в значительной	9	4
253	здесь и	5	4
254	что по	2	4
255	ее в	2	4
256	мы уже	18	4
257	между ними	4	4
258	в своих	8	4
259	жизни как	3	4
260	на всех	5	4
261	в устах	2	4
262	большей или	7	4
263	не было	3	4
264	или даже	2	4
265	это и	3	4
266	основе своей	2	4
267	в собственном	4	4
268	на самом	6	3
269	в таких	2	3
270	художественной литературы	2	3
271	мы должны	2	3
272	от него	2	3
273	человека и	4	3
274	утрачивает свою	2	3
275	в состоянии	3	3
276	включает в	3	3
277	говоря о	2	3
278	видеть в	2	3
279	в ряду	3	3
280	в виду	5	3
281	и за	2	3
282	при таком	2	3
283	на котором	3	3
