N	3gram	Vygotskiy_	Komedia
1	в том что	20	29
2	к тому же	2	21
3	до сих пор	6	16
4	о том что	8	13
5	в самом деле	29	13
6	для того чтобы	17	11
7	в то время	4	11
8	и т п	7	11
9	в свою очередь	3	10
10	то время как	3	9
11	с одной стороны	6	9
12	вместе с тем	3	9
13	речь идет о	5	8
14	с другой стороны	5	8
15	и в самом	15	8
16	во всяком случае	6	7
17	с самого начала	10	7
18	с точки зрения	11	6
19	до тех пор	2	6
20	что он не	4	5
21	то же самое	12	5
22	и т д	6	5
23	том что он	3	5
24	о том как	3	5
25	к тому что	5	4
26	можно было бы	6	4
27	что у него	2	4
28	в той же	2	3
29	друг с другом	2	3
30	то что он	3	3
31	на то что	16	3
32	ни одно из	2	3
33	состоит в том	2	3
34	в какой мере	3	3
35	как мы видели	2	2
36	только в том	5	2
37	потому что в	2	2
38	каждый из них	3	2
39	все тот же	2	2
40	точно так же	3	2
41	на то чтобы	2	2
42	так же как	2	2
43	одного из них	2	2
44	этой точки зрения	2	2
45	том что она	3	2
46	с этой точки	2	2
47	одна из них	2	2
48	имеем в виду	2	2
