N	2gram	Potebnia_M	KFilosof
1	может быть	47	45
2	в его	7	42
3	в нем	26	32
4	не может	30	29
5	и не	34	28
6	и в	58	28
7	по отношению	15	26
8	в котором	5	24
9	для меня	4	22
10	отношению к	13	22
11	не есть	13	22
12	в себе	22	21
13	и его	7	18
14	только в	36	18
15	в своем	3	17
16	в ее	2	17
17	а не	38	17
18	в этом	18	15
19	не в	23	13
20	для него	13	13
21	точки зрения	8	13
22	но не	19	12
23	и это	3	12
24	к нему	2	12
25	ни в	2	12
26	в своей	3	11
27	во всех	12	11
28	из себя	6	11
29	все эти	3	11
30	это не	10	10
31	в целом	3	10
32	от себя	2	10
33	и для	8	10
34	все это	3	10
35	с точки	4	10
36	бытия и	3	10
37	и есть	4	10
38	в их	3	9
39	для нее	4	9
40	но и	26	9
41	как бы	12	9
42	и все	6	9
43	если бы	23	8
44	не было	7	8
45	лишь в	2	8
46	со стороны	11	8
47	быть только	7	8
48	в мире	3	8
49	в единстве	3	8
50	жизни и	3	8
51	было бы	21	8
52	в себя	2	8
53	для себя	4	7
54	должен быть	2	7
55	то что	24	7
56	уже не	4	7
57	и только	6	7
58	что и	16	7
59	во всем	5	7
60	вовсе не	13	7
61	должно быть	9	6
62	в том	38	6
63	но все	4	6
64	не имеет	9	6
65	в смысле	4	6
66	место в	3	6
67	и их	6	6
68	но это	7	6
69	он не	4	6
70	никогда не	7	5
71	его в	3	5
72	все же	11	5
73	я могу	2	5
74	не только	32	5
75	но как	4	5
76	бы быть	7	5
77	хотя бы	4	5
78	то же	13	5
79	еще не	9	5
80	а в	11	5
81	но в	12	5
82	как и	16	5
83	именно в	2	5
84	что я	2	5
85	время и	2	5
86	в одном	13	5
87	там где	8	5
88	себя и	3	5
89	с ним	7	5
90	в каком	7	4
91	что это	5	4
92	тем самым	6	4
93	том что	21	4
94	нисколько не	2	4
95	что в	34	4
96	могла бы	5	4
97	не как	4	4
98	не по	4	4
99	и весь	3	4
100	ни было	4	4
101	времени и	3	4
102	прежде всего	8	4
103	в чем	6	4
104	к ним	3	4
105	с другим	3	4
106	могло бы	4	4
107	в своих	4	4
108	для нас	29	4
109	с ними	2	4
110	при этом	17	4
111	себя а	2	4
112	только как	5	4
113	познания и	2	4
114	из него	3	4
115	должна быть	4	4
116	между тем	7	4
117	ничего не	2	3
118	ясно и	2	3
119	предмета в	3	3
120	в то	6	3
121	на самом	2	3
122	от него	8	3
123	здесь не	2	3
124	сознания и	2	3
125	человека и	2	3
126	всех этих	2	3
127	в каждом	6	3
128	в другом	3	3
129	от того	9	3
130	в некотором	2	3
131	тем что	15	3
132	и тем	5	3
133	бы не	11	3
134	для того	8	3
135	где он	2	3
136	самом деле	2	3
137	тем как	3	3
138	в виду	2	3
139	себе и	2	3
140	не менее	10	3
141	не должно	2	3
142	независимо от	15	3
143	о том	6	3
144	в ней	9	3
145	в свою	8	3
146	могут быть	17	3
147	этом смысле	4	3
148	тогда когда	15	3
149	и совершенно	2	3
150	теории и	2	3
151	и на	8	3
152	в единство	2	3
153	что не	15	3
154	того что	15	3
155	мы не	17	3
156	и может	5	3
157	к последнему	2	3
158	жизни но	2	3
159	рядом с	3	3
160	на язык	7	3
161	не имеем	3	3
162	тот же	5	3
163	не дает	2	3
164	и то	4	2
165	все остальные	9	2
166	чтобы не	3	2
167	для этого	2	2
168	только по	5	2
169	и потому	7	2
170	различия в	3	2
171	предмет и	2	2
172	его к	3	2
173	его с	3	2
174	его на	3	2
175	сознания в	2	2
176	как оно	2	2
177	же с	8	2
178	дело в	3	2
179	не потому	2	2
180	то ни	3	2
181	к этому	3	2
182	деятельности и	5	2
183	вопрос о	5	2
184	это было	3	2
185	с ее	2	2
186	из нее	2	2
187	тем не	11	2
188	но всегда	3	2
189	и как	11	2
190	оба эти	2	2
191	а как	3	2
192	и других	6	2
193	все они	3	2
194	были бы	4	2
195	предмет как	2	2
196	одного и	6	2
197	пространство и	2	2
198	что он	5	2
199	нами в	2	2
200	этот мир	2	2
201	или как	2	2
202	так и	17	2
203	что есть	3	2
204	смысле в	5	2
205	в жизни	5	2
206	с тем	9	2
207	вытекает из	3	2
208	как в	18	2
209	как предмет	3	2
210	от этого	2	2
211	думать что	6	2
212	в сознании	8	2
213	тому что	4	2
214	она не	3	2
215	не нужен	2	2
216	дело с	2	2
217	он может	2	2
218	и общее	2	2
219	не из	3	2
220	еще более	2	2
221	ни одна	2	2
222	оно не	4	2
223	мы говорим	3	2
224	если не	5	2
225	чего не	3	2
226	один из	2	2
227	что за	3	2
228	по себе	24	2
229	потому что	89	2
230	она могла	2	2
231	не будет	2	2
232	того чтобы	4	2
233	и того	6	2
234	из самого	3	2
235	человек не	2	2
236	слова в	7	2
237	знать что	2	2
238	не следует	6	2
239	же время	4	2
240	ничего общего	3	2
241	быть не	7	2
242	этого слова	5	2
243	в этой	3	2
244	бы то	2	2
245	ни был	2	2
246	с его	3	2
