N	3gram	Propp_Morf	StatiiOP
1	в том что	4	47
2	и т д	60	32
3	о том что	3	29
4	в этом отношении	2	24
5	для того чтобы	3	19
6	с точки зрения	6	14
7	во всяком случае	2	13
8	с другой стороны	5	13
9	не может быть	9	11
10	на то что	3	9
11	можно было бы	2	9
12	на самом деле	4	8
13	тем не менее	6	8
14	к тому что	4	8
15	в данном случае	2	7
16	в то время	3	7
17	но все же	4	7
18	по отношению к	7	6
19	вопрос о том	2	6
20	т д но	4	6
21	то время как	3	5
22	то что в	2	5
23	дело не в	2	4
24	в связи с	9	4
25	с одной стороны	2	4
26	бы то ни	3	3
27	а вовсе не	2	3
28	в этом случае	10	3
29	более или менее	2	3
30	и тем не	2	3
31	о том как	2	3
32	это не значит	2	3
33	состоит в том	3	3
34	не значит что	3	3
35	мы имеем в	2	2
36	но если это	2	2
37	может быть и	2	2
38	а также и	5	2
39	как и в	3	2
40	с того что	2	2
41	независимо от того	4	2
42	в отдельных случаях	3	2
43	в обоих случаях	2	2
44	то ни было	2	2
45	в настоящее время	3	2
46	точно так же	2	2
47	и в других	2	2
48	далеко не все	3	2
49	в иных случаях	2	2
