N	3gram	Vinokur_St	Hudozhes
1	по отношению к	3	10
2	в том что	29	8
3	в то же	5	7
4	то же время	5	7
5	с другой стороны	8	6
6	более или менее	2	6
7	для того чтобы	13	5
8	так или иначе	3	4
9	того или иного	4	4
10	не может быть	5	4
11	с точки зрения	10	3
12	с одной стороны	2	3
13	в том числе	3	3
14	тем не менее	4	3
15	в этом смысле	2	3
16	и в самом	3	3
17	бы то ни	2	2
18	тем или иным	3	2
19	том числе и	2	2
20	в самом деле	7	2
21	в значительной степени	2	2
22	том что он	6	2
23	к тому что	4	2
24	может быть и	2	2
