N	2gram	Losev_Prob	KulturaY
1	и т	2	143
2	и в	48	84
3	в том	25	74
4	потому что	21	68
5	не только	28	60
6	точки зрения	17	59
7	в этом	31	57
8	было бы	12	53
9	и не	29	52
10	может быть	11	47
11	том что	29	44
12	того чтобы	3	44
13	что в	12	44
14	для того	4	41
15	в самом	7	41
16	у нас	17	38
17	самом деле	3	37
18	хотя бы	11	37
19	так как	10	36
20	с точки	13	36
21	в области	3	34
22	таким образом	20	33
23	а не	7	33
24	можно было	4	32
25	если бы	2	32
26	не в	16	30
27	прежде всего	15	30
28	в его	19	30
29	все же	12	29
30	того что	8	28
31	не менее	8	28
32	все эти	12	28
33	в силу	6	26
34	уже не	12	26
35	не может	6	25
36	то что	26	25
37	вовсе не	18	25
38	вопрос о	2	24
39	еще не	4	24
40	с другой	8	24
41	так и	15	23
42	то же	6	23
43	только в	21	23
44	с помощью	2	23
45	тем не	8	21
46	во всяком	7	20
47	но и	21	20
48	по себе	5	20
49	и что	9	20
50	что он	12	19
51	но в	17	19
52	обстоятельство что	2	19
53	тем что	2	19
54	о том	17	19
55	всяком случае	6	19
56	между тем	2	18
57	связи с	11	18
58	все это	8	18
59	в качестве	9	18
60	к тому	7	18
61	с тем	7	18
62	как бы	10	18
63	и с	10	18
64	вместе с	15	18
65	это не	8	17
66	как раз	7	17
67	как это	5	17
68	что это	4	17
69	другой стороны	8	17
70	в той	5	17
71	в виду	3	16
72	ничего не	3	16
73	что не	3	16
74	что и	8	16
75	тот же	6	16
76	но не	12	16
77	по отношению	2	15
78	и тем	4	15
79	один из	2	15
80	а в	8	15
81	при этом	6	15
82	того как	5	15
83	в данном	6	15
84	ни к	2	15
85	том чтобы	3	15
86	именно в	11	15
87	не было	4	15
88	в нашем	5	15
89	в них	5	14
90	в связи	11	14
91	хотя и	10	14
92	я не	3	14
93	как мы	5	14
94	сказать что	13	14
95	мы имеем	3	14
96	отношению к	2	14
97	сих пор	3	14
98	также и	21	14
99	если мы	2	14
100	и на	9	14
101	в ней	4	14
102	до сих	3	14
103	не могут	3	13
104	это и	4	13
105	по существу	2	13
106	между прочим	2	13
107	крайней мере	8	13
108	что она	2	13
109	по крайней	8	13
110	в этой	14	13
111	для нас	14	13
112	и его	11	13
113	для этого	2	12
114	с этой	4	12
115	как в	3	12
116	а только	5	12
117	того же	7	12
118	тогда когда	4	12
119	могут быть	2	12
120	в результате	11	12
121	однако не	2	12
122	ясно что	11	12
123	еще и	6	11
124	в таких	2	11
125	или иной	4	11
126	должен быть	2	11
127	в их	4	11
128	в своем	16	11
129	из этих	2	11
130	в нем	8	11
131	этом отношении	4	11
132	и то	6	11
133	в какой	5	11
134	и если	2	11
135	уже в	4	11
136	он не	4	11
137	тем самым	2	10
138	так же	7	10
139	в то	6	10
140	к этому	2	10
141	они не	3	10
142	как и	10	10
143	того или	3	10
