N	2gram	Losev_Dial	Komedia
1	и в	34	77
2	и не	50	47
3	в том	17	44
4	том что	18	42
5	т е	72	33
6	о том	11	33
7	едва ли	2	32
8	но и	14	32
9	может быть	30	30
10	таким образом	14	29
11	из них	4	29
12	в то	9	28
13	и его	8	28
14	в этом	14	27
15	потому что	21	27
16	что он	18	26
17	к тому	4	26
18	не только	35	25
19	тому же	2	25
20	вместе с	3	25
21	так как	12	24
22	как и	14	23
23	ни в	20	23
24	что в	12	23
25	что и	8	22
26	если бы	10	22
27	в самом	9	22
28	в конце	2	21
29	так и	11	21
30	а в	3	21
31	то же	9	21
32	ясно что	16	21
33	в его	6	20
34	со стороны	5	19
35	к этому	3	19
36	в этой	3	18
37	и т	41	17
38	тем что	5	17
39	еще не	7	17
40	и здесь	3	17
41	в нем	7	17
42	же время	5	17
43	все же	4	16
44	у него	2	16
45	не менее	11	16
46	при этом	7	16
47	он не	8	16
48	его в	2	15
49	в своем	7	15
50	не в	11	15
51	точки зрения	43	15
52	прежде всего	20	15
53	на себя	3	15
54	было бы	13	15
55	и на	6	15
56	к нему	4	14
57	все это	13	14
58	об этом	8	14
59	и с	10	14
60	о чем	2	13
61	то что	25	13
62	так что	11	13
63	самом деле	7	13
64	но в	3	13
65	в них	6	13
66	что она	13	13
67	мы можем	3	13
68	только что	7	13
69	в одном	3	13
70	как раз	11	13
71	так же	7	12
72	с другой	5	12
73	для того	4	12
74	как это	8	12
75	несмотря на	2	12
76	в истории	7	12
77	хотя и	9	12
78	не может	29	12
79	как в	2	12
80	но не	3	12
81	в котором	2	12
82	из которых	4	12
83	нового времени	2	12
84	в их	2	11
85	в частности	3	11
86	с тем	4	11
87	что его	5	11
88	как мы	4	11
89	то время	6	11
90	и даже	21	11
91	и для	5	11
92	с ним	3	11
93	ничего не	29	10
94	на основании	3	10
95	одной из	3	10
96	и все	17	10
97	в чем	11	10
98	мы не	11	10
99	же в	2	10
100	с его	7	10
101	тут же	3	10
102	с этим	4	10
103	тем более	5	10
104	с одной	4	10
105	сразу же	2	10
106	как бы	19	10
107	и что	21	10
108	отличие от	2	9
109	тому что	5	9
110	одной стороны	3	9
111	и по	2	9
112	даже не	8	9
113	в своей	4	9
114	того как	2	9
115	независимо от	3	9
116	больше чем	2	9
117	время как	6	9
118	все что	3	9
119	друг друга	3	9
120	вовсе не	18	9
121	говорить о	13	9
122	только в	10	9
123	в ней	4	9
124	и ее	8	8
125	тех пор	3	8
126	как он	4	8
127	то ни	4	8
128	по своему	2	8
129	место в	2	8
130	не знает	4	8
131	то это	9	8
132	связи с	3	8
133	да и	4	8
134	другой стороны	4	8
135	бы в	5	8
136	с этой	7	8
137	в течение	4	8
138	при всем	5	8
139	что у	2	8
140	что для	5	8
141	если не	3	8
142	не было	6	8
143	во всех	2	8
144	вопрос о	9	7
145	в себе	8	7
146	и у	3	7
147	и к	5	7
148	мы знаем	3	7
149	и о	9	7
150	так или	2	7
151	но если	11	7
152	и это	12	7
153	и во	3	7
154	в связи	3	7
155	что они	2	7
156	во всяком	5	7
157	бы то	3	7
158	тех же	2	7
159	из этих	5	7
160	хотя бы	9	7
161	в результате	7	7
162	целый ряд	3	7
163	и вот	13	7
164	в этих	3	7
165	не имеет	18	7
166	равно как	2	7
167	или иначе	2	7
168	отнюдь не	16	7
169	для нас	2	7
170	всяком случае	3	7
171	когда же	2	6
172	в силу	5	6
173	в виду	12	6
174	и тем	3	6
175	уже о	7	6
176	всего в	2	6
177	его от	2	6
178	надо было	4	6
179	не приходится	2	6
180	так в	2	6
181	не говоря	6	6
182	могут быть	5	6
183	что не	8	6
184	говоря уже	6	6
185	в сущности	10	6
186	никто не	4	6
187	нет и	5	6
188	в древней	2	6
189	не зная	2	6
190	и он	3	6
191	это было	5	6
192	тем не	10	6
193	и как	13	6
194	как будто	3	6
195	на то	5	6
196	в своих	3	6
197	когда он	3	6
198	в другой	2	6
199	на этом	3	6
200	с точки	25	6
201	или в	4	6
202	а не	39	6
203	не мог	3	6
204	никогда не	9	5
205	и если	5	5
206	что их	2	5
207	этом отношении	2	5
208	это не	13	5
209	из того	2	5
210	его на	3	5
211	том как	2	5
212	и мы	6	5
213	после этого	2	5
214	все время	4	5
215	по существу	2	5
216	и без	4	5
217	мы имеем	3	5
218	что на	3	5
219	в ее	5	5
220	и я	3	5
221	в первом	2	5
222	сказать что	7	5
223	представление о	3	5
224	и от	4	5
225	для этого	3	5
226	что это	20	5
227	себя в	3	5
228	в мире	2	5
229	за пределы	3	5
230	т д	38	5
231	даже если	3	5
232	известно что	4	5
233	из двух	4	5
234	от отца	5	5
235	чаще всего	3	5
236	от того	9	5
237	именно в	5	5
238	что я	3	5
239	он и	3	5
240	в это	4	5
241	жизни и	8	5
242	от нее	3	5
243	конечно не	6	5
244	у меня	2	5
245	той же	6	5
246	но он	3	5
247	чем в	2	5
248	не о	6	4
249	чтобы не	4	4
250	или к	2	4
251	не всегда	3	4
252	ничем не	7	4
253	и этим	3	4
254	все его	2	4
255	его не	3	4
256	что же	12	4
257	же как	4	4
258	что с	2	4
259	не на	7	4
260	е в	4	4
261	из самых	3	4
262	например в	3	4
263	в основе	6	4
264	одна из	4	4
265	из этого	3	4
266	одно из	8	4
267	меньше чем	2	4
268	то и	5	4
269	нет ничего	14	4
270	с их	4	4
271	силу этого	3	4
272	я не	11	4
273	отца и	2	4
274	был бы	2	4
275	у нас	7	4
276	нас в	3	4
277	а то	2	4
278	прежде чем	2	4
279	их в	2	4
280	как видим	2	4
281	из себя	3	4
282	что мы	10	4
283	мог бы	2	4
284	что эта	2	4
285	по его	2	4
286	все равно	5	4
287	в себя	4	4
288	чем же	3	4
289	если мы	5	3
290	нет ни	5	3
291	и потому	6	3
292	не могут	6	3
293	от него	2	3
294	нисколько не	4	3
295	в одной	4	3
