N	2gram	Propp_Isto	Vvedenie
1	и т	29	45
2	т е	34	40
3	т д	25	39
4	в том	14	38
5	в этом	19	35
6	и в	41	35
7	том что	18	30
8	может быть	19	30
9	не только	30	26
10	для того	2	23
11	таким образом	15	21
12	не может	19	19
13	то что	12	19
14	потому что	13	18
15	со стороны	3	16
16	о том	15	16
17	только в	10	16
18	так как	21	15
19	представляет собой	8	14
20	и не	12	13
21	что в	21	13
22	в самом	2	13
23	в нем	12	13
24	в их	4	12
25	того что	7	12
26	что такое	2	12
27	точки зрения	4	12
28	в его	4	12
29	как на	3	12
30	в данном	8	11
31	то же	12	11
32	по себе	2	11
33	в ее	3	11
34	как мы	6	11
35	ясно что	2	11
36	вопрос о	6	10
37	не в	12	10
38	прежде всего	6	10
39	но в	7	10
40	из этих	6	9
41	тем не	4	9
42	и как	3	9
43	все же	14	9
44	представляют собой	5	9
45	но не	8	9
46	не менее	5	9
47	дело с	2	9
48	это не	14	8
49	можно было	3	8
50	с другой	20	8
51	именно в	2	8
52	в качестве	5	8
53	и то	3	7
54	сих пор	5	7
55	как и	8	7
56	как бы	8	7
57	этот вопрос	3	7
58	но и	20	7
59	было бы	4	7
60	до сих	4	7
61	сказать что	5	6
62	его в	7	6
63	не могут	3	6
64	том чтобы	3	6
65	об этом	7	6
66	и даже	3	6
67	но если	2	6
68	тем что	11	6
69	как он	11	6
70	а именно	12	6
71	на вопрос	5	6
72	так например	5	6
73	на этот	4	6
74	с тем	8	6
75	и это	9	6
76	а в	12	6
77	уже не	8	6
78	в которых	2	6
79	могут быть	3	6
80	в то	6	6
81	один из	7	6
82	в руки	2	6
83	и что	15	6
84	и его	11	6
85	все это	9	6
86	этом случае	4	6
87	вовсе не	6	6
88	вместе с	17	6
89	данном случае	7	5
90	независимо от	3	5
91	дело не	5	5
92	есть и	6	5
93	и тем	4	5
94	а как	2	5
95	д но	2	5
96	с этой	7	5
97	что он	29	5
98	так что	6	5
99	что иное	2	5
100	что не	3	5
101	от этого	2	5
102	как это	6	5
103	в различных	3	5
104	другой стороны	17	5
105	в них	4	5
106	уже в	4	5
107	в целом	2	5
108	всяком случае	3	5
109	что и	13	5
110	не просто	3	5
111	а не	9	5
112	но с	2	5
113	хотя и	3	5
114	во всяком	3	5
115	должен был	2	4
116	мы имеем	27	4
117	о чем	2	4
118	одной стороны	12	4
119	и ее	6	4
120	в области	3	4
121	по отношению	3	4
122	должен быть	2	4
123	связана с	4	4
124	в особенности	2	4
125	еще не	13	4
126	е в	2	4
127	отношению к	3	4
128	в чем	5	4
129	с одной	12	4
130	к тому	4	4
131	одной из	4	4
132	но все	5	4
133	не имеет	6	4
134	так или	2	4
135	в котором	3	4
136	в виде	5	4
137	в более	3	4
138	не вполне	5	4
139	ответ на	6	4
140	тогда когда	3	4
141	в одном	2	4
142	из них	2	4
143	здесь нет	4	4
144	или иначе	2	4
145	видит в	3	4
146	в себе	3	4
147	в своей	4	4
148	можно сказать	3	4
149	никогда не	16	3
150	одна из	7	3
151	в очень	3	3
152	что это	6	3
153	в своем	3	3
154	а также	2	3
155	с этим	3	3
156	так же	6	3
157	в начале	2	3
158	и наоборот	2	3
159	что она	6	3
160	к этому	5	3
161	в другом	2	3
162	что собственно	2	3
163	в конце	4	3
164	от того	4	3
165	отношение к	6	3
166	и здесь	13	3
167	если бы	3	3
168	зависимости от	4	3
169	при помощи	6	3
170	в свое	3	3
171	и вот	2	3
172	раньше чем	4	3
173	в этих	16	3
174	в силу	2	3
175	только на	2	3
176	в частности	3	3
177	как в	17	3
178	не с	2	3
179	мы видели	17	3
180	стороны и	4	3
181	вообще не	4	3
182	к нему	8	3
183	на том	10	3
184	и на	12	3
185	того же	3	3
186	за собой	2	3
187	в ней	4	3
188	однако в	2	3
189	из которых	3	3
190	то это	7	3
191	но что	2	3
192	по этому	3	3
193	своего рода	7	3
194	что же	2	3
195	есть еще	4	3
196	здесь не	4	3
197	же как	6	3
198	говорит о	2	3
199	при этом	7	3
200	в зависимости	3	3
201	наряду с	2	3
202	все эти	8	3
203	это искусство	2	3
204	связи с	3	3
205	и есть	2	3
206	и сам	3	3
207	как будто	4	3
208	в этой	2	3
209	по содержанию	2	3
210	и других	2	3
211	того как	5	3
212	но вместе	2	2
213	в таких	3	2
214	ничего не	7	2
215	у нас	4	2
216	бы с	2	2
217	его к	2	2
218	мы должны	7	2
219	во всех	8	2
220	и до	2	2
